Loser,Date,B365L,Tournament,Round
Abel M.,25/08/03,1.727,US Open,1st Round
Acasuso J.,27/08/03,10,US Open,1st Round
Acasuso J.,23/06/03,7,Wimbledon,1st Round
Acasuso J.,27/05/03,1.615,French Open,1st Round
Acasuso J.,16/01/03,6,Australian Open,2nd Round
Acasuso J.,31/08/04,6.5,US Open,1st Round
Acasuso J.,21/06/04,3.25,Wimbledon,1st Round
Acasuso J.,19/01/04,7.5,Australian Open,1st Round
Acasuso J.,2/9/2005,8.5,US Open,2nd Round
Acasuso J.,20/06/05,3.39,Wimbledon,1st Round
Acasuso J.,30/05/05,2.2,French Open,4th Round
Acasuso J.,18/01/05,5.5,Australian Open,1st Round
Acasuso J.,28/08/06,1.9,US Open,1st Round
Acasuso J.,31/05/06,1.1,French Open,2nd Round
Acasuso J.,16/01/06,7,Australian Open,1st Round
Acasuso J.,30/08/07,8,US Open,2nd Round
Acasuso J.,29/05/07,1.4,French Open,1st Round
Acasuso J.,15/01/07,1.44,Australian Open,1st Round
Acasuso J.,28/08/08,4.33,US Open,2nd Round
Acasuso J.,28/05/08,2.2,French Open,2nd Round
Acasuso J.,14/01/08,1.9,Australian Open,1st Round
Acasuso J.,6/9/2009,4.5,US Open,3rd Round
Acasuso J.,23/06/09,1.57,Wimbledon,1st Round
Acasuso J.,28/05/09,21,French Open,2nd Round
Acasuso J.,19/01/10,1.66,Australian Open,1st Round
Agassi A.,6/9/2003,1.3,US Open,Semifinals
Agassi A.,30/06/03,1.286,Wimbledon,4th Round
Agassi A.,3/6/2003,1.4,French Open,Quarterfinals
Agassi A.,9/9/2004,3,US Open,Quarterfinals
Agassi A.,24/05/04,1.04,French Open,1st Round
Agassi A.,29/01/04,1.364,Australian Open,Semifinals
Agassi A.,11/9/2005,6,US Open,The Final
Agassi A.,24/05/05,1.19,French Open,1st Round
Agassi A.,25/01/05,5,Australian Open,Quarterfinals
Agassi A.,3/9/2006,1.28,US Open,3rd Round
Agassi A.,1/7/2006,2.75,Wimbledon,3rd Round
Ancic M.,27/08/03,3.5,US Open,1st Round
Ancic M.,23/06/03,1.222,Wimbledon,1st Round
Ancic M.,28/05/03,8,French Open,2nd Round
Ancic M.,19/01/03,4.5,Australian Open,4th Round
Ancic M.,30/08/04,1.444,US Open,1st Round
Ancic M.,2/7/2004,4,Wimbledon,Semifinals
Ancic M.,28/05/04,8,French Open,3rd Round
Ancic M.,24/01/04,4,Australian Open,3rd Round
Ancic M.,2/9/2005,1.28,US Open,2nd Round
Ancic M.,27/06/05,1.36,Wimbledon,4th Round
Ancic M.,27/05/05,3.75,French Open,3rd Round
Ancic M.,21/01/05,4.5,Australian Open,3rd Round
Ancic M.,5/7/2006,9,Wimbledon,Quarterfinals
Ancic M.,6/6/2006,9,French Open,Quarterfinals
Ancic M.,20/01/06,1.39,Australian Open,3rd Round
Ancic M.,21/01/07,3.25,Australian Open,4th Round
Ancic M.,2/7/2008,11,Wimbledon,Quarterfinals
Ancic M.,31/05/08,11,French Open,3rd Round
Ancic M.,24/01/09,2.37,Australian Open,3rd Round
Arazi H.,29/08/03,2,US Open,2nd Round
Arazi H.,24/06/03,1.667,Wimbledon,1st Round
Arazi H.,29/05/03,5,French Open,2nd Round
Arazi H.,14/01/03,4,Australian Open,1st Round
Arazi H.,3/9/2004,7,US Open,2nd Round
Arazi H.,27/06/04,5.5,Wimbledon,3rd Round
Arazi H.,25/05/04,2.625,French Open,1st Round
Arazi H.,28/01/04,3.5,Australian Open,Quarterfinals
Arthurs W.,26/08/03,4.5,US Open,1st Round
Arthurs W.,26/06/03,2.75,Wimbledon,2nd Round
Arthurs W.,27/05/03,3,French Open,1st Round
Arthurs W.,15/01/03,2.375,Australian Open,2nd Round
Arthurs W.,31/08/04,2.25,US Open,1st Round
Arthurs W.,22/06/04,1.533,Wimbledon,1st Round
Arthurs W.,24/05/04,2,French Open,1st Round
Arthurs W.,22/01/04,2.375,Australian Open,2nd Round
Arthurs W.,30/08/05,2,US Open,1st Round
Arthurs W.,23/06/05,1.53,Wimbledon,2nd Round
Arthurs W.,24/05/05,3.25,French Open,1st Round
Arthurs W.,18/01/05,3.5,Australian Open,1st Round
Arthurs W.,27/06/06,2.25,Wimbledon,1st Round
Arthurs W.,29/05/06,7.5,French Open,1st Round
Arthurs W.,17/01/06,1.44,Australian Open,1st Round
Arthurs W.,2/7/2007,2.87,Wimbledon,3rd Round
Arthurs W.,19/01/07,4,Australian Open,3rd Round
Baker B.,25/08/03,3,US Open,1st Round
Baker B.,30/08/04,9,US Open,1st Round
Baker B.,1/9/2005,4.33,US Open,2nd Round
Baker B.,31/08/12,3.75,US Open,2nd Round
Baker B.,3/7/2012,2.62,Wimbledon,4th Round
Baker B.,30/05/12,4,French Open,2nd Round
Baker B.,28/08/13,3.25,US Open,1st Round
Baker B.,16/01/13,5.5,Australian Open,2nd Round
Baker B.,29/08/16,2.2,US Open,1st Round
Baker B.,27/06/16,13,Wimbledon,1st Round
Baker B.,24/05/16,3,French Open,1st Round
Baker B.,19/01/16,7,Australian Open,1st Round
Beck K.,26/08/03,2.375,US Open,1st Round
Beck K.,23/06/03,5.5,Wimbledon,1st Round
Beck K.,26/05/03,10,French Open,1st Round
Beck K.,14/01/03,5,Australian Open,1st Round
Beck K.,7/9/2004,8,US Open,4th Round
Beck K.,27/06/04,2.5,Wimbledon,3rd Round
Beck K.,24/05/04,1.57,French Open,1st Round
Beck K.,21/01/04,1.909,Australian Open,2nd Round
Beck K.,30/08/05,1.57,US Open,1st Round
Beck K.,20/06/05,2.1,Wimbledon,1st Round
Beck K.,24/05/05,11,French Open,1st Round
Beck K.,21/01/05,2.37,Australian Open,3rd Round
Beck K.,1/9/2009,1.33,US Open,1st Round
Beck K.,24/06/09,1.8,Wimbledon,2nd Round
Beck K.,23/06/10,4,Wimbledon,2nd Round
Beck K.,25/05/10,12,French Open,1st Round
Beck K.,31/08/11,1.16,US Open,1st Round
Beck K.,25/06/11,7,Wimbledon,3rd Round
Beck K.,18/01/11,21,Australian Open,1st Round
Beck K.,28/08/12,17,US Open,1st Round
Beck K.,26/06/12,2.25,Wimbledon,1st Round
Beck K.,28/05/12,9,French Open,1st Round
Beck K.,17/01/12,8,Australian Open,1st Round
Behrend T.,25/08/03,2,US Open,1st Round
Behrend T.,23/06/03,3.75,Wimbledon,1st Round
Behrend T.,26/05/03,3.25,French Open,1st Round
Behrend T.,19/01/04,2.375,Australian Open,1st Round
Behrend T.,29/08/05,4,US Open,1st Round
Behrend T.,21/06/05,5,Wimbledon,1st Round
Behrend T.,25/05/05,5.5,French Open,2nd Round
Behrend T.,16/01/06,6.5,Australian Open,1st Round
Benneteau J.,26/08/03,2.625,US Open,1st Round
Benneteau J.,26/05/03,7.5,French Open,1st Round
Benneteau J.,13/01/03,3.5,Australian Open,1st Round
Benneteau J.,25/06/04,4,Wimbledon,2nd Round
Benneteau J.,29/05/04,1.8,French Open,3rd Round
Benneteau J.,20/06/05,4.33,Wimbledon,1st Round
Benneteau J.,23/05/05,10,French Open,1st Round
Benneteau J.,18/01/05,3,Australian Open,1st Round
Benneteau J.,31/08/06,3.25,US Open,1st Round
Benneteau J.,30/06/06,4,Wimbledon,2nd Round
Benneteau J.,7/6/2006,3.75,French Open,Quarterfinals
Benneteau J.,20/01/06,11,Australian Open,3rd Round
Benneteau J.,27/08/07,1.28,US Open,1st Round
Benneteau J.,26/06/07,2.25,Wimbledon,1st Round
Benneteau J.,29/05/07,1.22,French Open,1st Round
Benneteau J.,16/01/07,1.33,Australian Open,1st Round
Benneteau J.,27/08/08,4.5,US Open,1st Round
Benneteau J.,24/06/08,3,Wimbledon,1st Round
Benneteau J.,2/6/2008,15,French Open,4th Round
Benneteau J.,14/01/08,3.5,Australian Open,1st Round
Benneteau J.,6/9/2009,5.5,US Open,3rd Round
Benneteau J.,22/06/09,10,Wimbledon,1st Round
Benneteau J.,26/05/09,2.75,French Open,1st Round
Benneteau J.,19/01/09,2.2,Australian Open,1st Round
Benneteau J.,3/9/2010,1.61,US Open,2nd Round
Benneteau J.,28/06/10,3.75,Wimbledon,4th Round
Benneteau J.,26/05/10,2.1,French Open,2nd Round
Benneteau J.,20/01/10,2.25,Australian Open,2nd Round
Benneteau J.,4/9/2011,3,US Open,3rd Round
Benneteau J.,22/06/11,6.5,Wimbledon,2nd Round
Benneteau J.,25/05/11,12,French Open,2nd Round
Benneteau J.,2/9/2012,21,US Open,3rd Round
Benneteau J.,29/06/12,26,Wimbledon,3rd Round
Benneteau J.,2/6/2012,3.75,French Open,3rd Round
Benneteau J.,21/01/12,2,Australian Open,3rd Round
Benneteau J.,1/9/2013,6.5,US Open,3rd Round
Benneteau J.,26/06/13,2,Wimbledon,2nd Round
Benneteau J.,31/05/13,15,French Open,3rd Round
Benneteau J.,18/01/13,3.5,Australian Open,3rd Round
Benneteau J.,25/08/14,1.5,US Open,1st Round
Benneteau J.,24/06/14,1.72,Wimbledon,1st Round
Benneteau J.,26/05/14,1.44,French Open,1st Round
Benneteau J.,15/01/14,2,Australian Open,2nd Round
Benneteau J.,20/01/15,1.36,Australian Open,1st Round
Benneteau J.,29/08/16,2.25,US Open,1st Round
Benneteau J.,30/06/16,7,Wimbledon,2nd Round
Benneteau J.,24/05/16,5,French Open,1st Round
Benneteau J.,18/01/16,4,Australian Open,1st Round
Benneteau J.,30/08/17,4,US Open,1st Round
Benneteau J.,3/7/2017,2,Wimbledon,1st Round
Benneteau J.,28/05/17,8,French Open,1st Round
Benneteau J.,30/08/2018,2.62,US Open,2nd Round
Benneteau J.,5/7/2018,1.8,Wimbledon,2nd Round
Benneteau J.,31/05/18,7,French Open,2nd Round
Benneteau J.,20/01/18,2.75,Australian Open,3rd Round
Berdych T.,28/08/03,4,US Open,2nd Round
Berdych T.,7/9/2004,3.5,US Open,4th Round
Berdych T.,24/06/04,2.375,Wimbledon,1st Round
Berdych T.,24/05/04,1.727,French Open,1st Round
Berdych T.,21/01/04,11,Australian Open,2nd Round
Berdych T.,3/9/2005,3.75,US Open,3rd Round
Berdych T.,24/06/05,2.75,Wimbledon,3rd Round
Berdych T.,25/05/05,3.75,French Open,2nd Round
Berdych T.,18/01/05,3,Australian Open,1st Round
Berdych T.,6/9/2006,2.5,US Open,4th Round
Berdych T.,3/7/2006,13,Wimbledon,4th Round
Berdych T.,4/6/2006,8,French Open,4th Round
Berdych T.,18/01/06,1.14,Australian Open,2nd Round
Berdych T.,3/9/2007,3,US Open,4th Round
Berdych T.,6/7/2007,2.25,Wimbledon,Quarterfinals
Berdych T.,30/05/07,1.16,French Open,1st Round
Berdych T.,22/01/07,2.37,Australian Open,4th Round
Berdych T.,26/08/08,1.22,US Open,1st Round
Berdych T.,27/06/08,1.72,Wimbledon,3rd Round
Berdych T.,28/05/08,1.14,French Open,2nd Round
Berdych T.,21/01/08,7.5,Australian Open,4th Round
Berdych T.,6/9/2009,2.1,US Open,3rd Round
Berdych T.,29/06/09,2.5,Wimbledon,4th Round
Berdych T.,25/05/09,1.44,French Open,1st Round
Berdych T.,25/01/09,11,Australian Open,4th Round
Berdych T.,1/9/2010,1.11,US Open,1st Round
Berdych T.,4/7/2010,3.5,Wimbledon,The Final
Berdych T.,4/6/2010,2.75,French Open,Semifinals
Berdych T.,20/01/10,1.22,Australian Open,2nd Round
Berdych T.,3/9/2011,1.4,US Open,3rd Round
Berdych T.,27/06/11,1.4,Wimbledon,4th Round
Berdych T.,23/05/11,1.03,French Open,1st Round
Berdych T.,25/01/11,3.75,Australian Open,Quarterfinals
Berdych T.,8/9/2012,2.87,US Open,Semifinals
Berdych T.,25/06/12,1.04,Wimbledon,1st Round
Berdych T.,4/6/2012,2.1,French Open,4th Round
Berdych T.,24/01/12,4.6,Australian Open,Quarterfinals
Berdych T.,4/9/2013,1.33,US Open,4th Round
Berdych T.,3/7/2013,7,Wimbledon,Quarterfinals
Berdych T.,27/05/13,1.18,French Open,1st Round
Berdych T.,22/01/13,5,Australian Open,Quarterfinals
Berdych T.,4/9/2014,1.57,US Open,Quarterfinals
Berdych T.,27/06/14,1.57,Wimbledon,3rd Round
Berdych T.,3/6/2014,1.61,French Open,Quarterfinals
Berdych T.,23/01/14,2.2,Australian Open,Semifinals
Berdych T.,8/9/2015,1.57,US Open,4th Round
Berdych T.,6/7/2015,1.3,Wimbledon,4th Round
Berdych T.,31/05/15,1.4,French Open,4th Round
Berdych T.,29/01/15,2.2,Australian Open,Semifinals
Berdych T.,8/7/2016,7,Wimbledon,Semifinals
Berdych T.,2/6/2016,10,French Open,Quarterfinals
Berdych T.,26/01/16,5,Australian Open,Quarterfinals
Berdych T.,31/08/17,1.25,US Open,2nd Round
Berdych T.,14/07/17,7,Wimbledon,Semifinals
Berdych T.,1/6/2017,1.25,French Open,2nd Round
