ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,B&WW,B&WL,IWW,IWL,SBW,SBL
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Acasuso J.,Carraz G.,42,130,5,7,4,3,,,,,,,0,1,Retired,1.833,1.833,1.9,1.65,1.9,1.6,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Vahaly B.,2,93,7,5,6,3,6,3,,,,,3,0,Completed,1.063,7.5,1.02,7.5,1.02,6,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Waske A.,88,120,6,3,6,4,7,6,,,,,3,0,Completed,1.727,2,1.6,1.95,1.6,1.9,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Daniel M.,52,241,6,7,3,6,7,6,6,4,6,4,3,2,Completed,1.364,3,1.46,2.2,1.35,2.5,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Blake J.,Vanek J.,28,219,7,6,6,4,6,4,,,,,3,0,Completed,1.125,5.5,1.04,7,1.1,4.5,1.071,7
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Burgsmuller L.,Balcells J.,76,109,6,4,7,5,7,5,,,,,3,0,Completed,1.615,2.2,1.48,2.17,1.6,1.9,1.615,2.2
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Voltchkov V.,18,71,6,3,7,5,6,3,,,,,3,0,Completed,1.25,3.75,1.19,3.45,1.25,3,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Chela J.I.,Beck K.,26,114,6,4,3,6,6,1,6,0,,,3,1,Completed,1.143,5,1.12,4.35,1.15,3.8,1.143,5
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Coria G.,Clavet F.,45,118,6,4,7,5,6,1,,,,,3,0,Completed,1.25,3.4,1.16,3.85,1.2,3.3,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Costa A.,Prinosil D.,8,213,6,4,6,1,3,6,7,6,,,3,1,Completed,1.333,3.25,1.18,3.5,1.2,3.3,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Crabb J.,Ilie A.,206,525,6,3,3,6,7,6,6,4,,,3,1,Completed,1.533,2.375,1.47,2.18,1.5,2.1,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Draper S.,Kim A.,139,116,7,5,6,3,3,6,6,3,,,3,1,Completed,1.667,2.1,1.5,2.15,1.6,1.9,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Dupuis A.,Diaz J.,70,433,6,4,6,3,6,3,,,,,3,0,Completed,1.222,4,1.13,4.25,1.15,3.8,1.167,4.5
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,El Aynaoui Y.,Gimelstob J.,22,106,2,6,4,6,6,4,1,0,,,1,2,Retired,1.167,4.5,1.14,4.05,1.15,3.8,1.167,4.5
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Motomura G.,37,233,6,1,2,6,6,3,6,2,,,3,1,Completed,1.083,7,1.05,6.1,1.1,4.5,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Saretta F.,6,83,7,6,7,5,6,3,,,,,3,0,Completed,1.125,5.5,1.09,4.7,1.15,3.8,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Robredo T.,39,32,5,7,6,0,6,3,6,4,,,3,1,Completed,1.615,2.2,1.48,2.17,1.55,2,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Squillari F.,4,79,7,6,3,6,6,2,6,3,,,3,1,Completed,1.2,4.333,1.03,7,1.15,3.8,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Johansson J.,77,221,6,3,7,5,6,2,,,,,3,0,Completed,1.333,3.25,1.3,2.85,1.35,2.5,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Furlan R.,Pavel A.,184,25,4,1,,,,,,,,,0,0,Retired,3.25,1.333,3,1.25,2.5,1.35,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Gambill J.M.,Llodra M.,33,110,6,2,7,5,6,7,2,6,6,2,3,2,Completed,1.25,3.5,1.09,4.7,1.2,3.3,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Gaudio G.,Enqvist T.,21,47,7,5,7,5,6,2,,,,,3,0,Completed,2,1.727,1.7,1.8,1.75,1.75,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Ginepri R.,Rosset M.,101,103,6,3,6,4,6,2,,,,,3,0,Completed,1.533,2.375,1.38,2.42,1.45,2.2,1.5,2.5
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Gonzalez F.,Varlet J.,17,160,6,2,3,6,4,6,6,3,6,4,3,2,Completed,1.167,4.5,1.12,4.35,1.15,3.8,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Meligeni F.,16,75,6,4,6,2,6,3,,,,,3,0,Completed,1.125,5.5,1.09,4.7,1.1,4.5,,
6,Melbourne,Australian Open,14/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Hewitt L.,Larsson M.,1,155,6,3,3,6,6,1,6,7,6,2,3,2,Completed,1.04,9,1.04,6.75,1.03,5.5,,
6,Melbourne,Australian Open,13/01/03,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Morrison J.,27,99,7,6,6,3,4,6,6,3,,,3,1,Completed,1.444,2.625,1.53,2.07,1.35,2.5,,
