ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Ginepri R.,Melzer J.,18,55,1495,675,6,1,6,4,6,2,,,,,3,0,Completed,1.36,3,1.4,2.95,1.44,2.67,1.392,3.35,1.38,2.92
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Gaudio G.,Sabau R.,10,107,2050,397,6,2,5,0,,,,,,,1,0,Retired,1.16,4.5,1.16,5.25,1.1,6.23,1.18,6.05,1.15,5
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Serra F.,14,37,1635,863,4,6,6,3,6,1,6,4,,,3,1,Completed,1.8,1.9,1.85,1.95,1.8,1.95,1.893,2.02,1.8,1.95
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Burgsmuller L.,Schuettler R.,143,87,295,463,3,6,6,3,7,6,6,3,,,3,1,Completed,2.25,1.57,2.25,1.65,2.28,1.58,2.31,1.709,2.32,1.58
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Bracciali D.,Lu Y.H.,80,161,498,256,6,1,7,6,6,2,,,,,3,0,Completed,1.72,2,1.75,2.05,1.76,1.99,1.847,2.08,1.75,2
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Hernych J.,Vicente F.,90,106,455,400,2,6,6,3,7,6,6,2,,,3,1,Completed,1.22,4,1.25,4,1.2,4.45,1.25,4.6,1.2,4.2
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Stepanek R.,Rehnquist B.,20,368,1440,83,6,1,6,2,6,2,,,,,3,0,Completed,1.07,7,1.14,5.75,1.11,5.84,1.163,6.52,1.1,6.3
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Gremelmayr D.,Bjorkman J.,177,66,218,578,3,6,6,2,6,0,6,1,,,3,1,Completed,3.75,1.25,3.65,1.28,4.06,1.21,4.09,1.295,4.1,1.21
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Nalbandian D.,Udomchoke D.,4,121,2370,370,6,2,6,2,1,6,6,7,6,1,3,2,Completed,1.04,9,1.06,9,1.04,9.35,1.056,15,1.06,8
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Montanes A.,46,72,735,536,4,6,6,2,6,3,6,0,,,3,1,Completed,1.11,6,1.1,7,1.1,6.75,1.128,8,1.07,7.6
6,Melbourne,Australian Open,16/01/06,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Gimelstob J.,54,115,684,383,7,6,7,5,6,0,,,,,3,0,Completed,1.36,3,1.35,3.2,1.32,3.22,1.332,3.71,1.35,3.05
