ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Gonzalez F.,Rochus O.,11,59,2870,769,6,3,6,4,3,6,6,1,,,3,1,Completed,1.05,9,1.05,8.5,1.07,7.5,1.067,12,1.063,7.5,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Kubler J.,24,86,1405,573,6,1,6,2,6,2,,,,,3,0,Completed,1.04,10,1.04,9.25,1.02,11,1.053,13.8,1.05,8,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Stepanek R.,39,13,1015,2525,2,6,7,6,6,4,3,6,6,4,3,2,Completed,3,1.36,3,1.37,2.75,1.4,3.21,1.413,2.625,1.444,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Petzschner P.,60,81,746,582,0,6,2,6,6,4,6,2,6,2,3,2,Completed,1.4,2.75,1.5,2.45,1.5,2.5,1.5,2.83,1.444,2.625,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Odesnik W.,Kavcic B.,89,124,559,445,4,6,6,1,6,4,6,2,,,3,1,Completed,1.4,2.75,1.5,2.45,1.5,2.5,1.455,3.01,1.533,2.375,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,De Bakker T.,7,80,4510,586,6,1,6,4,6,4,,,,,3,0,Completed,1.02,12,1.04,9.25,1.02,11,1.025,21,1.01,15,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Golubev A.,Fish M.,131,54,407,835,6,2,1,6,6,3,6,3,,,3,1,Completed,3.25,1.33,3.4,1.3,3.5,1.286,4.04,1.295,3,1.333,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Anderson K.,4,148,6780,347,6,1,6,1,6,2,,,,,3,0,Completed,1.01,15,1.02,11.5,1.015,13,1.017,41,1.02,11,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Russell M.,5,90,6580,554,6,4,6,4,3,6,6,2,,,3,1,Completed,1.02,12,1.05,9,1.03,10,1.04,17,1.01,15,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Rufin G.,289,173,150,287,6,3,6,4,6,4,,,,,3,0,Completed,1.53,2.37,1.63,2.23,1.533,2.375,1.633,2.46,1.571,2.25,,,,
6,Melbourne,Australian Open,18/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Luczak P.,2,70,9310,635,7,6,6,1,6,4,,,,,3,0,Completed,1,21,1.01,13.5,1.01,17,1.016,43.5,1.01,17,,,,
6,Melbourne,Australian Open,19/01/10,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Ball C.,9,129,3300,420,6,7,7,6,7,5,6,2,,,3,1,Completed,1.03,11,1.04,9.25,1.063,8,1.045,15.5,1.05,8,,,,
