ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Moya C.,van Lottum J.,5,98,6,3,6,4,3,6,6,2,,,3,1,Completed,1.04,9,1.04,9.25,1.04,9.25,1.02,7,1.043,17
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Henman T.,Saulnier C.,9,79,4,6,4,6,7,6,6,4,6,3,3,2,Completed,1.143,5,1.18,4.5,1.13,5.5,1.15,3.8,1.16,5.75
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Spadea V.,Serra F.,28,224,7,5,1,6,4,6,7,6,9,7,3,2,Completed,1.28,3.5,1.3,3.35,1.25,3.75,1.3,2.7,,
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Chela J.I.,Levy H.,23,124,6,3,6,1,6,4,,,,,3,0,Completed,1.063,8,1.05,8.5,1.05,7.25,1.05,5,1.065,12.5
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Labadze I.,Johansson J.,50,48,7,5,7,6,7,5,,,,,3,0,Completed,,,,,1.42,2.75,1.4,2.3,1.392,3.2
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Monaco J.,Bogomolov A.,143,119,6,1,6,1,5,7,6,4,,,3,1,Completed,,,1.25,3.7,1.25,3.75,1.25,3,1.274,4.1
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Srichaphan P.,Berdych T.,13,78,6,3,6,4,3,6,6,1,,,3,1,Completed,2,1.727,2.1,1.7,2,1.75,1.75,1.75,2.25,1.69
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Coria G.,Davydenko N.,3,57,6,4,6,2,6,0,,,,,3,0,Completed,1.125,5.5,1.11,6.25,1.1,6.25,1.15,3.8,1.125,7.25
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Haehnel J.,Agassi A.,271,6,6,4,7,6,6,3,,,,,3,0,Completed,9,1.04,6.25,1.1,7.79,1.06,4.5,1.1,,
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Corretja A.,Gambill J.M.,97,86,6,1,4,6,6,3,6,2,,,3,1,Completed,1.25,3.75,1.22,4.15,1.17,4.67,1.2,3.3,1.267,4.2
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Verdasco F.,Rusedski G.,53,103,7,6,6,0,6,0,,,,,3,0,Completed,1.071,7.5,1.05,8.5,1.04,9.25,1.05,5,1.063,13.25
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Burgsmuller L.,Mahut N.,91,107,7,5,6,3,3,6,6,1,,,3,1,Completed,1.667,2.1,1.62,2.25,1.65,2.15,1.7,1.8,1.617,2.42
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Youzhny M.,van Scheppingen D.,38,88,6,0,6,4,6,2,,,,,3,0,Completed,1.143,5,1.1,6.5,1.1,6.25,1.1,4.5,1.125,7.25
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Jeanpierre J.,Beck K.,181,87,6,2,6,4,7,5,,,,,3,0,Completed,2.25,1.57,2.4,1.53,1.45,2.6,1.45,2.2,,
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Blanco G.,Portas A.,95,113,7,5,7,5,3,6,6,4,,,3,1,Completed,2.2,1.615,2.3,1.6,2.3,1.6,2,1.55,2.59,1.559
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Vicente F.,Gicquel M.,148,270,3,6,7,6,6,4,6,2,,,3,1,Completed,,,1.9,1.85,1.87,1.87,1.85,1.65,,
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Mutis O.,Ginepri R.,125,39,6,4,6,4,6,0,,,,,3,0,Completed,2.2,1.615,2.1,1.68,2.15,1.65,2.1,1.5,2.1,1.769
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Mayer F.,Gonzalez F.,75,16,6,7,6,1,6,0,7,6,,,3,1,Completed,4.333,1.2,4.4,1.2,4.67,1.17,3,1.25,5.15,1.194
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Pavel A.,Hernandez O.,22,81,6,2,,,,,,,,,1,0,Retired,1.143,5,1.12,6,1.11,5.84,1.1,4.5,1.157,5.85
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Ancic M.,Sargsian S.,73,45,7,6,4,6,6,4,6,4,,,3,1,Completed,1.833,1.833,,,1.8,1.95,1.75,1.75,1.806,2.04
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Llodra M.,Popp A.,94,84,4,6,6,3,6,4,6,2,,,3,1,Completed,1.4,2.75,1.35,3,1.32,3.22,1.3,2.7,1.417,3.05
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Roddick A.,Martin T.,2,63,7,6,6,4,7,5,,,,,3,0,Completed,1.167,4.5,1.16,5,1.17,4.67,1.2,3.3,1.22,4.75
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Escude N.,Arthurs W.,76,89,7,6,6,2,6,2,,,,,3,0,Completed,1.727,2,1.74,2.04,1.7,2.05,1.6,1.9,1.662,2.31
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Voltchkov V.,Stepanek R.,171,61,6,3,2,6,3,6,6,3,11,9,3,2,Completed,3,1.364,2.85,1.4,2.85,1.4,2.2,1.45,3.25,1.377
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Garcia-Lopez G.,Reid T.,183,127,4,6,6,1,6,2,6,2,,,3,1,Completed,1.364,3,1.38,2.9,1.3,3.35,1.3,2.7,1.294,3.9
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Robredo T.,Martin A.,17,60,6,3,6,3,6,2,,,,,3,0,Completed,1.333,3.25,1.4,2.85,1.4,2.85,1.3,2.7,1.351,3.4
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Horna L.,Philippoussis M.,41,18,6,1,7,6,6,3,,,,,3,0,Completed,1.533,2.375,1.48,2.6,1.45,2.6,1.5,2.1,1.465,2.87
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Sluiter R.,Mello R.,82,149,7,5,6,1,3,6,6,1,,,3,1,Completed,2,1.727,2.1,1.7,2.1,1.7,1.75,1.75,2.18,1.725
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Zabaleta M.,Robert S.,32,170,7,6,6,3,6,2,,,,,3,0,Completed,1.111,6,1.16,5,1.15,5.2,1.15,3.8,1.182,5.25
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Hrbaty D.,Ulihrach B.,24,117,6,1,3,1,,,,,,,1,0,Retired,1.222,4,1.2,4.4,1.15,5.2,1.2,3.3,1.174,5.25
30,Paris,French Open,24/05/04,Grand Slam,Outdoor,Clay,1st Round,5,Massu N.,Tipsarevic J.,11,147,3,6,6,1,6,4,7,6,,,3,1,Completed,,,1.18,4.5,1.23,3.89,1.15,3.8,,
