ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Lopez-Jaen M.A.,Dancevic F.,264,111,140,415,7,6,3,6,7,5,7,6,,,3,1,Completed,1.57,2.25,1.6,2.4,1.571,2.25,1.585,2.61,1.6,2.28
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Chardy J.,Gil F.,145,134,326,345,6,3,6,2,7,6,,,,,3,0,Completed,2.1,1.66,2.2,1.65,2.1,1.667,2.12,1.82,2.15,1.67
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Del Potro J.M.,Ouanna J.,68,225,558,174,6,3,6,2,6,3,,,,,3,0,Completed,1.28,3.5,1.27,3.81,1.286,3.5,1.269,4.42,,
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Nalbandian D.,Berlocq C.,7,84,2115,503,6,2,6,4,6,1,,,,,3,0,Completed,1.08,7,1.1,6.75,1.083,7,1.08,11,1.08,7.25
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Decoud S.,Rochus O.,247,66,152,569,3,6,6,4,6,3,6,7,6,1,3,2,Completed,4.33,1.2,3.95,1.25,3.75,1.25,4.6,1.25,4.35,1.2
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Blake J.,Schuettler R.,8,90,1985,494,6,4,6,1,7,6,,,,,3,0,Completed,1.08,7,1.13,5.95,1.14,5,1.125,8.2,1.12,6
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Djokovic N.,Gremelmayr D.,3,64,5225,578,4,6,6,3,7,5,6,2,,,3,1,Completed,1.01,13,1.02,13.5,1.02,11,1.018,36,1.02,15
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Gonzalez M.,Karanusic R.,137,110,340,420,6,3,7,5,4,6,3,6,6,2,3,2,Completed,1.72,2,1.85,2,1.833,1.833,1.794,2.16,1.78,1.98
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Schwank E.,Moya C.,75,17,531,1340,7,6,6,2,6,7,4,6,6,3,3,2,Completed,3.5,1.28,2.98,1.4,3.25,1.33,3.53,1.366,3,1.35
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Almagro N.,Pashanski B.,20,105,1270,435,6,4,7,5,6,1,,,,,3,0,Completed,1.06,8,1.05,9.5,1.063,8,1.08,11,1.06,8.5
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Mathieu P.H.,Kuerten G.,19,1141,1270,5,6,3,6,4,6,2,,,,,3,0,Completed,1.02,12,1.04,12,1.03,10,1.038,21,1.04,10
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Murray A.,Eysseric J.,12,390,1480,82,6,2,1,6,4,6,6,0,6,2,3,2,Completed,1.03,11,1.05,9.5,1.04,9,1.047,17.25,1.05,9
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Gulbis E.,Greul S.,80,193,512,206,6,4,6,0,6,4,,,,,3,0,Completed,1.44,2.62,1.54,2.51,1.571,2.25,1.588,2.6,,
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Lapentti N.,Tipsarevic J.,69,34,554,958,6,4,4,6,6,1,7,6,,,3,1,Completed,2.5,1.5,2.45,1.55,2.5,1.5,2.44,1.649,2.45,1.52
31,Paris,French Open,25/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Acasuso J.,Hrbaty D.,49,281,711,133,6,4,6,2,6,4,,,,,3,0,Completed,1.11,6,1.16,5.29,1.167,4.5,1.167,6.4,1.16,5
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Robredo T.,Coria G.,14,604,1430,36,5,7,6,4,6,1,6,4,,,3,1,Completed,1.05,9,1.09,7.33,1.063,8,1.089,10.25,1.07,8
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Hernandez O.,Minar I.,86,65,497,571,4,6,7,6,6,3,7,5,,,3,1,Completed,1.66,2.1,1.65,2.25,1.727,2,1.704,2.32,1.75,2.05
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Bolelli S.,Baghdatis M.,47,18,721,1335,6,2,6,4,6,2,,,,,3,0,Completed,1.44,2.62,1.42,2.89,1.444,2.625,1.459,2.98,1.41,2.8
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Verdasco F.,Ventura S.,23,91,1240,494,4,6,6,3,6,4,6,7,6,1,3,2,Completed,1.14,5,1.2,4.55,1.167,4.5,1.159,6.7,1.15,5.2
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Granollers M.,Berrer M.,51,71,677,537,6,3,3,6,6,2,6,3,,,3,1,Completed,1.22,4,1.25,3.97,1.286,3.5,1.225,5.05,1.2,4.3
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Garcia-Lopez G.,Roitman S.,96,87,477,496,6,2,6,4,7,6,,,,,3,0,Completed,1.53,2.37,1.55,2.5,1.615,2.2,1.565,2.67,1.57,2.34
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Odesnik W.,Canas G.,106,31,433,1000,7,6,7,6,7,6,,,,,3,0,Completed,3.5,1.28,3.73,1.28,3.75,1.25,3.75,1.328,3.4,1.3
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Andujar P.,Volandri F.,151,74,303,535,6,7,6,2,6,3,6,3,,,3,1,Completed,2.62,1.44,2.44,1.56,2.375,1.533,2.8,1.513,2.38,1.55
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Lee H.T.,Bjorkman J.,52,62,670,588,6,4,6,4,6,3,,,,,3,0,Completed,1.3,3.4,1.3,3.53,1.36,3,1.31,3.93,1.3,3.4
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Querrey S.,1,40,6675,835,6,4,6,4,6,3,,,,,3,0,Completed,1.005,21,1.02,13.5,1.01,15,1.016,43.5,1.01,20
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Gonzalez F.,Cuevas P.,25,113,1160,411,6,3,6,3,6,1,,,,,3,0,Completed,1.14,5,1.2,4.55,1.125,5.5,1.189,5.79,1.17,4.8
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Berdych T.,Smeets R.,13,166,1460,262,6,1,6,0,6,0,,,,,3,0,Completed,1.02,12,1.02,13.5,1.04,9,1.038,21,1.04,10
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Llodra M.,Patience O.,41,128,831,361,3,6,7,6,6,3,7,5,,,3,1,Completed,1.61,2.2,1.65,2.25,1.571,2.25,1.758,2.22,1.62,2.25
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Devilder N.,Guccione C.,148,70,311,544,6,4,6,1,6,4,,,,,3,0,Completed,1.44,2.62,1.49,2.65,1.5,2.5,1.485,2.86,1.5,2.52
31,Paris,French Open,26/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Serra F.,Giraldo S.,94,181,487,229,6,4,6,3,6,2,,,,,3,0,Completed,,,,,,,,,,
31,Paris,French Open,27/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Capdeville P.,Zverev M.,141,81,333,510,6,1,6,4,6,2,,,,,3,0,Completed,1.44,2.62,1.49,2.65,1.533,2.375,1.488,2.85,1.53,2.44
31,Paris,French Open,27/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Ancic M.,Seppi A.,46,32,735,998,6,2,7,6,6,2,,,,,3,0,Completed,1.9,1.8,1.8,2.03,1.833,1.833,2.02,1.893,1.84,1.92
31,Paris,French Open,27/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Soderling R.,Monaco J.,44,16,750,1375,6,2,6,3,6,1,,,,,3,0,Completed,1.72,2,1.75,2.1,1.727,2,1.741,2.25,1.78,1.99
31,Paris,French Open,27/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Wawrinka S.,Kohlschreiber P.,10,36,1575,905,6,3,6,4,6,3,,,,,3,0,Completed,1.36,3,1.45,2.7,1.444,2.625,1.426,3.15,1.44,2.7
31,Paris,French Open,27/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Davydenko N.,Johansson T.,4,67,3425,568,6,3,6,3,6,3,,,,,3,0,Completed,1.02,12,1.05,8.75,1.04,9,1.044,18.5,1.03,12
31,Paris,French Open,28/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Santoro F.,Korolev E.,50,92,691,489,7,6,6,1,6,4,,,,,3,0,Completed,2.5,1.5,2.45,1.55,2.375,1.533,2.6,1.588,2.15,1.67
31,Paris,French Open,28/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Melzer J.,Luczak P.,97,114,474,406,6,3,6,2,6,4,,,,,3,0,Completed,1.25,3.75,1.25,3.8,1.333,3.25,1.333,3.7,1.3,3.4
31,Paris,French Open,28/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Vanek J.,Huta Galung J.,93,187,489,215,6,3,7,5,6,2,,,,,3,0,Completed,1.53,2.37,1.6,2.4,1.571,2.25,1.654,2.43,1.55,2.38
31,Paris,French Open,28/05/08,Grand Slam,Outdoor,Clay,1st Round,5,Daniel M.,Ferrero J.C.,79,24,517,1205,6,7,2,2,,,,,,,0,1,Retired,7.5,1.07,6.35,1.12,7,1.083,8,1.13,8,1.07
