ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Raonic M.,Kyrgios N.,9,160,2975,350,6,3,7,6,6,3,,,,,3,0,Completed,1.07,9,1.1,6.5,1.07,7.5,1.09,9.06,1.08,7.5,1.1,9.06,1.08,7.7
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Youzhny M.,Carreno-Busta P.,16,68,2065,729,3,6,1,6,6,3,6,4,6,0,3,2,Completed,1.36,3,1.42,2.8,1.36,3,1.47,2.9,1.4,2.88,1.47,3.1,1.41,2.88
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Nedovyesov A.,Devvarman S.,101,96,591,595,5,7,6,3,7,6,6,3,,,3,1,Completed,1.9,1.8,1.8,2,1.73,2,1.99,1.92,1.8,2,1.99,2.05,1.85,1.92
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Nieminen J.,Przysiezny M.,60,102,790,572,6,7,6,4,6,7,6,3,6,4,3,2,Completed,1.14,5.5,1.2,4.3,1.17,4.5,1.14,6.87,1.17,5,1.2,6.87,1.17,5.03
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Stepanek R.,Arguello F.,43,114,1040,512,6,7,3,6,6,4,6,3,6,2,3,2,Completed,1.28,3.5,1.28,3.5,1.29,3.5,1.31,3.85,1.29,3.5,1.33,4,1.28,3.6
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Lacko L.,4,87,5125,617,6,2,6,4,6,2,,,,,3,0,Completed,1.01,26,1.02,12,1.02,17,1.01,27.22,1.02,13,1.03,27.22,1.02,16.47
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Berdych T.,Polansky P.,6,135,4330,421,6,3,6,4,6,4,,,,,3,0,Completed,1.01,21,1.02,12,1.03,12,1.02,22.73,1.03,13,1.03,23.5,1.02,15.43
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Schwartzman D.,Elias G.,109,178,533,294,6,4,6,2,7,5,,,,,3,0,Completed,1.53,2.37,1.55,2.4,1.57,2.25,1.57,2.57,1.57,2.38,1.61,2.57,1.57,2.37
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Janowicz J.,Estrella Burgos V.,23,100,1510,592,6,1,6,4,6,7,6,4,,,3,1,Completed,1.18,4.5,1.22,4,1.22,4,1.22,4.85,1.29,3.5,1.29,4.85,1.22,4.17
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Isner J.,Herbert P.H.,11,130,2600,431,7,6,7,6,7,5,,,,,3,0,Completed,1.08,8,1.11,6,1.11,6,1.1,8.6,1.1,7,1.15,8.6,1.1,6.96
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Tsonga J.W.,Roger-Vasselin E.,14,51,2315,895,7,6,7,5,6,2,,,,,3,0,Completed,1.14,5.5,1.15,5.25,1.14,5,1.17,5.87,1.17,5,1.17,5.87,1.15,5.28
32,Paris,French Open,25/05/14,Grand Slam,Outdoor,Clay,1st Round,5,Tursunov D.,Starace P.,32,176,1155,304,6,1,7,5,6,2,,,,,3,0,Completed,1.44,2.62,1.5,2.5,1.44,2.62,1.56,2.62,1.53,2.5,1.59,2.75,1.5,2.56
