ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Marchenko I.,13,73,2855,690,7,5,6,3,6,1,,,,,3,0,Completed,1.12,5.5,1.17,4.65,1.14,5,1.18,5.71,1.2,4,1.2,6.1,1.16,4.93
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Russell M.,6,80,4285,654,6,4,6,1,6,3,,,,,3,0,Completed,1.06,8,1.09,6.75,1.11,6,1.11,8.36,1.07,7,1.13,9.1,1.09,7
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Klizan M.,24,293,1560,151,6,1,6,3,6,0,,,,,3,0,Completed,1.14,5,1.18,4.5,1.14,5,1.19,5.49,1.13,5.5,1.2,6,1.16,5.01
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Korolev E.,147,69,337,715,7,6,5,2,,,,,,,1,0,Retired,1.5,2.5,1.55,2.35,1.57,2.25,1.64,2.43,1.53,2.38,1.64,2.6,1.56,2.36
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Greul S.,38,84,1135,633,6,3,6,4,6,2,,,,,3,0,Completed,1.12,5.5,1.15,5,1.17,4.5,1.2,5.38,1.2,4,1.2,6.1,1.17,4.84
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,De Bakker T.,Gicquel M.,48,170,972,284,6,4,7,5,6,2,,,,,3,0,Completed,1.2,4.33,1.25,3.75,1.29,3.5,1.26,4.41,1.25,3.5,1.29,4.55,1.24,3.86
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Mello R.,Phau B.,81,97,652,541,6,4,7,5,4,6,7,6,,,3,1,Completed,1.53,2.37,1.6,2.25,1.62,2.2,1.71,2.3,1.57,2.25,1.71,2.5,1.59,2.29
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Soderling R.,Haider-Maurer A.,5,214,4910,223,7,5,6,3,6,7,5,7,6,4,3,2,Completed,1.01,15,1.03,10,1.02,11,1.02,28.5,1.02,13,1.07,31.25,1.02,14.98
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Kendrick R.,19,148,2070,334,3,6,6,3,6,4,6,7,6,4,3,2,Completed,1.25,3.75,1.3,3.3,1.29,3.5,1.34,3.69,1.33,3,1.36,4.1,1.3,3.4
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Andreev I.,Zeballos H.,121,61,440,795,6,3,4,6,7,6,6,3,,,3,1,Completed,1.44,2.62,1.55,2.35,1.53,2.38,1.51,2.81,1.57,2.25,1.57,2.82,1.5,2.51
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Dodig I.,Gonzalez F.,146,29,337,1340,6,7,6,1,1,0,,,,,1,1,Retired,2.62,1.44,2.35,1.55,2.38,1.53,2.76,1.52,2.38,1.53,2.76,1.59,2.46,1.52
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Melzer J.,Tursunov D.,15,481,2470,62,6,4,6,2,3,6,4,6,6,2,3,2,Completed,1.16,4.5,1.2,4.3,1.22,4,1.22,5.05,1.22,3.75,1.25,5.05,1.22,4.12
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Rufin G.,Mayer L.,206,79,239,672,2,6,7,6,7,6,6,1,,,3,1,Completed,3,1.36,2.8,1.4,2.75,1.4,3.14,1.43,3,1.33,3.37,1.44,2.9,1.39
49,New York,US Open,30/08/10,Grand Slam,Outdoor,Hard,1st Round,5,Ball C.,Raonic M.,145,247,346,185,6,7,6,3,6,3,6,2,,,3,1,Completed,2,1.72,1.95,1.8,1.91,1.8,2.15,1.8,1.83,1.83,2.15,1.85,1.97,1.78
