ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Bjorkman J.,Johansson T.,59,21,638,1330,3,6,7,6,6,1,6,1,,,3,1,Completed,2.37,1.53,2.35,1.6,2.45,1.5,2.58,1.595,2.35,1.57
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Dlouhy L.,Serra F.,84,36,475,860,4,6,6,3,6,4,7,5,,,3,1,Completed,4.33,1.19,3.65,1.28,3.46,1.28,4.2,1.286,3.9,1.24
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Nalbandian D.,Moodie W.,3,73,3360,561,6,3,6,4,6,1,,,,,3,0,Completed,1.08,7,1.12,6.25,1.1,6.75,1.151,7.01,1.1,6.6
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Ancic M.,Almagro N.,10,47,1885,818,7,6,7,5,7,6,,,,,3,0,Completed,1.05,9,1.07,8.5,1.1,6.75,1.077,12,1.06,8.8
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Clement A.,Portas A.,57,115,662,386,6,3,6,2,6,4,,,,,3,0,Completed,1.06,8,1.08,8,1.07,7.19,1.091,10,1.06,8.5
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Wang Y.T.,Marach O.,99,96,431,433,6,1,7,6,6,0,,,,,3,0,Completed,1.22,4,1.25,4,1.26,3.59,1.285,4.21,1.25,3.75
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Sanguinetti D.,Kim K.,69,108,585,403,6,3,7,6,6,1,,,,,3,0,Completed,2.1,1.66,2.15,1.7,2.25,1.6,2.47,1.637,2.15,1.67
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Blake J.,Pless K.,7,139,2085,311,6,3,7,5,5,7,6,4,,,3,1,Completed,1.04,9,1.08,8,1.06,7.79,1.105,8.5,1.06,8.5
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Ferrero J.C.,Vicente F.,28,100,1130,430,6,1,6,3,6,2,,,,,3,0,Completed,1.14,5,1.14,5.65,1.13,5.5,1.152,7,1.15,5.1
36,London,Wimbledon,27/06/06,Grand Slam,Outdoor,Grass,1st Round,5,Karanusic R.,Schuettler R.,163,82,253,483,7,6,4,6,6,2,6,1,,,3,1,Completed,1.83,1.83,1.81,2,1.8,1.95,1.813,2.13,1.77,2
