ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Benneteau J.,Muller G.,32,53,1210,826,6,2,7,5,7,6,,,,,3,0,Completed,1.72,2,1.75,2,1.67,2.1,1.86,2.05,1.73,2,1.86,2.1,1.77,2
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Sweeting R.,Starace P.,130,97,413,558,6,2,2,0,,,,,,,1,0,Retired,1.18,4.5,1.2,4.3,1.2,4.33,1.2,5.23,1.2,4,1.25,5.26,1.2,4.44
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Youzhny M.,Young D.,33,51,1210,834,4,6,6,3,6,2,6,3,,,3,1,Completed,1.04,13,1.05,9,1.04,9,1.03,17.5,1.05,8,1.06,17.5,1.04,11.3
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Bemelmans R.,Berlocq C.,131,37,411,1050,7,5,6,7,6,3,7,6,,,3,1,Completed,1.57,2.25,1.55,2.35,1.57,2.25,1.67,2.36,1.57,2.25,1.67,2.5,1.59,2.32
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Gasquet R.,Kamke T.,19,84,1600,605,6,2,6,2,6,2,,,,,3,0,Completed,1.04,13,1.05,9,1.06,8,1.04,16,1.05,8,1.08,16,1.05,10.6
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Russell M.,Menendez-Maceiras A.,112,212,500,232,6,3,6,1,7,6,,,,,3,0,Completed,1.36,3,1.4,2.8,1.36,3,1.44,3.04,1.36,2.88,1.45,3.2,1.4,2.88
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Verdasco F.,Wang J.,16,207,1765,240,7,6,6,4,7,5,,,,,3,0,Completed,1.1,7,1.1,6.5,1.1,6.5,1.13,7.24,1.08,6.5,1.13,7.5,1.11,6.47
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Zemlja G.,Goodall J.,120,215,459,229,6,4,3,6,7,6,6,4,,,3,1,Completed,1.25,3.75,1.25,3.75,1.25,3.75,1.32,3.74,1.29,3.25,1.33,3.8,1.29,3.48
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Klizan M.,Chela J.I.,62,83,728,620,7,5,3,6,7,6,1,6,11,9,3,2,Completed,1.36,3,1.4,2.9,1.44,2.62,1.44,3.03,1.44,2.63,1.48,3.1,1.41,2.82
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Becker B.,Blake J.,124,91,441,582,6,7,7,5,6,0,6,4,,,3,1,Completed,1.2,4.33,1.25,3.75,1.29,3.5,1.25,4.44,1.25,3.5,1.29,4.53,1.24,3.93
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Cervantes I.,Cipolla F.,152,89,354,591,2,6,6,7,6,3,6,2,6,1,3,2,Completed,2.25,1.57,2.3,1.6,2.25,1.57,2.24,1.73,2.1,1.67,2.45,1.73,2.22,1.63
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Ferrero J.C.,1,38,12280,1035,6,3,6,3,6,1,,,,,3,0,Completed,1.01,23,1.02,15,1,26,1.01,36,1.01,17,1.02,36.87,1.01,19.94
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Tipsarevic J.,Nalbandian D.,8,40,3200,1015,6,4,7,6,6,2,,,,,3,0,Completed,1.57,2.25,1.59,2.24,1.67,2.2,1.59,2.53,1.62,2.2,1.7,2.53,1.62,2.25
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Fognini F.,Llodra M.,68,54,695,810,3,6,6,3,6,4,7,5,,,3,1,Completed,2.62,1.44,2.65,1.45,2.5,1.5,2.91,1.47,2.38,1.53,2.91,1.53,2.63,1.47
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Troicki V.,Granollers M.,34,23,1190,1530,7,5,7,6,3,6,2,6,8,6,3,2,Completed,1.61,2.2,1.7,2.1,1.67,2.1,1.76,2.19,1.62,2.2,2.1,2.25,1.7,2.13
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,5,Simon G.,Mathieu P.H.,13,176,2525,287,6,3,5,4,,,,,,,1,0,Retired,1.38,2.87,1.4,2.8,1.5,2.5,1.52,2.73,1.36,2.88,1.52,2.96,1.44,2.73
