ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Struff J.L.,Mayer L.,64,36,865,1235,3,6,6,7,7,6,7,6,6,1,3,2,Completed,2.62,1.5,2.5,1.47,2.62,1.5,2.66,1.54,2.69,1.54,2.58,1.51
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Cilic M.,Nishioka Y.,5,256,5060,217,6,1,6,4,6,4,,,,,3,0,Completed,1.03,15,1.02,10,1.03,13,1.03,20.5,1.04,21,1.02,14.87
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Jarry N.,Krajinovic F.,66,30,859,1489,6,3,3,6,7,6,6,4,,,3,1,Completed,1.44,2.75,1.45,2.55,1.44,2.75,1.56,2.6,1.56,2.8,1.5,2.61
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Kohlschreiber P.,Donskoy E.,27,83,1575,706,6,2,6,4,7,5,,,,,3,0,Completed,1.16,5,1.16,4.6,1.17,5,1.21,5.12,1.22,5.47,1.18,4.91
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Pouille L.,Kudla D.,19,84,1835,699,6,3,6,3,2,6,6,3,,,3,1,Completed,1.61,2.25,1.6,2.2,1.61,2.25,1.68,2.34,1.69,2.4,1.63,2.28
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Querrey S.,Thompson J.,13,101,2130,575,6,2,6,4,6,3,,,,,3,0,Completed,1.12,6,1.12,5.4,1.14,5.5,1.14,6.87,1.17,6.87,1.14,5.86
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Muller G.,Mmoh M.,60,119,915,459,7,5,4,6,7,6,3,6,6,1,3,2,Completed,1.28,3.75,1.25,3.6,1.3,3.5,1.29,4.02,1.32,4.02,1.28,3.7
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Novak D.,Polansky P.,171,110,338,495,6,2,6,3,7,6,,,,,3,0,Completed,1.57,2.37,1.5,2.4,1.53,2.5,1.56,2.6,1.63,2.6,1.54,2.48
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Stakhovsky S.,Sousa J.,109,45,513,1045,6,3,6,3,5,7,1,6,6,4,3,2,Completed,1.61,2.25,1.62,2.15,1.67,2.2,1.74,2.22,1.75,2.25,1.69,2.17
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Lajovic D.,2,58,8720,920,6,1,6,3,6,4,,,,,3,0,Completed,1.01,23,1.01,11.5,1.02,15,1.03,17.65,1.03,29.92,1.02,17.56
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Pella G.,Kubler J.,82,147,710,385,6,4,7,5,4,6,7,6,,,3,1,Completed,1.57,2.37,1.57,2.25,1.61,2.25,1.69,2.3,1.73,2.45,1.62,2.31
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Mcdonald M.,Berankis R.,103,96,554,599,4,6,7,6,6,3,7,6,,,3,1,Completed,1.53,2.5,1.5,2.4,1.53,2.5,1.61,2.49,1.65,2.75,1.55,2.47
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Karlovic I.,Youzhny M.,112,102,480,571,4,6,7,5,7,6,6,3,,,3,1,Completed,1.9,1.9,1.75,1.95,1.73,2.1,1.83,2.09,1.93,2.1,1.81,2.01
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Garcia-Lopez G.,Elias G.,65,118,863,460,6,2,6,4,6,2,,,,,3,0,Completed,1.11,7,1.08,6.5,1.1,7,1.1,8.55,1.13,9.4,1.09,7.65
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Medvedev D.,Coric B.,67,20,847,1745,7,6,6,2,6,2,,,,,3,0,Completed,4.5,1.22,4.1,1.2,4,1.22,4.34,1.26,4.55,1.27,4.22,1.23
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Raonic M.,Broady L.,32,173,1430,328,7,5,6,0,6,1,,,,,3,0,Completed,1.1,7,1.07,7,1.08,7.5,1.09,9.01,1.1,10.43,1.07,8.39
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Isner J.,Maden Y.,10,134,3045,424,6,2,7,6,7,5,,,,,3,0,Completed,1.11,6,1.11,5.6,1.14,5.5,1.17,6.02,1.17,7.19,1.12,6.46
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Fabbiano T.,Bhambri Y.,133,85,424,687,2,6,6,3,6,3,6,2,,,3,1,Completed,1.5,2.62,1.45,2.55,1.44,2.75,1.55,2.64,1.56,2.8,1.49,2.63
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Seppi A.,Smith J.P.,50,211,996,277,6,2,6,4,6,1,,,,,3,0,Completed,1.44,2.75,1.45,2.55,1.5,2.62,1.53,2.7,1.53,3.15,1.47,2.68
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Millman J.,Travaglia S.,56,137,931,409,6,7,6,3,7,5,6,2,,,3,1,Completed,1.44,2.75,1.45,2.55,1.5,2.62,1.43,3.06,1.53,3.06,1.47,2.7
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Wawrinka S.,Dimitrov G.,224,6,255,4780,1,6,7,6,7,6,6,4,,,3,1,Completed,4,1.25,3.95,1.21,4,1.25,4.66,1.23,4.71,1.25,4.29,1.22
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Tsitsipas S.,Barrere G.,35,188,1254,302,6,3,6,4,6,7,7,5,,,3,1,Completed,1.2,4.33,1.2,4.1,1.25,4,1.22,4.9,1.25,4.9,1.21,4.38
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Monfils G.,Gasquet R.,44,31,1070,1465,7,6,7,5,6,4,,,,,3,0,Completed,2.5,1.53,2.5,1.47,2.5,1.53,2.71,1.53,2.71,1.56,2.57,1.51
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Anderson K.,Gombos N.,8,190,3635,299,6,3,6,4,6,4,,,,,3,0,Completed,1.08,9,1.07,7,1.08,7.5,1.07,11.51,1.1,11.51,1.07,9.03
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Donaldson J.,Jaziri M.,54,61,945,912,7,6,6,3,6,1,,,,,3,0,Completed,1.5,2.62,1.5,2.4,1.53,2.5,1.53,2.7,1.53,2.72,1.5,2.58
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Bemelmans R.,Johnson S.,104,42,545,1085,7,5,6,3,4,6,6,7,8,6,3,2,Completed,2.75,1.44,2.75,1.4,2.75,1.44,3.01,1.44,3.01,1.48,2.85,1.43
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Lorenzi P.,Djere L.,86,90,668,648,7,6,6,7,6,2,6,4,,,3,1,Completed,1.72,2.1,1.85,1.85,1.91,1.91,1.77,2.17,1.89,2.55,1.78,2.06
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Mannarino A.,Garin C.,26,167,1580,344,6,3,1,6,7,6,6,2,,,3,1,Completed,1.25,4,1.22,3.85,1.22,4.33,1.28,4.06,1.29,4.5,1.25,4.06
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Harrison R.,Carballes Baena R.,59,79,920,729,6,1,6,4,6,2,,,,,3,0,Completed,1.12,6,1.12,5.4,1.14,5.5,1.13,7.38,1.16,7.38,1.13,6.15
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Bedene A.,Norrie C.,71,75,770,743,4,6,7,6,7,6,6,4,,,3,1,Completed,1.5,2.62,1.45,2.55,1.5,2.62,1.53,2.7,1.55,2.9,1.49,2.63
40,London,Wimbledon,02/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Lacko L.,Bonzi B.,73,284,752,189,4,6,6,3,7,6,6,4,,,3,1,Completed,1.2,4.5,1.21,3.95,1.22,4.33,1.24,4.58,1.28,4.8,1.23,4.19
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Gulbis E.,Clarke J.,138,218,402,265,4,6,6,3,7,6,3,6,6,4,3,2,Completed,1.16,5,1.18,4.3,1.2,4.5,1.22,4.85,1.24,5.3,1.19,4.76
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Tomic B.,Hurkacz H.,184,122,308,454,6,4,6,2,7,6,,,,,3,0,Completed,1.36,3.2,1.32,3.1,1.36,3.25,1.34,3.56,1.37,3.56,1.33,3.31
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Del Potro J.M.,Gojowczyk P.,4,39,5080,1153,6,3,6,4,6,3,,,,,3,0,Completed,1.12,6,1.1,5.9,1.11,6.5,1.11,8.05,1.15,8.05,1.11,6.58
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Dzumhur D.,Marterer M.,23,48,1665,999,6,3,6,2,6,4,,,,,3,0,Completed,1.72,2.1,1.65,2.1,1.67,2.2,1.71,2.27,1.75,2.31,1.68,2.19
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Nishikori K.,Harrison C.,28,198,1530,292,6,2,4,6,7,6,6,2,,,3,1,Completed,1.1,8,1.07,7,1.08,7.5,1.08,9.87,1.12,10.5,1.08,8.21
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Lopez F.,Delbonis F.,70,88,780,667,6,3,6,4,6,2,,,,,3,0,Completed,1.11,7,1.09,6.25,1.11,6.5,1.12,7.64,1.13,8,1.1,6.84
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Vesely J.,Mayer F.,93,91,640,646,7,6,6,4,4,6,6,1,,,3,1,Completed,1.5,2.62,1.42,2.65,1.44,2.75,1.46,2.93,1.5,3,1.45,2.77
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Albot R.,Carreno Busta P.,98,12,586,2145,3,6,6,0,6,7,6,2,6,1,3,2,Completed,3,1.4,2.85,1.37,3,1.4,3.14,1.42,3.14,1.44,3,1.39
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Edmund K.,Bolt A.,17,204,1950,286,6,2,6,3,7,5,,,,,3,0,Completed,1.16,5,1.16,4.6,,,1.18,5.65,1.21,5.65,1.17,5.01
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Kyrgios N.,Istomin D.,18,92,1855,642,7,6,7,6,6,7,6,3,,,3,1,Completed,1.12,6,1.11,5.6,1.14,5.5,1.13,7.05,1.15,7.3,1.13,6.19
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Klahn B.,Sugita Y.,168,69,342,820,2,6,7,6,6,2,6,2,,,3,1,Completed,3.5,1.3,3.2,1.3,3.25,1.36,3.32,1.38,3.5,1.43,3.28,1.34
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Schwartzman D.,Basic M.,11,78,2435,733,6,3,6,2,6,1,,,,,3,0,Completed,1.5,2.62,1.42,2.65,1.44,2.75,1.45,3,1.5,3,1.43,2.82
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Fritz T.,Sonego L.,68,121,839,455,3,6,6,3,6,2,6,2,,,3,1,Completed,1.25,4,1.23,3.75,1.25,4,1.31,3.85,1.31,4.16,1.26,3.92
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Haase R.,Copil M.,43,94,1075,617,7,6,7,5,4,6,7,6,,,3,1,Completed,1.5,2.62,1.5,2.4,1.53,2.5,1.59,2.52,1.7,2.65,1.54,2.49
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Zverev A.,Duckworth J.,3,748,5755,28,7,5,6,2,6,0,,,,,3,0,Completed,1.03,15,1.02,10,1.04,11,1.06,13,1.06,16.75,1.03,12.43
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Tiafoe F.,Verdasco F.,52,34,985,1280,7,6,7,6,3,6,6,3,,,3,1,Completed,2.1,1.72,2.1,1.65,2.1,1.73,2.22,1.74,2.23,1.77,2.16,1.7
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Bolelli S.,Cuevas P.,154,76,370,735,7,6,7,6,6,1,,,,,3,0,Completed,1.66,2.2,1.6,2.2,1.61,2.25,1.63,2.44,1.67,2.44,1.62,2.31
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Robert S.,Ramos-Vinolas A.,158,38,359,1170,7,6,6,2,6,1,,,,,3,0,Completed,2.37,1.57,2.35,1.53,2.37,1.57,2.46,1.62,2.57,1.62,2.42,1.57
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,De Minaur A.,Cecchinato M.,80,29,723,1514,6,4,6,7,7,6,6,4,,,3,1,Completed,1.44,2.75,1.42,2.65,1.44,2.75,1.47,2.92,1.5,3,1.44,2.78
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Nadal R.,Sela D.,1,127,8770,437,6,3,6,3,6,2,,,,,3,0,Completed,1.02,19,1.01,11.5,1.02,15,1.04,15.92,1.04,21.77,1.02,15.11
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Fognini F.,Daniel T.,16,87,2030,668,3,6,6,3,6,3,6,3,,,3,1,Completed,1.28,3.75,1.28,3.35,1.3,3.5,1.3,3.88,1.33,4,1.29,3.59
40,London,Wimbledon,03/07/18,Grand Slam,Outdoor,Grass,1st Round,5,Khachanov K.,Ferrer D.,40,37,1130,1175,6,1,7,6,3,6,7,5,,,3,1,Completed,1.22,4.33,1.21,3.95,1.25,4,1.25,4.46,1.28,4.5,1.24,4.14
