ATP,Tournament,Tournament_Int,Date,Series,Series_Int,Court,Court_Int,Surface,Surface_Int,Round,Round_Int,Best_of,Winner,Winner_Int,Player1,Player1_Int,Player2,Player2_Int,Player1_Rank,Player2_Rank,Player1_Odds,Player2_Odds,Player1_Implied_Prob,Player2_Implied_Prob
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,ThompsonJ.,6.7926,YmerE.,6.7633,ThompsonJ.,6.7926,160,79,3.5,1.29,0.2857,0.7752
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,MahutN.,6.9297,MahutN.,6.9297,RobertS.,6.9686,39,54,1.54,2.43,0.6494,0.4115
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,FerrerD.,6.3881,TomicB.,6.5792,FerrerD.,6.3881,26,21,1.77,2.01,0.565,0.4975
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,EdmundK.,6.8384,EdmundK.,6.8384,EscobedoE.,6.0929,45,141,1.37,3.01,0.7299,0.3322
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,DimitrovG.,6.5157,JohnsonS.,6.7032,DimitrovG.,6.5157,33,17,2.85,1.41,0.3509,0.7092
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,DonaldsonJ.,6.9054,DonaldsonJ.,6.9054,MullerG.,6.6176,105,34,2.64,1.47,0.3788,0.6803
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,GrothS.,6.9961,HerbertP.H.,6.9637,GrothS.,6.9961,78,180,1.61,2.27,0.6211,0.4405
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,PouilleL.,6.8045,PouilleL.,6.8045,SimonG.,6.6845,15,25,1.83,1.94,0.5464,0.5155
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,TroickiV.,6.8786,NishiokaY.,6.8975,TroickiV.,6.8786,100,29,2.57,1.49,0.3891,0.6711
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,SchwartzmanD.,6.0786,SchwartzmanD.,6.0786,QuerreyS.,6.4965,52,31,2.18,1.66,0.4587,0.6024
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,ZverevM.,6.4668,DeMinaurA.,6.1938,ZverevM.,6.4668,351,51,2.7,1.45,0.3704,0.6897
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,NadalR.,6.2304,NadalR.,6.2304,DolgopolovO.,6.8643,9,62,1.14,5.34,0.8772,0.1873
1,BrisbaneInternational,1.2757,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,NishikoriK.,6.1257,DonaldsonJ.,6.9054,NishikoriK.,6.1257,105,5,6.37,1.11,0.157,0.9009
1,BrisbaneInternational,1.2757,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,ThompsonJ.,6.7926,ThompsonJ.,6.7926,FerrerD.,6.3881,79,21,4.46,1.2,0.2242,0.8333
1,BrisbaneInternational,1.2757,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,EdmundK.,6.8384,PouilleL.,6.8045,EdmundK.,6.8384,15,45,1.51,2.51,0.6623,0.3984
1,BrisbaneInternational,1.2757,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,WawrinkaS.,6.9056,WawrinkaS.,6.9056,TroickiV.,6.8786,4,29,1.31,3.39,0.7634,0.295
1,BrisbaneInternational,1.2757,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,DimitrovG.,6.5157,MahutN.,6.9297,DimitrovG.,6.5157,39,17,4.39,1.2,0.2278,0.8333
1,BrisbaneInternational,1.2757,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,ThiemD.,6.5644,ThiemD.,6.5644,GrothS.,6.9961,8,180,1.2,4.4,0.8333,0.2273
1,BrisbaneInternational,1.2757,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,RaonicM.,6.0616,SchwartzmanD.,6.0786,RaonicM.,6.0616,52,3,5.66,1.13,0.1767,0.885
