ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Tsonga J.W.,7,212,2415,186,6,7,7,6,6,3,6,3,,,3,1,Completed,1.01,15,1.01,16,1.02,11.5,1.018,36,1.02,18
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Koubek S.,163,63,258,605,1,6,6,7,7,6,6,2,6,3,3,2,Completed,3,1.36,4,1.25,2.92,1.37,3.8,1.323,3.1,1.35
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Volandri F.,17,45,1435,809,6,4,6,4,6,2,,,,,3,0,Completed,1.04,9,1.05,10,1.07,7.19,1.065,13.5,1.08,7
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Soeda G.,10,188,2000,214,6,4,6,3,6,2,,,,,3,0,Completed,1.04,9,1.05,10,1.07,7.19,1.05,16,1.06,9
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Fleishman Z.,Calleri A.,170,26,240,1023,7,5,4,6,6,3,6,4,,,3,1,Completed,4,1.22,4,1.25,,,4.23,1.283,3.8,1.25
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Hajek J.,24,77,1080,509,3,0,,,,,,,,,0,0,Retired,1.11,6,1.14,5.65,1.08,6.92,1.15,7.07,,
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Delic A.,Simon G.,95,48,438,751,6,3,6,0,6,2,,,,,3,0,Completed,2.1,1.66,2.25,1.65,2.12,1.67,2.13,1.813,2,1.77
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Gicquel M.,Jones A.,54,182,715,221,3,6,6,7,6,4,6,1,6,0,3,2,Completed,1.33,3.25,1.33,3.3,1.28,3.46,1.35,3.66,1.29,3.45
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Udomchoke D.,Vassallo-Arguello M.,102,85,417,470,6,3,6,3,6,2,,,,,3,0,Completed,1.28,3.5,1.28,3.65,1.28,3.46,1.288,4.17,1.29,3.45
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Johansson J.,65,156,562,277,1,1,,,,,,,,,0,0,Retired,3.75,1.25,3.65,1.28,3.2,1.32,4.1,1.294,3.2,1.33
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Vanek J.,22,103,1183,414,6,7,7,6,6,1,6,3,,,3,1,Completed,1.19,4.33,1.2,4.55,1.23,3.89,1.222,5.11,1.18,4.6
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Phau B.,1,82,8120,483,7,5,6,0,6,4,,,,,3,0,Completed,1,17,1.01,16,1.01,13.5,1.012,61,1.01,40
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Spadea V.,Andreev I.,71,136,544,340,6,2,7,6,6,1,,,,,3,0,Completed,1.83,1.83,1.81,2,1.76,1.99,2.01,1.901,1.78,1.98
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Bracciali D.,59,66,645,560,7,6,6,7,6,4,7,6,,,3,1,Completed,1.33,3.25,1.33,3.3,1.28,3.46,1.397,3.32,1.33,3.2
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Lu Y.H.,Greul S.,91,80,449,486,6,3,6,4,6,3,,,,,3,0,Completed,2.2,1.61,2.05,1.77,1.97,1.78,2.14,1.806,2,1.77
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Hernych J.,25,75,1075,511,7,6,6,2,6,0,,,,,3,0,Completed,1.25,3.75,1.3,3.5,1.3,3.35,1.286,4.2,1.3,3.4
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Schuettler R.,11,100,1880,425,6,4,2,6,6,3,6,2,,,3,1,Completed,1.1,6.5,1.08,8,1.1,6.75,1.091,10,1.1,6.6
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Srichaphan P.,202,56,194,705,6,4,6,2,6,2,,,,,3,0,Completed,2.1,1.66,,,2.15,1.65,2.15,1.8,2.12,1.68
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Mahut N.,Monaco J.,68,67,552,559,6,0,6,7,6,3,6,4,,,3,1,Completed,2.25,1.57,2.15,1.7,2.15,1.65,2.13,1.813,2.1,1.7
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Melzer J.,Karlovic I.,32,94,925,441,6,4,6,4,7,6,,,,,3,0,Completed,1.72,2,,,1.95,1.8,1.826,2.11,1.88,1.88
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Acasuso J.,129,28,354,995,6,7,6,4,6,1,6,3,,,3,1,Completed,2.62,1.44,2.75,1.45,2.67,1.44,3.18,1.42,2.65,1.45
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Patience O.,50,115,743,379,5,7,4,6,6,0,6,1,6,2,3,2,Completed,1.39,2.75,1.42,2.85,1.45,2.6,1.431,3.12,1.4,2.85
6,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Ramirez-Hidalgo R.,6,55,2455,710,6,4,6,4,6,0,,,,,3,0,Completed,1.05,8.5,1.06,9,1.06,7.79,1.071,12,1.05,10
