ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Gremelmayr D.,12,80,3390,1042,6,1,6,7,6,1,6,7,6,4,3,2,Completed,1.1,6.5,1.1,6.75,1.143,5,1.1,6.5,1.12,6
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Ginepri R.,21,47,2400,1490,6,4,6,4,6,3,,,,,3,0,Completed,1.36,3,1.45,2.8,1.364,3,1.364,3,1.37,3
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Ouahab L.,450,193,127,430,6,2,6,1,6,2,,,,,3,0,Completed,1.25,3.75,1.25,3.9,1.333,3.25,1.286,3.25,1.3,3.4
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Isner J.,251,139,302,645,7,6,2,6,6,2,7,5,,,3,1,Completed,1.57,2.25,1.6,2.4,1.571,2.25,1.533,2.375,1.6,2.28
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Soderling R.,Kendrick R.,17,96,2650,956,5,7,6,4,6,4,7,5,,,3,1,Completed,1.06,8,1.1,6.75,1.1,6.5,1.1,6.5,1.09,7
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Dabul B.,Petzschner P.,100,63,940,1232,6,1,6,2,6,4,,,,,3,0,Completed,3.75,1.25,3.5,1.36,3.75,1.25,3.5,1.286,3.8,1.25
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Rehnquist B.,9,191,3940,442,6,0,6,2,6,2,,,,,3,0,Completed,1,21,1.02,13.5,1.013,15,1.02,12,1.01,20
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Llodra M.,195,56,428,1350,7,6,6,1,6,1,,,,,3,0,Completed,1.66,2.1,1.65,2.28,1.833,1.833,1.727,2,1.67,2.15
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Lopez F.,87,28,988,2010,6,3,7,6,4,6,4,6,7,6,3,2,Completed,2.62,1.44,2.55,1.5,2.375,1.533,2.5,1.533,2.6,1.47
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Starace P.,768,73,42,1128,7,6,1,6,7,6,7,6,,,3,1,Completed,3.4,1.3,3.5,1.3,3.75,1.25,4,1.2,3.7,1.26
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Reynolds B.,22,69,2390,1146,6,2,7,5,6,1,,,,,3,0,Completed,1.3,3.4,1.28,3.55,1.286,3.5,1.286,3.5,1.28,3.55
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Benneteau J.,97,48,950,1478,6,3,7,6,6,2,,,,,3,0,Completed,1.61,2.2,1.65,2.2,1.667,2.1,1.727,2.1,1.74,2.04
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Minar I.,16,102,2670,930,6,1,2,6,7,5,7,6,,,3,1,Completed,1.16,4.5,1.19,4.75,1.167,4.5,1.2,4.5,1.19,4.4
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Zverev M.,6,81,4060,1040,6,3,6,4,6,2,,,,,3,0,Completed,1.01,13,1.04,12,1.05,8.5,1.03,11,1.03,12
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Martin A.,53,99,1395,940,6,3,3,6,6,2,6,4,,,3,1,Completed,1.12,5.5,1.15,5.6,1.167,4.5,1.125,6,1.13,5.6
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Klein B.,Phau B.,249,110,304,883,6,4,6,3,4,6,6,3,,,3,1,Completed,4.33,1.2,3.91,1.25,3.75,1.25,3.5,1.25,4.2,1.21
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Daniel M.,68,101,1163,932,6,4,6,4,6,1,,,,,3,0,Completed,1.14,5,1.2,4.55,1.222,4,1.222,3.75,1.25,3.8
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Stoppini A.,3,220,10650,354,6,2,6,3,7,5,,,,,3,0,Completed,1,21,1.01,16,1.013,15,1.01,15,1.01,20
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Groth S.,24,279,2330,266,6,7,6,4,7,5,6,0,,,3,1,Completed,1.05,9,1.09,7.33,1.071,7.5,1.071,8,1.06,9
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Delic A.,Dent T.,127,728,728,48,6,4,3,6,4,6,6,3,6,4,3,2,Completed,2,1.72,2.1,1.75,1.833,1.833,1.833,1.833,1.97,1.8
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Calleri A.,62,66,1232,1170,3,6,7,6,6,2,6,0,,,3,1,Completed,2.1,1.66,2.2,1.65,2.1,1.667,2,1.727,2.1,1.7
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Korolev E.,Moya C.,118,41,808,1580,6,3,6,1,7,6,,,,,3,0,Completed,2.1,1.66,2.1,1.75,2.1,1.667,2.1,1.667,2.1,1.7
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Anderson K.,20,108,2450,904,6,3,6,2,6,7,6,3,,,3,1,Completed,1.1,6.5,1.12,6.35,1.1,6.5,1.071,7,1.1,6.5
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Lu Y.H.,Bellucci T.,61,90,1244,978,6,3,7,5,6,4,,,,,3,0,Completed,1.57,2.25,1.58,2.4,1.615,2.2,1.615,2.2,1.54,2.4
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Bolelli S.,Vliegen K.,39,85,1686,1008,7,6,7,6,7,5,,,,,3,0,Completed,1.53,2.37,1.6,2.4,1.571,2.25,1.533,2.375,1.58,2.32
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Safin M.,Navarro-Pastor I.,27,74,2050,1108,6,3,6,3,6,4,,,,,3,0,Completed,1.12,5.5,1.15,5.6,1.167,4.5,1.1,6,1.14,5.5
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Mathieu P.H.,Nieminen J.,29,38,2000,1700,6,2,4,1,,,,,,,1,0,Retired,2,1.72,2.15,1.7,2.1,1.667,2.1,1.727,2.03,1.75
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Tipsarevic J.,Hernandez O.,46,67,1500,1168,4,6,6,1,6,3,4,6,6,0,3,2,Completed,1.1,6.5,1.12,6.35,1.125,5.5,1.1,6,1.1,6.5
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Querrey S.,34,33,1855,1860,7,6,6,3,6,2,,,,,3,0,Completed,1.83,1.83,2.1,1.75,1.833,1.833,1.833,1.833,1.75,2.03
6,Melbourne,Australian Open,19/01/09,Grand Slam,Outdoor,Hard,1st Round,5,Santoro F.,Ferrero J.C.,60,65,1268,1190,6,3,6,2,6,7,6,2,,,3,1,Completed,3.75,1.25,3.95,1.25,3.5,1.286,3.5,1.25,4,1.23
