ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Cipolla F.,Davydenko N.,76,52,671,875,6,4,4,6,3,6,6,2,6,1,3,2,Completed,3.5,1.28,3.4,1.3,3.75,1.25,3.61,1.34,3.75,1.22,3.75,1.35,3.48,1.29
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Kubot L.,10,58,2380,822,1,6,7,5,6,3,7,5,,,3,1,Completed,1.3,3.4,1.3,3.4,1.36,3,1.43,3.06,1.29,3.25,1.43,3.4,1.34,3.17
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Riba P.,Montanes A.,88,50,612,895,7,6,2,6,6,4,7,6,,,3,1,Completed,3.5,1.28,3.4,1.3,3,1.36,3.52,1.35,3,1.33,3.52,1.37,3.27,1.32
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Stakhovsky S.,Marchenko I.,65,246,755,192,6,3,6,7,4,6,6,3,7,5,3,2,Completed,1.38,2.87,1.35,3.1,1.36,3,1.45,2.97,1.36,2.88,1.46,3.25,1.38,2.94
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Mannarino A.,11,91,2315,598,2,6,6,1,7,5,6,4,,,3,1,Completed,1.07,9,1.05,9,1.06,8.5,1.09,9.5,1.05,9,1.09,10.4,1.06,8.33
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Mayer L.,19,21,1755,1630,7,6,6,3,7,6,,,,,3,0,Completed,1.16,5,1.22,4,1.25,3.75,1.29,3.97,1.14,5,1.3,6,1.19,4.53
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Nielsen F.,32,240,1190,197,6,1,6,2,6,4,,,,,3,0,Completed,1.22,4,1.3,3.4,1.29,3.5,1.26,4.3,1.22,3.75,1.3,4.3,1.25,3.75
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Kavcic B.,Ward J.,103,347,552,123,6,4,6,3,6,4,,,,,3,0,Completed,1.8,1.9,1.8,1.95,1.73,2,1.92,1.99,1.73,2,1.92,2.01,1.8,1.95
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Ramos A.,7,67,3700,734,7,5,4,6,6,2,6,3,,,3,1,Completed,1.01,21,1.03,12,1.03,11,1.02,21,1.02,11,1.03,26.24,1.02,13.7
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Verdasco F.,38,24,1048,1550,4,6,6,7,6,4,6,2,7,5,3,2,Completed,1.53,2.37,1.5,2.5,1.67,2.1,1.65,2.38,1.57,2.38,1.68,2.55,1.57,2.34
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Kamke T.,Hanescu V.,98,90,578,600,6,2,6,1,6,2,,,,,3,0,Completed,1.61,2.2,1.75,2,1.73,2,1.64,2.41,1.67,2.1,1.8,2.41,1.68,2.12
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Melzer J.,57,33,842,1170,7,6,7,5,6,3,,,,,3,0,Completed,2.62,1.44,2.55,1.5,2.38,1.53,2.49,1.61,2.38,1.53,2.7,1.61,2.5,1.51
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Muller G.,8,55,2965,853,6,4,6,4,6,2,,,,,3,0,Completed,1.16,5,1.25,3.75,1.2,4.33,1.19,5.46,1.22,3.75,1.25,5.46,1.2,4.33
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Berlocq C.,Huta Galung J.,61,233,801,205,2,6,6,3,7,6,6,3,,,3,1,Completed,1.66,2.1,1.85,1.9,1.73,2,1.81,2.12,1.73,2,1.9,2.18,1.77,2
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Monaco J.,41,27,1005,1335,7,5,4,6,6,3,6,7,6,0,3,2,Completed,1.44,2.62,1.5,2.5,1.5,2.5,1.59,2.53,1.57,2.25,1.59,2.63,1.52,2.48
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Paire B.,22,84,1615,636,6,1,6,1,7,5,,,,,3,0,Completed,1.22,4,1.25,3.75,1.25,3.75,1.22,4.89,1.25,3.5,1.29,4.89,1.25,3.83
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,De Schepper K.,95,135,589,400,6,3,6,2,6,2,,,,,3,0,Completed,1.14,5.5,1.18,4.5,1.17,4.5,1.17,5.94,1.14,5,1.18,5.94,1.16,4.95
6,Melbourne,Australian Open,16/01/12,Grand Slam,Outdoor,Hard,1st Round,5,Falla A.,Fognini F.,71,47,696,915,6,3,6,2,3,6,6,1,,,3,1,Completed,1.38,2.87,1.4,2.85,1.4,2.75,1.5,2.8,1.4,2.75,1.5,3,1.42,2.76
