ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Zabaleta M.,Lopez F.,39,53,6,2,7,6,6,0,,,,,3,0,Completed,1.5,2.5,1.52,2.45,1.45,2.2,1.444,2.625,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Hrbaty D.,Srichaphan P.,62,10,6,4,3,6,6,0,7,5,,,3,1,Completed,1.286,3.5,1.28,3.5,1.2,3.3,1.286,3.25,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,El Aynaoui Y.,Dupuis A.,26,80,6,4,6,4,6,4,,,,,3,0,Completed,1.444,2.625,1.4,2.8,1.35,2.5,1.444,2.625,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Schuettler R.,Mamiit C.,11,131,6,1,2,6,6,4,6,2,,,3,1,Completed,1.111,6,1.09,6.5,1.1,4.5,1.1,6,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Spadea V.,Labadze I.,32,105,6,1,3,6,5,7,6,4,6,1,3,2,Completed,1.333,3.25,1.3,3.35,1.2,3.3,1.333,3,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Malisse X.,Calatrava A.,29,206,7,5,6,4,6,2,,,,,3,0,Completed,1.4,2.75,1.45,2.65,1.45,2.2,1.4,2.75,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Koubek S.,Popp A.,72,170,7,5,6,2,6,3,,,,,3,0,Completed,1.25,3.75,1.16,4.85,1.15,3.8,1.2,4,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,van Lottum J.,Norman D.,96,119,6,3,3,6,2,6,6,3,6,4,3,2,Completed,2.2,1.615,2.4,1.55,2.2,1.45,2.25,1.571,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Verkerk M.,Krajan Z.,46,103,6,3,6,4,6,4,,,,,3,0,Completed,1.364,3,1.35,3.05,1.3,2.7,1.364,2.875,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Puerta M.,Gimelstob J.,97,90,6,2,4,6,7,6,6,1,,,3,1,Completed,1.333,3.25,1.25,3.75,1.25,3,1.2,4,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Lisnard J.R.,Delfino M.,98,185,6,1,6,4,4,6,6,4,,,3,1,Completed,,,,,,,,,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Rochus C.,Gamonal H.,101,195,7,5,6,3,6,3,,,,,3,0,Completed,1.5,2.5,1.6,2.25,1.6,1.9,1.5,2.5,,
31,Paris,French Open,26/05/03,Grand Slam,Outdoor,Clay,1st Round,5,Horna L.,Federer R.,88,5,7,6,6,2,7,6,,,,,3,0,Completed,7,1.083,7.75,1.06,5,1.05,7.5,1.063,,
