ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
31,Paris,French Open,27/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Safin M.,Vicente F.,25,133,1095,324,6,1,6,3,6,1,,,,,3,0,Completed,1.12,5.5,1.16,5,1.13,5.5,1.166,6.41,1.16,5
31,Paris,French Open,27/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Starace P.,Minar I.,57,211,619,192,4,6,6,1,6,4,7,6,,,3,1,Completed,1.1,6.5,1.12,6,1.11,5.84,1.125,8.2,1.14,5.3
31,Paris,French Open,27/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Tipsarevic J.,Vemic D.,80,239,501,160,7,6,6,4,4,6,6,3,,,3,1,Completed,1.39,2.75,1.4,2.85,1.35,3.1,1.417,3.2,,
31,Paris,French Open,28/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Davydenko N.,Galvani S.,4,117,2840,352,6,3,6,1,6,1,,,,,3,0,Completed,1.02,12,1.04,10,1.03,10.5,1.017,40,1.02,18
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Ascione T.,Cilic M.,168,113,257,364,6,2,6,2,6,1,,,,,3,0,Completed,2.2,1.61,2.2,1.65,2.28,1.58,2.37,1.68,2.28,1.6
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Bolelli S.,Verkerk M.,75,717,538,21,6,1,6,4,6,4,,,,,3,0,Completed,1.2,4.33,1.2,4.4,1.17,4.67,1.222,5.11,1.16,5
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Canas G.,Hanescu V.,22,425,1272,70,6,3,6,1,6,4,,,,,3,0,Completed,1.06,8,1.06,8.5,1.07,7.48,1.075,11.75,1.08,7.5
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Melzer J.,Acasuso J.,30,46,920,735,6,4,7,5,6,4,,,,,3,0,Completed,2.75,1.4,3,1.37,2.92,1.37,3.04,1.446,3.2,1.33
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Monaco J.,Fognini F.,35,191,860,214,3,6,2,6,6,1,6,2,6,4,2,2,Completed,1.1,6.5,1.08,7.25,1.05,7.75,1.129,8.05,1.11,6.15
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Berlocq C.,Benneteau J.,97,36,424,835,6,7,7,5,6,2,6,3,,,3,1,Completed,4,1.22,4.1,1.22,4.45,1.18,5.09,1.223,4.5,1.19
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Wawrinka S.,Ramirez-Hidalgo R.,44,63,740,590,0,6,5,7,6,2,7,5,6,4,3,2,Completed,2.2,1.61,2.2,1.65,2.1,1.65,2.37,1.68,2.1,1.7
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Youzhny M.,Hernych J.,15,92,1685,454,,,,,,,,,,,0,0,Walkover,1.08,7,1.1,6.5,1.11,5.84,1.135,7.7,1.12,5.8
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Lapentti N.,Peya A.,65,98,568,423,6,1,6,4,2,1,,,,,2,0,Retired,1.36,3,1.33,3.2,1.42,2.75,1.385,3.4,1.35,3.1
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Koubek S.,Rochus C.,70,179,552,235,6,7,7,6,6,4,1,2,,,2,1,Retired,1.5,2.5,1.5,2.55,1.55,2.35,1.565,2.67,1.5,2.52
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Ljubicic I.,Clement A.,7,45,2260,740,6,1,7,5,7,6,,,,,3,0,Completed,1.38,2.87,1.48,2.6,1.45,2.6,1.465,2.95,1.4,2.9
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Eschauer W.,Sidorenko A.,93,304,442,115,6,3,3,6,6,3,5,4,,,2,1,Retired,1.28,3.5,1.25,3.85,1.25,3.67,1.267,4.44,1.28,3.6
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Russell M.,1,68,7515,557,6,4,6,2,6,4,,,,,3,0,Completed,1,17,1.01,14,1.01,11.5,1.015,48.5,1.02,18
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Robredo T.,Roitman S.,9,83,2100,484,6,3,6,4,6,2,,,,,3,0,Completed,1.07,7.5,1.06,8.5,1.05,8.5,1.06,14.25,1.05,10
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Volandri F.,Capdeville P.,34,115,872,360,6,3,7,5,6,3,,,,,3,0,Completed,1.14,5,1.16,5,1.13,5.5,1.192,5.7,1.15,5.2
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Economidis K.,Guccione C.,146,99,301,422,6,7,6,4,6,4,6,1,,,3,1,Completed,1.57,2.25,1.77,2,1.8,1.95,1.676,2.38,1.61,2.25
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Vassallo-Arguello M.,Falla A.,60,111,603,371,6,3,6,3,6,7,7,6,,,3,1,Completed,1.72,2,1.83,1.93,1.8,1.95,1.877,2.04,1.82,1.94
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Chela J.I.,Santoro F.,21,55,1275,621,6,7,6,0,6,3,6,3,,,3,1,Completed,1.14,5,1.16,5,1.17,4.67,1.176,6.18,1.16,4.95
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Monfils G.,Rochus O.,52,47,657,730,4,6,6,4,6,2,3,6,6,1,3,2,Completed,1.39,2.75,1.4,2.85,1.45,2.6,1.455,3,1.49,2.55
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Ferrero J.C.,Delic A.,20,69,1355,552,6,7,6,3,6,3,6,4,,,3,1,Completed,1.07,7.5,1.1,6.5,1.05,8.5,1.055,15.25,1.08,7.4
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Roger-Vasselin E.,Daniel M.,144,174,307,245,6,1,4,1,,,,,,,1,0,Retired,2.25,1.57,,,,,2.38,1.68,2.28,1.6
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Montcourt M.,Becker B.,130,43,335,744,6,3,6,1,6,3,,,,,3,0,Completed,1.61,2.2,1.55,2.4,1.55,2.4,1.575,2.64,1.63,2.22
31,Paris,French Open,29/05/07,Grand Slam,Outdoor,Clay,1st Round,5,Verdasco F.,Haehnel J.,51,186,695,221,4,6,6,2,6,2,6,0,,,3,1,Completed,1.25,3.75,1.25,3.85,1.28,3.46,1.247,4.65,1.25,3.8
