ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Golubev A.,Gremelmayr D.,88,158,832,477,6,3,6,3,6,2,,,,,3,0,Completed,1.8,1.9,1.9,1.9,1.8,1.909,1.833,1.833,1.88,1.88
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Hewitt L.,Karlovic I.,48,28,1190,1665,6,7,6,7,7,6,6,4,6,3,3,2,Completed,1.44,2.62,1.46,2.73,1.44,2.62,1.4,2.88,1.48,2.6
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Sela D.,Lisnard J.R.,55,220,1100,332,6,4,6,3,4,6,6,3,,,3,1,Completed,2,1.72,2.27,1.64,1.909,1.8,2,1.727,1.94,1.83
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Montcourt M.,Lu Y.H.,123,75,636,927,6,2,,,,,,,,,1,0,Retired,1.16,4.5,1.22,4.14,1.3,3.4,1.29,3.25,1.28,3.55
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Cilic M.,Hernych J.,13,74,2670,931,6,0,6,4,6,3,,,,,3,0,Completed,1.12,5.5,1.15,5.6,1.16,4.5,1.2,4,1.18,4.65
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Ouanna J.,Granollers M.,134,96,567,805,7,5,2,6,3,6,7,6,6,1,3,2,Completed,2.62,1.44,2.51,1.54,2.5,1.5,2.5,1.5,2.6,1.48
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Safin M.,Sidorenko A.,22,145,1845,527,6,4,6,4,6,4,,,,,3,0,Completed,1.2,4.33,1.22,4.33,1.167,4.5,1.222,4,1.21,4.25
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Verdasco F.,Serra F.,8,47,3830,1196,6,2,6,1,6,4,,,,,3,0,Completed,1.03,11,1.06,9.21,1.063,8,1.071,7,1.07,8
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Petzschner P.,Polansky P.,67,279,990,235,5,7,6,2,7,6,4,6,6,3,3,2,Completed,2.25,1.57,2.27,1.64,2.25,1.571,1.909,1.833,2.52,1.5
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Almagro N.,Calleri A.,34,118,1525,695,6,4,6,1,6,3,,,,,3,0,Completed,1.14,5,1.2,4.55,1.222,4,1.2,4,1.17,4.8
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Simon G.,Odesnik W.,7,87,3890,836,3,6,7,5,6,2,4,6,6,3,3,2,Completed,1.16,4.5,1.2,4.55,1.167,4.5,1.167,4.5,1.21,4.2
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Kendrick R.,Brands D.,86,129,839,610,6,7,7,5,7,6,4,6,6,3,3,2,Completed,2.62,1.44,2.35,1.57,2.625,1.444,2.5,1.5,2.52,1.5
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Ferrer D.,Gil F.,14,66,2540,991,6,2,6,4,6,4,,,,,3,0,Completed,1.1,6.5,1.12,6,1.1,6.5,1.1,6,1.12,6
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Stepanek R.,Gaudio G.,19,357,2100,166,6,3,6,4,6,1,,,,,3,0,Completed,1.25,3.75,1.3,3.56,1.286,3.5,1.25,3.5,1.32,3.3
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Murray A.,Chela J.I.,3,183,9020,407,6,2,6,2,6,1,,,,,3,0,Completed,1.07,7.5,1.07,8.25,1.083,7,1.1,6,1.09,7
31,Paris,French Open,24/05/09,Grand Slam,Outdoor,Clay,1st Round,5,Gulbis E.,Querrey S.,40,54,1360,1140,7,6,6,1,3,6,6,1,,,3,1,Completed,1.72,2,1.76,2.07,1.8,1.909,1.73,2,1.86,1.9
