ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Albot R.,Barrere G.,97,197,634,303,4,6,0,6,7,5,6,1,6,2,3,2,Completed,2,1.8,2.05,1.69,2,1.8,2.12,1.81,2.18,1.91,2.06,1.77
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Dzumhur D.,Kudla D.,29,113,1415,471,6,4,6,2,6,2,,,,,3,0,Completed,1.44,2.75,1.47,2.49,1.5,2.62,1.48,2.86,1.54,3.02,1.46,2.72
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Dimitrov G.,Safwat M.,5,182,4870,320,6,1,6,4,7,6,,,,,3,0,Completed,,,,,,,,,1.03,25,1.02,19
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Donaldson J.,Jarry N.,57,61,910,888,6,3,4,6,3,6,6,3,6,4,3,2,Completed,2.75,1.44,2.55,1.45,2.62,1.5,2.8,1.5,2.86,1.55,2.67,1.48
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Monfils G.,Benchetrit E.,37,306,1220,166,3,6,6,1,6,2,6,1,,,3,1,Completed,1.16,5,1.13,5,1.14,5.5,1.2,5.24,1.2,6.13,1.17,5.18
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Klizan M.,Djere L.,117,101,463,596,7,6,4,6,7,6,6,1,,,3,1,Completed,1.5,2.62,1.48,2.46,1.53,2.5,1.46,2.95,1.57,2.95,1.51,2.58
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Carreno Busta P.,Kovalik J.,11,146,2415,383,4,6,6,1,7,5,7,6,,,3,1,Completed,1.16,5,1.16,4.7,1.17,5,1.19,5.42,1.22,5.8,1.17,5.13
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Nishikori K.,Janvier M.,21,307,1710,165,7,6,6,4,6,3,,,,,3,0,Completed,1.04,13,1.03,9.4,1.05,10,1.04,15.08,1.06,15.72,1.03,12.49
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Moutet C.,Karlovic I.,141,92,398,665,7,6,6,2,7,6,,,,,3,0,Completed,2.1,1.72,2.14,1.63,2.1,1.73,2.27,1.71,2.3,1.77,2.18,1.69
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Verdasco F.,Nishioka Y.,35,266,1280,207,6,7,6,4,6,3,6,7,7,5,3,2,Completed,1.25,4,1.25,3.6,1.25,4,1.25,4.46,1.29,4.55,1.25,4.05
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Berrettini M.,Otte O.,96,156,639,351,3,6,7,5,6,2,6,1,,,3,1,Completed,1.61,2.3,1.59,2.22,1.61,2.25,1.65,2.4,1.69,2.4,1.63,2.3
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Pouille L.,Medvedev D.,16,53,2030,974,6,2,6,3,6,4,,,,,3,0,Completed,1.2,4.5,1.2,4.1,1.22,4.33,1.22,4.85,1.3,4.85,1.22,4.37
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Andreozzi G.,Fritz T.,108,68,506,849,6,7,6,3,3,6,6,2,6,3,3,2,Completed,1.5,2.62,1.49,2.46,1.53,2.5,1.54,2.66,1.57,2.66,1.51,2.57
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Zverev A.,Berankis R.,3,102,5615,594,6,1,6,1,6,2,,,,,3,0,Completed,1.01,21,1.01,11,1.01,21,1.01,25.99,1.03,28.5,1.01,20.11
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Goffin D.,Haase R.,9,44,3020,1155,4,6,4,6,6,4,6,1,6,0,3,2,Completed,1.14,5.5,1.13,5,1.14,5.5,1.16,6.28,1.17,6.28,1.15,5.52
33,Paris,French Open,27/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Delbonis F.,Bellucci T.,69,278,835,201,6,1,6,3,3,6,6,1,,,3,1,Completed,1.53,2.5,1.47,2.5,1.53,2.5,1.53,2.71,1.58,2.71,1.51,2.56
33,Paris,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Cecchinato M.,Copil M.,72,94,806,662,2,6,6,7,7,5,6,2,10,8,3,2,Completed,1.4,2.75,1.4,2.75,1.44,2.75,1.48,2.86,1.48,3,1.44,2.8
33,Paris,French Open,28/05/18,Grand Slam,Outdoor,Clay,1st Round,5,Garcia-Lopez G.,Wawrinka S.,67,30,850,1400,6,2,3,6,4,6,7,6,6,3,3,2,Completed,2.2,1.66,2.15,1.63,2.1,1.73,2.3,1.69,2.33,1.76,2.22,1.67
