ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Cilic M.,Fabbiano T.,13,96,2710,592,6,3,7,5,6,1,,,,,3,0,Completed,1.08,8,1.08,10.62,1.11,10.62,1.08,8.01
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Popyrin A.,Humbert U.,109,61,520,827,3,6,6,3,7,6,6,3,,,3,1,Completed,2,1.8,2.12,1.81,2.18,1.85,2.04,1.78
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Ruud C.,Gulbis E.,63,79,810,687,6,2,7,6,6,0,,,,,3,0,Completed,1.28,3.75,1.28,4.15,1.31,4.15,1.27,3.81
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Berrettini M.,Andujar P.,31,93,1320,602,6,7,6,4,6,4,6,2,,,3,1,Completed,1.2,4.5,1.19,5.42,1.22,5.42,1.18,4.81
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Dimitrov G.,Tipsarevic J.,46,303,997,115,6,3,6,0,3,6,6,7,6,4,3,2,Completed,1.16,5,1.2,5.21,1.2,5.5,1.18,5
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Tsitsipas S.,Marterer M.,6,116,4080,493,6,2,6,2,7,6,,,,,3,0,Completed,1.03,15,1.03,17.6,1.04,21,1.03,14.56
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Otte O.,Jaziri M.,144,92,391,602,6,3,6,1,4,6,6,0,,,3,1,Completed,1.8,2,1.79,2.15,1.82,2.15,1.77,2.05
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Nishikori K.,Halys Q.,7,151,3860,376,6,2,6,3,6,4,,,,,3,0,Completed,1.14,5.5,1.15,6.48,1.18,6.48,1.15,5.57
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Mahut N.,Cecchinato M.,252,19,182,1840,2,6,6,7,6,4,6,2,6,4,3,2,Completed,8,1.08,8.18,1.11,9.3,1.13,7.62,1.09
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Sonego L.,3,74,5950,732,6,2,6,4,6,4,,,,,3,0,Completed,1.11,6.5,1.11,8.01,1.15,8.01,1.11,6.69
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Dellien H.,Gunneswaran P.,86,88,651,629,6,1,6,3,6,1,,,,,3,0,Completed,1.2,4.5,1.24,4.62,1.24,4.85,1.21,4.45
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Schwartzman D.,Fucsovics M.,20,50,1755,965,6,3,3,6,7,6,2,6,6,2,3,2,Completed,1.28,3.75,1.38,3.36,1.38,3.76,1.32,3.41
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Djere L.,Ramos-Vinolas A.,32,87,1314,640,6,3,6,2,7,6,,,,,3,0,Completed,1.72,2.1,1.77,2.18,1.78,2.18,1.74,2.11
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Kohlschreiber P.,Haase R.,54,67,895,781,6,4,6,4,6,7,6,1,,,3,1,Completed,1.22,4.33,1.25,4.42,1.26,4.42,1.24,4.1
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Mayer L.,Vesely J.,68,105,770,546,7,6,6,3,6,0,,,,,3,0,Completed,1.66,2.2,1.66,2.37,1.7,2.47,1.63,2.29
32,Paris,French Open,26/05/2019,Grand Slam,Outdoor,Clay,1st Round,5,Goffin D.,Berankis R.,29,73,1325,734,6,0,6,2,6,2,,,,,3,0,Completed,1.08,8,1.07,10.68,1.1,10.68,1.07,8.58
