ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Moya C.,Baker B.,4,179,6,7,6,4,6,4,6,2,,,3,1,Completed,1.04,9,1.05,9,1.04,9.25,1.05,5,1.059,14
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Saulnier C.,Rusedski G.,62,91,6,4,3,6,6,1,3,6,7,6,3,2,Completed,1.909,1.8,1.95,1.81,1.87,1.87,1.75,1.75,1.87,1.952
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Novak J.,Stepanek R.,26,69,7,5,6,1,6,3,,,,,3,0,Completed,1.533,2.375,1.45,2.65,1.45,2.6,1.35,2.5,1.435,3
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Mutis O.,240,116,2,6,6,2,6,1,7,5,,,3,1,Completed,1.8,1.9,1.7,2.1,1.63,2.2,1.65,1.85,,
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Delic A.,Tipsarevic J.,245,115,6,1,6,3,6,4,,,,,3,0,Completed,2.75,1.4,2.3,1.6,2.75,1.42,2.2,1.45,,
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Costa A.,1,44,7,5,6,2,6,4,,,,,3,0,Completed,1.03,10,1.05,9,1.04,9.25,1.05,5,1.042,18
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Kiefer N.,Mahut N.,20,124,6,3,7,5,6,2,,,,,3,0,Completed,1.167,4.5,1.14,5.4,1.14,5.19,1.2,3.3,1.157,5.85
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Calatrava A.,Bogdanovic A.,106,206,6,3,3,6,4,6,6,1,6,4,3,2,Completed,2.25,1.571,2.55,1.5,2.45,1.5,2,1.55,2.56,1.568
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Rochus O.,Ancic M.,100,29,7,5,6,2,7,6,,,,,3,0,Completed,2.625,1.444,2.7,1.45,2.6,1.45,2.3,1.4,2.7,1.526
50,New York,US Open,30/08/04,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Andreev I.,36,50,6,3,6,4,4,6,2,6,7,5,3,2,Completed,2.1,1.667,1.97,1.8,2.05,1.75,1.75,1.75,2.08,1.781
