ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Levine J.,4,485,3255,52,6,4,6,0,6,1,,,,,3,0,Completed,1.01,13,1.03,11,1.03,10.5,1.025,28.5,1.03,12.5
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Ferrero J.C.,60,21,586,1220,6,3,6,4,6,4,,,,,3,0,Completed,3,1.36,2.85,1.4,2.85,1.4,3.37,1.389,2.85,1.4
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Andreev I.,Kendrick R.,39,105,810,399,7,6,6,3,6,4,,,,,3,0,Completed,1.16,4.5,1.22,4.1,1.21,4.06,1.216,5.24,1.2,4.3
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Mirnyi M.,Baghdatis M.,106,18,398,1440,6,3,7,5,3,6,7,6,,,3,1,Completed,6.5,1.1,6,1.12,5.5,1.13,8.05,1.129,5.8,1.12
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Young D.,Guccione C.,223,93,183,444,6,7,6,3,6,2,6,3,,,3,1,Completed,1.83,1.83,1.93,1.83,1.91,1.83,1.99,1.917,2,1.76
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,de Voest R.,Ascione T.,146,126,286,336,6,2,3,0,,,,,,,1,0,Retired,1.83,1.83,1.88,1.88,1.87,1.87,1.885,2.03,1.86,1.9
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Petzschner P.,Becker B.,290,50,126,668,2,6,3,6,6,4,6,4,6,1,3,2,Completed,2.5,1.5,2.55,1.5,2.35,1.55,2.52,1.617,2.26,1.61
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Gicquel M.,9,47,1925,700,6,3,7,6,6,2,,,,,3,0,Completed,1.11,6,1.14,5.4,1.13,5.5,1.137,7.6,1.15,5.15
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Bolelli S.,Benneteau J.,87,61,478,585,6,3,6,4,3,6,6,1,,,3,1,Completed,3.5,1.28,3.2,1.33,3.59,1.26,3.16,1.424,3.4,1.3
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Roitman S.,13,77,1740,517,7,5,6,1,6,2,,,,,3,0,Completed,1.03,11,1.05,9,1.04,9.25,1.05,16,1.04,11
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Jenkins S.,1,319,7605,110,6,3,6,2,6,4,,,,,3,0,Completed,1,17,1.01,16,1.01,13.5,1.009,86,1.01,30
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Guzman J.P.,55,132,615,321,6,3,7,6,6,2,,,,,3,0,Completed,1.2,4.33,1.18,4.65,1.2,4.25,1.181,6.01,1.17,4.8
51,New York,US Open,27/08/07,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Cuevas P.,19,129,1420,330,6,2,6,3,6,0,,,,,3,0,Completed,1.12,5.5,1.12,6,1.17,4.67,1.152,7,1.17,4.8
