ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Harris L.,40,145,1080,401,6,2,6,2,6,3,,,,,3,0,Completed,2,1.8,2.05,1.85,,,2.07,1.84,2.2,1.85,2.05,1.78
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Lorenzi P.,Edmund K.,94,16,603,1935,4,6,6,4,7,5,6,1,,,3,1,Completed,8,1.1,8.25,1.1,,,8.76,1.1,9.1,1.11,7.9,1.08
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Sonego L.,Muller G.,121,127,460,448,7,6,6,7,5,7,7,6,6,2,3,2,Completed,2.37,1.57,2.35,1.65,2.2,1.67,2.3,1.69,2.45,1.72,2.28,1.64
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Ramos-Vinolas A.,26,52,1525,985,6,3,6,2,6,3,,,,,3,0,Completed,1.1,8,1.11,7.75,,,1.11,8.37,1.11,9.4,1.09,7.71
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Pella G.,Ruud C.,66,143,825,401,6,4,6,4,6,1,,,,,3,0,Completed,1.72,2.1,1.77,2.15,,,1.7,2.28,1.77,2.28,1.71,2.15
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Sock J.,Andreozzi G.,18,113,1815,498,6,0,7,6,6,2,,,,,3,0,Completed,1.4,3,1.4,3.2,,,1.38,3.35,1.4,3.4,1.36,3.22
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Berlocq C.,24,172,1575,330,7,6,6,4,1,6,6,3,,,3,1,Completed,1.03,15,1.04,15,,,1.02,21.68,1.04,21.68,1.02,15.82
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Dimitrov G.,101,8,560,3790,6,3,6,2,7,5,,,,,3,0,Completed,1.72,2.1,1.77,2.15,1.73,2.1,1.91,2,1.91,2.19,1.77,2.06
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Jarry N.,Gojowczyk P.,42,47,1063,1038,7,6,4,6,6,1,7,5,,,3,1,Completed,1.8,2,1.85,2.05,1.8,2,2.06,1.85,2.06,2.05,1.91,1.91
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Humbert U.,Altamirano C.,139,345,411,128,6,3,7,6,6,3,,,,,3,0,Completed,1.57,2.37,1.57,2.55,1.53,2.5,1.53,2.69,1.61,2.69,1.54,2.51
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Duckworth J.,382,448,110,83,6,7,6,3,7,5,6,3,,,3,1,Completed,1.1,8,1.12,7.25,1.11,6.5,1.11,8.2,1.15,8.3,1.1,7.33
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Kubler J.,Bautista Agut R.,98,22,578,1650,6,3,6,3,6,4,,,,,3,0,Completed,3.5,1.3,3.7,1.32,3.75,1.28,3.78,1.32,4,1.35,3.6,1.3
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Isner J.,Klahn B.,11,92,3200,618,7,6,6,3,6,4,,,,,3,0,Completed,1.16,5,1.19,5.25,1.17,5,1.19,5.43,1.22,5.43,1.18,4.92
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Basilashvili N.,Bedene A.,37,78,1152,725,6,2,4,6,6,2,2,6,6,4,3,2,Completed,1.66,2.2,1.7,2.25,1.61,2.25,1.68,2.34,1.74,2.34,1.67,2.23
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Lopez F.,32,63,1330,850,6,2,7,5,6,4,,,,,3,0,Completed,1.53,2.5,1.57,2.55,1.53,2.5,1.62,2.46,1.62,2.64,1.56,2.47
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Zverev M.,74,48,780,1030,4,6,2,6,6,4,7,6,6,2,3,2,Completed,1.8,2,1.8,2.1,1.91,1.91,1.83,2.09,1.91,2.2,1.77,2.07
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Dzumhur D.,62,27,865,1475,3,6,6,1,6,3,6,4,,,3,1,Completed,1.72,2.1,1.73,2.2,1.67,2.2,1.73,2.24,1.81,2.25,1.73,2.13
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Carballes Baena R.,Krueger M.,97,267,580,200,3,6,6,2,6,4,7,6,,,3,1,Completed,2,1.8,2,1.9,1.91,1.91,2.01,1.9,2.08,1.91,1.96,1.85
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Rublev A.,46,38,1040,1145,6,2,4,6,6,4,6,1,,,3,1,Completed,2.37,1.57,2.55,1.57,2.25,1.61,2.57,1.57,2.68,1.62,2.5,1.54
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Coric B.,Mayer F.,20,193,1735,288,6,2,6,2,5,7,6,4,,,3,1,Completed,1.03,15,1.04,15,1.05,10,1.05,14.32,1.05,18.56,1.03,13.48
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Querrey S.,51,35,986,1225,6,7,6,4,6,2,2,1,,,2,1,Retired,3.5,1.3,3.7,1.32,3.5,1.3,3.56,1.34,3.9,1.34,3.61,1.3
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Norrie C.,Thompson J.,67,108,824,520,7,5,4,6,6,4,6,3,,,3,1,Completed,1.4,3,1.38,3,1.4,3,1.41,3.14,1.42,3.19,1.39,3.03
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Auger-Aliassime F.,28,117,1385,480,7,5,5,7,4,1,,,,,1,1,Retired,1.36,3.2,1.35,3.5,1.33,3.4,1.35,3.52,1.37,3.54,1.34,3.3
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Harrison R.,5,53,4615,980,7,6,5,7,4,6,6,3,6,4,3,2,Completed,1.22,4.33,1.27,4.1,1.28,3.75,1.24,4.64,1.3,4.64,1.23,4.26
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Pospisil V.,Lacko L.,88,77,642,736,7,5,6,3,6,2,,,,,3,0,Completed,1.61,2.3,1.7,2.25,1.73,2.1,1.69,2.3,1.75,2.38,1.66,2.25
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Donskoy E.,36,80,1182,718,7,5,6,4,6,2,,,,,3,0,Completed,1.36,3.2,1.35,3.5,1.4,3,1.37,3.4,1.4,3.5,1.35,3.24
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Robredo T.,15,214,2042,260,6,3,7,6,6,4,,,,,3,0,Completed,1.14,5.5,1.15,6.25,1.14,5.5,1.12,7.48,1.17,7.48,1.13,6.22
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,Berrettini M.,72,57,785,909,6,4,7,5,6,2,,,,,3,0,Completed,2,1.8,2.05,1.85,2,1.8,2.06,1.85,2.06,1.87,2.01,1.81
53,New York,US Open,27/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Johnson S.,Istomin D.,31,76,1340,759,6,3,7,6,6,3,,,,,3,0,Completed,1.28,3.75,1.3,3.85,1.28,3.75,1.33,3.64,1.34,4,1.3,3.63
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Basic M.,9,81,3485,713,6,3,6,1,6,4,,,,,3,0,Completed,1.14,5.5,1.15,6.25,1.14,5.5,1.12,7.45,1.15,7.45,1.12,6.36
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Young D.,3,246,5500,222,6,0,6,3,6,4,,,,,3,0,Completed,1.05,12,1.05,7.75,1.08,7.5,1.06,12.38,1.09,12.38,1.06,9.89
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Ferrer D.,1,148,10040,390,6,3,3,4,,,,,,,1,0,Retired,1.01,23,1.01,11.5,1.01,21,1.01,29.16,1.03,29.16,1.01,18.45
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Chung H.,Berankis R.,23,104,1630,540,4,6,7,6,6,0,2,0,,,2,1,Retired,1.11,7,1.12,8,1.11,6.5,1.11,8.24,1.12,8.4,1.1,7.36
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Djere L.,Mayer L.,89,43,636,1061,6,4,6,4,4,6,2,1,,,2,1,Retired,5,1.16,5.5,1.19,,,5.12,1.21,5.52,1.21,5,1.18
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Kukushkin M.,Rubin N.,84,135,681,418,6,3,6,1,4,6,7,6,,,3,1,Completed,2,1.8,1.95,1.95,1.91,1.91,2.04,1.87,2.05,1.95,1.99,1.84
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Struff J.L.,Smyczek T.,58,103,905,545,7,6,6,4,6,3,,,,,3,0,Completed,1.44,2.75,1.5,2.85,1.5,2.62,1.56,2.6,1.56,2.85,1.5,2.62
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Sugita Y.,25,91,1535,625,6,3,6,1,6,3,,,,,3,0,Completed,1.16,5,1.21,5.2,1.2,4.5,1.18,5.76,1.22,5.8,1.18,5.02
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Sousa J.,Granollers M.,68,107,816,521,6,2,6,2,6,3,,,,,3,0,Completed,1.9,1.9,1.88,2.05,1.8,2,1.86,2.05,1.91,2.05,1.85,1.98
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Hurkacz H.,Travaglia S.,109,141,515,409,6,2,2,6,7,6,3,0,,,2,1,Retired,1.57,2.37,1.7,2.3,1.61,2.25,1.63,2.44,1.7,2.5,1.61,2.36
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Copil M.,7,82,4445,700,7,5,6,1,1,1,,,,,2,0,Retired,1.1,8,1.1,9,1.07,7.5,1.07,11.51,1.1,11.51,1.07,8.79
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Sandgren T.,Troicki V.,61,102,876,552,6,3,6,4,6,2,,,,,3,0,Completed,1.22,4.33,1.25,4.5,1.22,4.33,1.17,5.8,1.3,5.84,1.2,4.64
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Jaziri M.,12,59,2425,904,7,5,6,2,6,2,,,,,3,0,Completed,1.12,6,1.15,6.5,1.14,5.5,1.13,6.98,1.16,7.29,1.13,6.33
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Benneteau J.,Cecchinato M.,60,21,891,1734,2,6,7,6,6,3,6,4,,,3,1,Completed,2.3,1.61,2.4,1.65,2.37,1.57,2.29,1.7,2.41,1.7,2.28,1.64
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Millman J.,Brooksby J.,55,1229,963,5,6,4,6,2,6,0,,,,,3,0,Completed,1.02,17,1.04,17,1.04,11,1.05,14.02,1.06,17,1.03,12.99
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Fucsovics M.,6,41,4445,1072,6,3,3,6,6,4,6,0,,,3,1,Completed,1.02,19,1.03,20,1.03,13,1.04,16.99,1.05,20,1.03,14.74
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Delbonis F.,13,111,2380,510,6,2,7,6,6,2,,,,,3,0,Completed,1.16,5,1.18,5.8,1.17,5,1.16,6.09,1.2,6.15,1.15,5.55
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Munar J.,Bemelmans R.,85,128,670,445,5,7,6,3,7,6,2,6,6,1,3,2,Completed,1.66,2.2,1.73,2.25,1.67,2.2,1.77,2.18,1.77,2.27,1.7,2.19
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Mahut N.,Moutet C.,131,112,433,502,6,2,7,5,5,7,6,4,,,3,1,Completed,1.66,2.2,1.73,2.25,1.73,2.1,1.78,2.17,1.8,2.25,1.73,2.15
53,New York,US Open,28/08/2018,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Mmoh M.,14,120,2190,464,4,6,6,2,6,4,7,6,,,3,1,Completed,1.22,4.33,1.25,4.5,1.25,4,1.24,4.57,1.25,4.7,1.22,4.37
