ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Darcis S.,29,186,1441,266,7,5,6,3,6,3,,,,,3,0,Completed,1.2,4.5,1.21,5,1.23,5.25,1.2,4.59
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Garin C.,Eubanks C.,32,188,1321,265,3,6,7,6,6,4,6,7,6,3,3,2,Completed,1.4,3,1.38,3.31,1.43,3.35,1.36,3.16
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,Tipsarevic J.,111,260,491,170,3,6,6,1,7,6,6,1,,,3,1,Completed,1.57,2.37,1.66,2.37,1.66,2.57,1.56,2.42
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Klahn B.,Monteiro T.,108,101,503,532,6,3,6,2,6,3,,,,,3,0,Completed,1.57,2.37,1.68,2.34,1.68,2.45,1.61,2.32
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Brooksby J.,Berdych T.,394,98,88,540,6,1,2,6,6,4,6,4,,,3,1,Completed,3.75,1.28,3.83,1.31,4,1.33,3.67,1.29
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Basilashvili N.,Fucsovics M.,18,64,1985,885,3,6,6,4,6,2,3,6,6,3,3,2,Completed,1.66,2.2,1.71,2.27,1.71,2.33,1.66,2.23
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Trungelliti M.,7,205,4005,237,6,1,4,1,,,,,,,1,0,Retired,1.07,9,1.03,17.57,1.11,17.57,1.05,10.74
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,Herbert P.H.,38,48,1270,1038,6,4,6,2,6,7,7,5,,,3,1,Completed,1.28,3.75,1.32,3.78,1.33,4.2,1.28,3.71
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Mannarino A.,58,57,955,961,6,4,6,3,2,6,6,3,,,3,1,Completed,1.8,2,1.83,2.09,1.85,2.29,1.79,2.03
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Gunneswaran P.,5,88,4125,610,6,4,6,1,6,2,,,,,3,0,Completed,1.02,19,1.01,29.46,1.03,35,1.01,20.19
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Fognini F.,42,11,1076,2510,6,3,6,4,6,7,6,3,,,3,1,Completed,1.72,2.1,1.75,2.2,1.83,2.2,1.73,2.12
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Dellien H.,Kwon S.W.,84,90,618,599,6,3,6,4,2,6,2,3,,,2,1,Retired,9,1.07,9.15,1.09,10,1.1,7.93,1.08
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Lorenzi P.,Svajda Z.,135,1415,396,3,3,6,6,7,6,4,7,6,6,2,3,2,Completed,1.06,10,1.1,8.85,1.1,12.5,1.06,9.21
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Carballes Baena R.,1,76,11685,787,6,4,6,1,6,4,,,,,3,0,Completed,1.005,34,1.03,18.57,1.03,34,1.02,17.33
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Kecmanovic M.,Djere L.,50,39,1026,1245,6,2,6,1,7,5,,,,,3,0,Completed,1.2,4.5,1.22,4.93,1.27,5.1,1.2,4.63
52,New York,US Open,26/08/2019,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Seppi A.,78,77,722,735,6,1,6,7,6,4,6,3,,,3,1,Completed,1.33,3.4,1.32,3.74,1.36,3.8,1.31,3.48
