ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,di Mauro A.,Goodall J.,93,313,6,3,7,6,6,3,,,,,3,0,Completed,2.75,1.4,2.7,1.45,2.6,1.45,2.5,1.4,3,1.455
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Sherwood D.,Mello R.,261,54,6,3,6,4,6,4,,,,,3,0,Completed,2,1.72,2.15,1.67,2.25,1.6,1.95,1.65,2.28,1.725
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Lopez F.,Phau B.,33,103,5,7,7,6,6,7,6,2,6,4,3,2,Completed,1.08,7,1.13,5.65,1.1,6.75,1.1,5,1.16,6.65
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Dent T.,Norman D.,30,105,7,6,7,6,4,6,6,7,6,1,3,2,Completed,1.25,3.75,1.3,3.4,1.28,3.46,1.3,2.9,1.29,4.11
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Kiefer N.,Benneteau J.,26,126,6,3,7,6,5,7,3,6,6,4,3,2,Completed,1.19,4.33,1.22,4.1,1.21,4.06,1.2,3.6,1.22,5.07
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Mathieu P.,1,58,6,4,6,2,6,4,,,,,3,0,Completed,1,17,1.02,12,1.02,13.5,1.02,8,1.01,48.5
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Hewitt L.,Rochus C.,2,47,6,3,6,3,6,1,,,,,3,0,Completed,1.02,12,1.03,11,1.05,8.5,1.05,6,1.04,19.5
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Gonzalez F.,Mackin A.,24,218,6,3,6,4,6,4,,,,,3,0,Completed,1.12,5.5,1.17,4.85,1.15,5.2,1.15,4,1.18,6
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Minar I.,Tabara M.,99,109,6,4,6,4,6,4,,,,,3,0,Completed,1.57,2.25,1.7,2.1,1.7,2.1,1.55,2.1,1.7,2.32
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Zib T.,Acasuso J.,62,46,7,5,6,3,6,3,,,,,3,0,Completed,1.3,3.39,1.25,3.85,1.3,3.35,1.25,3.2,1.32,3.82
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Lee H.T.,Enqvist T.,67,131,6,3,6,7,7,5,6,4,,,3,1,Completed,1.66,2.1,1.67,2.15,1.8,1.95,1.55,2.1,1.75,2.23
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Youzhny M.,Baghdatis M.,34,90,6,2,3,6,6,1,6,4,,,3,1,Completed,1.5,2.5,1.5,2.55,1.5,2.45,1.35,2.7,1.54,2.7
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Kim K.,Bogdanovic A.,71,195,6,7,6,1,6,4,6,2,,,3,1,Completed,1.44,2.62,1.55,2.4,1.48,2.53,1.5,2.2,1.5,2.78
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Verdasco F.,Robredo T.,59,14,6,1,6,2,7,5,,,,,3,0,Completed,2.62,1.44,2.7,1.45,2.85,1.4,2.5,1.4,3.11,1.43
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Rusedski G.,Martin A.,40,52,6,3,4,6,6,2,6,1,,,3,1,Completed,1.12,5.5,1.12,6,1.13,5.5,1.1,5,1.17,6.48
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Berdych T.,Dupuis A.,49,116,7,6,7,5,3,6,7,6,,,3,1,Completed,1.66,2.1,1.77,2,1.65,2.2,1.65,1.95,1.75,2.23
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Davydenko N.,Draper S.,7,787,7,6,6,4,6,3,,,,,3,0,Completed,1.44,2.62,1.55,2.4,1.6,2.3,1.55,2.1,1.54,2.75
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Johansson J.,Montanes A.,10,82,7,6,6,4,7,5,,,,,3,0,Completed,1.04,10,1.05,9,1.05,9.5,1.07,5.5,1.07,13.5
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Burgsmuller L.,Puerta M.,91,11,6,1,6,1,6,4,,,,,3,0,Completed,1.33,3.25,1.35,3,1.28,3.46,1.3,2.9,1.46,2.97
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Bjorkman J.,Morrison J.,97,107,6,3,6,3,4,6,2,6,6,2,3,2,Completed,1.36,3,1.4,2.85,1.35,3.1,1.4,2.5,1.41,3.22
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Safin M.,Srichaphan P.,5,45,6,2,6,4,6,4,,,,,3,0,Completed,1.16,4.5,1.25,3.85,1.25,3.9,1.25,3.2,1.23,4.96
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Ferrero J.C.,Delgado J.,31,212,7,6,6,1,6,4,,,,,3,0,Completed,1.28,3.5,1.28,3.55,1.2,4.25,1.25,3.2,1.3,4.05
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Monfils G.,Okun N.,83,154,3,6,6,4,6,4,7,6,,,3,1,Completed,1.53,2.37,1.7,2.1,1.7,2.1,1.6,2,1.73,2.27
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Hrbaty D.,Saulnier C.,25,48,7,6,6,0,6,2,,,,,3,0,Completed,1.83,1.83,1.88,1.88,1.95,1.8,1.7,1.9,2.05,1.87
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Ancic M.,Summerer T.,17,178,6,3,7,5,6,1,,,,,3,0,Completed,1.05,9,1.1,6.5,1.07,7.19,1.1,5,1.1,9.5
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Hernych J.,Blake J.,66,102,1,6,6,4,7,6,7,6,,,3,1,Completed,2.25,1.57,2.2,1.65,2.12,1.67,2.1,1.55,2.42,1.66
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Lisnard J.R.,Hernandez O.,98,80,6,4,2,1,,,,,,,1,0,Retired,1.28,3.5,1.28,3.5,1.28,3.46,1.25,3.2,1.32,3.8
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Gimelstob J.,Garcia A.,123,169,6,3,6,4,7,6,,,,,3,0,Completed,1.5,2.5,1.62,2.25,1.64,2.17,1.45,2.35,1.676,2.38
