ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Soderling R.,Kim K,41,181,855,217,7,5,0,6,6,3,6,4,,,3,1,Completed,1.05,9,1.07,8.66,1.06,8,1.066,13.25,1.08,7.5
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Ferrero J.C.,Querrey S.,23,42,1135,850,2,6,6,4,6,4,6,4,,,3,1,Completed,1.61,2.2,1.6,2.3,1.667,2.1,1.709,2.31,1.86,1.9
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Lopez F.,Dabul B.,35,113,950,415,7,6,3,6,6,3,6,4,,,3,1,Completed,1.04,10,1.05,10.5,1.06,8,1.054,15.36,1.05,10
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Johansson T.,Spadea V.,63,99,608,457,6,7,6,7,6,3,6,4,6,3,3,2,Completed,1.57,2.25,1.6,2.4,1.615,2.2,1.606,2.55,1.66,2.16
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Baghdatis M.,Darcis S.,25,51,1090,738,6,3,6,2,6,7,6,3,,,3,1,Completed,1.14,5,1.18,5.01,1.167,4.5,1.171,6.35,1.2,4.3
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Seppi A.,Kamke T.,30,195,1015,201,5,7,6,3,6,2,6,4,,,3,1,Completed,1.08,7,1.13,5.95,1.125,5.5,1.125,8.2,1.13,5.6
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Karanusic R.,Horna L.,111,93,419,474,7,6,6,3,6,1,,,,,3,0,Completed,1.38,2.87,1.4,2.9,1.444,2.625,1.435,3.1,1.42,2.76
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Hrbaty D.,1,273,6900,136,6,3,6,2,6,2,,,,,3,0,Completed,1.005,34,1.01,16,1.002,34,1.009,81,1.01,30
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Zverev M.,Peya A.,92,191,477,204,6,3,6,4,6,4,,,,,3,0,Completed,1.57,2.25,1.75,2.1,1.571,2.25,1.775,2.19,1.6,2.28
37,London,Wimbledon,23/06/08,Grand Slam,Outdoor,Grass,1st Round,5,Gonzalez F.,Ginepri R.,14,59,1405,630,7,6,7,5,7,5,,,,,3,0,Completed,1.3,3.4,1.3,3.4,1.333,3.25,1.333,3.7,1.35,3.1
