ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Querrey S.,Fabbiano T.,28,91,1495,610,7,6,7,5,6,2,,,,,3,0,Completed,1.2,4.5,1.16,4.6,1.17,5,1.17,5.96,1.2,6.25,1.18,4.97
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Herbert P.H.,Kyrgios N.,70,20,707,2110,6,3,6,4,,,,,,,2,0,Retired,5.5,1.14,5,1.14,5,1.17,6.02,1.17,6.6,1.17,5.46,1.15
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Monteiro T.,Whittington A.,100,210,544,255,4,6,6,3,7,6,7,6,,,3,1,Completed,4.33,1.22,3.95,1.21,4,1.25,4.14,1.28,4.33,1.29,4.09,1.24
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Janowicz J.,Shapovalov D.,141,164,400,344,6,4,3,6,6,3,7,6,,,3,1,Completed,1.8,2,1.75,1.95,1.8,2,1.78,2.16,1.95,2.16,1.8,2.01
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Brown D.,Sousa J.,97,62,585,830,3,6,7,6,6,4,6,4,,,3,1,Completed,1.4,3,1.37,2.85,1.4,3,1.48,2.86,1.49,3,1.42,2.86
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Basilashvili N.,Berlocq C.,54,80,866,659,6,4,7,6,6,1,,,,,3,0,Completed,1.5,2.62,1.5,2.4,1.53,2.5,1.56,2.6,1.56,2.62,1.52,2.53
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Bolelli S.,Lu Y.H.,312,75,154,680,6,3,1,6,6,3,6,4,,,3,1,Completed,1.36,3.25,1.35,2.95,1.4,3,1.38,3.35,1.42,3.35,1.37,3.08
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Paire B.,Dutra Silva R.,46,473,960,79,6,4,3,6,7,6,6,4,,,3,1,Completed,1.16,5,1.14,5,1.17,5,1.15,6.35,1.17,6.95,1.15,5.47
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Khachanov K.,Kuznetsov An.,34,76,1176,676,7,6,2,6,6,3,1,6,6,2,3,2,Completed,1.44,2.75,1.45,2.55,1.5,2.62,1.5,2.8,1.53,2.85,1.47,2.68
40,London,Wimbledon,03/07/17,Grand Slam,Outdoor,Grass,1st Round,5,Tsonga J.W.,Norrie C.,10,221,3075,244,6,3,6,2,6,2,,,,,3,0,Completed,1.03,15,1.02,10,1.03,12,1.03,17.65,1.04,22,1.03,13.43
