name,match_id,rank,round,match_minutes,sets,tournament,total_pts,winner,hand,avg_odds,max_odds,birthday,max(year),experience
Adam Pavlasek,m_2016_F_6,132,1st Round,189,3,French Open,153,TRUE,R,2.31,2.45,10/8/1994,2016,1
Adam Pavlasek,m_2016_F_70,132,2nd Round,91,0,French Open,65,FALSE,R,6.34,7.5,10/8/1994,2016,2
Adam Pavlasek,m_2017_A_48,86,1st Round,145,1,Australian Open,100,FALSE,R,1.43,1.51,10/8/1994,2017,3
Adam Pavlasek,m_2017_L_31,136,1st Round,124,3,Wimbledon,131,TRUE,R,2.88,3.15,10/8/1994,2017,4
Adam Pavlasek,m_2017_L_86,136,2nd Round,93,0,Wimbledon,54,FALSE,R,20.04,34.25,10/8/1994,2017,5
Adam Pavlasek,m_2018_F_31,185,1st Round,144,3,French Open,139,TRUE,R,1.49,1.54,10/8/1994,2018,6
Adam Pavlasek,m_2018_F_95,185,2nd Round,87,0,French Open,48,FALSE,R,5.54,6.7,10/8/1994,2018,7
Adrian Garcia,m_2005_L_27,169,1st Round,119,0,Wimbledon,91,FALSE,R,NA,NA,5/25/1978,2005,1
Adrian Mannarino,m_2008_F_57,186,1st Round,84,0,French Open,43,FALSE,L,NA,NA,6/29/1988,2008,1
Adrian Mannarino,m_2009_A_54,129,1st Round,87,0,Australian Open,45,FALSE,L,NA,NA,6/29/1988,2009,2
Adrian Mannarino,m_2009_F_54,126,1st Round,98,0,French Open,60,FALSE,L,NA,NA,6/29/1988,2009,3
Adrian Mannarino,m_2009_L_1,128,1st Round,92,0,Wimbledon,63,FALSE,L,NA,NA,6/29/1988,2009,4
Adrian Mannarino,m_2010_U_35,152,1st Round,228,3,US Open,154,TRUE,L,1.19,1.25,6/29/1988,2010,5
Adrian Mannarino,m_2010_U_89,152,2nd Round,112,0,US Open,66,FALSE,L,4.99,6.1,6/29/1988,2010,6
Adrian Mannarino,m_2011_A_10,74,1st Round,106,3,Australian Open,95,TRUE,L,1.57,1.62,6/29/1988,2011,7
Adrian Mannarino,m_2011_A_71,74,2nd Round,132,0,Australian Open,87,FALSE,L,4.12,4.9,6/29/1988,2011,8
Adrian Mannarino,m_2011_F_14,53,1st Round,91,0,French Open,54,FALSE,L,1.46,1.53,6/29/1988,2011,9
Adrian Mannarino,m_2011_L_29,55,1st Round,240,3,Wimbledon,186,TRUE,L,1.3,1.36,6/29/1988,2011,10
Adrian Mannarino,m_2011_L_92,55,2nd Round,88,0,Wimbledon,50,FALSE,L,25.46,68.5,6/29/1988,2011,11
Adrian Mannarino,m_2011_U_39,58,1st Round,76,0,US Open,41,FALSE,L,3.04,3.52,6/29/1988,2011,12
Adrian Mannarino,m_2012_A_4,91,1st Round,179,1,Australian Open,114,FALSE,L,8.33,10.4,6/29/1988,2012,13
Adrian Mannarino,m_2012_F_0,153,1st Round,103,0,French Open,60,FALSE,L,4.71,5.61,6/29/1988,2012,14
Adrian Mannarino,m_2013_A_53,170,1st Round,76,0,Australian Open,39,FALSE,L,9.58,14,6/29/1988,2013,15
Adrian Mannarino,m_2013_F_17,110,1st Round,219,2,French Open,160,FALSE,L,1.74,1.9,6/29/1988,2013,16
Adrian Mannarino,m_2013_L_113,111,4th Round,198,2,Wimbledon,138,FALSE,L,2.26,2.46,6/29/1988,2013,17
Adrian Mannarino,m_2013_L_18,111,1st Round,90,3,Wimbledon,87,TRUE,L,1.23,1.3,6/29/1988,2013,18
Adrian Mannarino,m_2013_L_66,111,2nd Round,15,0,Wimbledon,4,TRUE,L,4.58,5.9,6/29/1988,2013,19
Adrian Mannarino,m_2013_L_98,111,3rd Round,99,3,Wimbledon,104,TRUE,L,2.18,2.46,6/29/1988,2013,20
Adrian Mannarino,m_2013_U_103,63,3rd Round,81,0,US Open,54,FALSE,L,14.12,25.5,6/29/1988,2013,21
Adrian Mannarino,m_2013_U_26,63,1st Round,153,3,US Open,135,TRUE,L,1.28,1.38,6/29/1988,2013,22
Adrian Mannarino,m_2013_U_72,63,2nd Round,195,3,US Open,157,TRUE,L,3.99,5.1,6/29/1988,2013,23
Adrian Mannarino,m_2014_A_5,71,1st Round,177,3,Australian Open,142,TRUE,L,2.1,2.25,6/29/1988,2014,24
Adrian Mannarino,m_2014_A_69,71,2nd Round,182,1,Australian Open,113,FALSE,L,10.7,15,6/29/1988,2014,25
Adrian Mannarino,m_2014_F_38,89,1st Round,74,3,French Open,80,TRUE,L,2.2,2.37,6/29/1988,2014,26
Adrian Mannarino,m_2014_F_84,89,2nd Round,157,1,French Open,106,FALSE,L,5.58,6.5,6/29/1988,2014,27
Adrian Mannarino,m_2014_L_61,81,1st Round,102,3,Wimbledon,99,TRUE,L,1.08,1.1,6/29/1988,2014,28
Adrian Mannarino,m_2014_L_87,81,2nd Round,118,0,Wimbledon,84,FALSE,L,2.08,2.2,6/29/1988,2014,29
Adrian Mannarino,m_2014_U_109,89,3rd Round,127,0,US Open,82,FALSE,L,3.08,3.4,6/29/1988,2014,30
Adrian Mannarino,m_2014_U_35,89,1st Round,172,3,US Open,129,TRUE,L,1.16,1.18,6/29/1988,2014,31
Adrian Mannarino,m_2014_U_94,89,2nd Round,117,3,US Open,112,TRUE,L,2.76,3,6/29/1988,2014,32
Adrian Mannarino,m_2015_A_34,36,1st Round,138,3,Australian Open,117,TRUE,L,1.25,1.3,6/29/1988,2015,33
Adrian Mannarino,m_2015_A_81,36,2nd Round,158,2,Australian Open,106,FALSE,L,1.83,1.95,6/29/1988,2015,34
Adrian Mannarino,m_2015_F_40,32,1st Round,156,0,French Open,108,FALSE,L,1.48,1.54,6/29/1988,2015,35
Adrian Mannarino,m_2015_L_59,34,1st Round,0,3,Wimbledon,136,TRUE,L,1.36,1.4,6/29/1988,2015,36
Adrian Mannarino,m_2015_L_92,34,2nd Round,0,0,Wimbledon,86,FALSE,L,3.18,3.43,6/29/1988,2015,37
Adrian Mannarino,m_2015_U_61,35,1st Round,0,3,US Open,123,TRUE,L,1.28,1.3,6/29/1988,2015,38
Adrian Mannarino,m_2015_U_87,35,2nd Round,0,2,US Open,123,FALSE,L,18.61,31,6/29/1988,2015,39
Adrian Mannarino,m_2016_A_33,48,1st Round,158,1,Australian Open,113,FALSE,L,1.5,1.58,6/29/1988,2016,40
Adrian Mannarino,m_2016_F_10,58,1st Round,159,3,French Open,122,TRUE,L,2.07,2.2,6/29/1988,2016,41
Adrian Mannarino,m_2016_F_79,58,2nd Round,96,0,French Open,61,FALSE,L,8.51,10.16,6/29/1988,2016,42
Adrian Mannarino,m_2016_L_5,55,1st Round,122,3,Wimbledon,105,TRUE,L,1.6,1.7,6/29/1988,2016,43
Adrian Mannarino,m_2016_L_64,55,2nd Round,124,0,Wimbledon,91,FALSE,L,23.31,46,6/29/1988,2016,44
Adrian Mannarino,m_2016_U_26,54,1st Round,138,0,US Open,96,FALSE,L,1.84,2.2,6/29/1988,2016,45
Adrian Mannarino,m_2017_A_18,61,1st Round,166,1,Australian Open,129,FALSE,L,2.12,2.25,6/29/1988,2017,46
Adrian Mannarino,m_2017_F_0,54,1st Round,132,0,French Open,77,FALSE,L,1.82,1.91,6/29/1988,2017,47
Adrian Mannarino,m_2017_L_104,51,3rd Round,209,3,Wimbledon,177,TRUE,L,4.36,5,6/29/1988,2017,48
Adrian Mannarino,m_2017_L_119,51,4th Round,133,0,Wimbledon,87,FALSE,L,12.89,21,6/29/1988,2017,49
Adrian Mannarino,m_2017_L_61,51,1st Round,134,2,Wimbledon,117,TRUE,L,4.57,5.6,6/29/1988,2017,50
Adrian Mannarino,m_2017_L_87,51,2nd Round,212,3,Wimbledon,176,TRUE,L,1.97,2.05,6/29/1988,2017,51
Adrian Mannarino,m_2017_U_105,34,3rd Round,133,0,US Open,86,FALSE,L,3.37,3.65,6/29/1988,2017,52
Adrian Mannarino,m_2017_U_48,34,1st Round,95,3,US Open,88,TRUE,L,1.16,1.2,6/29/1988,2017,53
Adrian Mannarino,m_2017_U_86,34,2nd Round,137,3,US Open,124,TRUE,L,1.17,1.2,6/29/1988,2017,54
Adrian Mannarino,m_2018_A_105,27,3rd Round,128,0,Australian Open,76,FALSE,L,3.37,3.72,6/29/1988,2018,55
Adrian Mannarino,m_2018_A_37,27,1st Round,107,3,Australian Open,86,TRUE,L,1.29,1.32,6/29/1988,2018,56
Adrian Mannarino,m_2018_A_85,27,2nd Round,188,3,Australian Open,145,TRUE,L,1.37,1.43,6/29/1988,2018,57
Adrian Mannarino,m_2018_F_54,26,1st Round,123,0,French Open,78,FALSE,L,2.68,2.8,6/29/1988,2018,58
Adrian Mannarino,m_2018_L_112,26,4th Round,105,0,Wimbledon,70,FALSE,L,16.15,24.55,6/29/1988,2018,59
Adrian Mannarino,m_2018_L_27,26,1st Round,126,3,Wimbledon,111,TRUE,L,1.25,1.29,6/29/1988,2018,60
Adrian Mannarino,m_2018_L_71,26,2nd Round,155,3,Wimbledon,122,TRUE,L,1.45,1.52,6/29/1988,2018,61
Adrian Mannarino,m_2018_L_98,26,3rd Round,192,3,Wimbledon,150,TRUE,L,2.02,2.13,6/29/1988,2018,62
Adrian Mannarino,m_2018_U_58,29,1st Round,157,1,US Open,109,FALSE,L,2.52,2.63,6/29/1988,2018,63
Adrian Mannarino,m_2019_A_0,42,1st Round,173,1,Australian Open,98,FALSE,L,9.96,13.28,6/29/1988,2019,64
Adrian Mannarino,m_2019_F_62,48,1st Round,224,3,French Open,164,TRUE,L,2.62,2.93,6/29/1988,2019,65
Adrian Mannarino,m_2019_F_90,48,2nd Round,103,0,French Open,73,FALSE,L,7.34,8.55,6/29/1988,2019,66
Adrian Mannarino,m_2019_L_59,42,1st Round,168,0,Wimbledon,109,FALSE,L,3.53,3.92,6/29/1988,2019,67
Adrian Mannarino,m_2019_U_8,57,1st Round,182,1,US Open,121,FALSE,L,2.03,2.29,6/29/1988,2019,68
Adrian Menendez Maceiras,m_2012_L_5,212,1st Round,126,0,Wimbledon,78,FALSE,R,2.88,3.2,10/28/1985,2012,1
Adrian Menendez Maceiras,m_2013_A_43,233,1st Round,177,1,Australian Open,119,FALSE,R,3.99,4.5,10/28/1985,2013,2
Adrian Menendez Maceiras,m_2017_U_41,148,1st Round,151,3,US Open,114,TRUE,R,1.07,1.11,10/28/1985,2017,3
Adrian Menendez Maceiras,m_2017_U_85,148,2nd Round,130,0,US Open,79,FALSE,R,10.19,14.32,10/28/1985,2017,4
Adrian Ungur,m_2012_F_22,92,1st Round,179,3,French Open,132,TRUE,R,10.59,16,1/25/1985,2012,1
Adrian Ungur,m_2012_F_68,92,2nd Round,147,1,French Open,115,FALSE,R,25.54,62.75,1/25/1985,2012,2
Adrian Ungur,m_2012_L_47,81,1st Round,100,0,Wimbledon,80,FALSE,R,5.32,6,1/25/1985,2012,3
Adrian Ungur,m_2012_U_13,110,1st Round,137,0,US Open,109,FALSE,R,3.25,3.93,1/25/1985,2012,4
Adrian Ungur,m_2013_A_11,99,1st Round,121,0,Australian Open,82,FALSE,R,3.31,4.4,1/25/1985,2013,5
Adrian Ungur,m_2013_L_3,94,1st Round,111,1,Wimbledon,96,FALSE,R,8.3,11,1/25/1985,2013,6
