ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Baker J.,24,217,1360,192,6,4,6,4,6,7,6,4,,,3,1,Completed,1.11,6,1.13,5.5,1.125,5.5,1.183,5.95,1.13,5.6
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Capdeville P.,Klein B.,100,618,428,32,6,4,7,5,6,4,,,,,3,0,Completed,1.33,3.25,1.25,3.15,1.364,3,1.366,3.53,1.35,3.1
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Schuettler R.,Clement A.,92,59,453,610,6,4,6,2,6,7,6,4,,,3,1,Completed,2,1.72,1.9,1.85,2,1.727,1.98,1.926,2,1.78
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Pashanski B.,43,95,685,441,6,2,6,3,3,6,6,3,,,3,1,Completed,1.1,6.5,1.1,6.25,1.167,4.5,1.163,6.55,1.12,5.85
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Mathieu P.H.,Hanescu V.,25,79,1320,517,6,1,7,6,6,2,,,,,3,0,Completed,1.16,4.5,1.17,4.67,1.2,4.333,1.22,5.15,1.2,4.3
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Levine J.,Vassallo-Arguello M.,170,77,242,520,6,1,7,5,6,1,,,,,3,0,Completed,1.38,2.87,1.45,2.65,1.364,3,1.427,3.14,1.45,2.67
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Gicquel M.,Lu Y.H.,73,112,535,393,6,3,4,6,6,7,6,4,6,2,3,2,Completed,1.5,2.5,1.5,2.45,1.571,2.25,1.585,2.61,1.57,2.34
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Dancevic F.,26,74,1075,531,6,3,6,1,5,7,2,6,6,1,3,2,Completed,1.2,4.33,1.17,4.67,1.222,4,1.217,5.21,1.22,4.1
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Reynolds B.,33,113,955,392,4,6,6,4,6,2,6,7,6,4,3,2,Completed,1.16,4.5,1.18,4.45,1.222,4,1.212,5.31,1.18,4.6
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Zverev M.,12,85,1705,478,4,6,2,6,7,6,6,4,7,5,3,2,Completed,1.16,4.5,1.17,4.67,1.222,4,1.227,5,1.14,5.35
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Slanar M.,66,277,573,138,6,2,6,4,6,2,,,,,3,0,Completed,1.25,3.75,1.25,3.75,1.25,3.75,1.25,4.6,1.23,4
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Andreev I.,Pavel A.,35,78,890,518,5,7,6,2,7,6,6,3,,,3,1,Completed,1.33,3.25,1.38,2.88,1.364,3,1.379,3.44,1.35,3.1
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Dlouhy L.,6,154,2530,275,6,3,6,4,7,5,,,,,3,0,Completed,1.01,13,1.02,11.5,1.04,9,1.018,36,1.01,25
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Vliegen K.,Patience O.,105,110,412,405,6,0,6,1,7,6,,,,,3,0,Completed,1.22,4,1.25,3.75,1.25,3.75,1.27,4.4,1.26,3.7
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Murray A.,38,9,789,1830,7,5,6,4,0,6,7,6,,,3,1,Completed,5,1.14,5.2,1.15,4.5,1.167,6.2,1.175,4.6,1.18
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Berrer M.,Young D.,54,98,621,432,6,7,7,6,6,3,7,6,,,3,1,Completed,1.61,2.2,1.64,2.17,1.727,2,1.667,2.4,1.7,2.1
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Chela J.I.,86,20,477,1425,6,4,6,2,1,6,6,2,,,3,1,Completed,3.75,1.25,3.9,1.25,4,1.222,3.77,1.326,4,1.23
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Falla A.,Anderson K.,84,208,481,201,5,7,7,5,6,7,6,2,7,5,3,2,Completed,1.36,3,1.37,2.92,1.4,2.75,1.429,3.13,1.4,2.85
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Levy H.,48,160,659,262,6,4,6,2,6,1,,,,,3,0,Completed,1.25,3.75,1.26,3.59,1.286,3.5,1.302,4.01,1.24,3.9
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Llodra M.,4,50,2825,654,7,5,7,5,6,3,,,,,3,0,Completed,1.14,5,1.17,4.67,1.167,4.5,1.208,5.4,1.2,4.4
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Mahut N.,Acasuso J.,44,63,683,581,7,6,5,7,6,2,3,6,7,5,3,2,Completed,1.8,1.9,1.75,2.05,1.667,2.1,1.855,2.07,1.73,2.06
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Warburg S.,Brzezicki J.P.,172,97,241,437,2,6,6,2,6,3,2,6,6,4,3,2,Completed,1.66,2.1,1.7,2.1,1.571,2.25,1.794,2.16,1.63,2.22
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Montcourt M.,14,122,1670,361,6,0,6,2,7,6,,,,,3,0,Completed,1.01,13,1.04,9.25,1.05,8.5,1.038,21,1.03,12
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Lindahl N.,8,254,1895,161,6,0,6,1,3,6,6,2,,,3,1,Completed,1.01,13,1.04,9.25,1.04,9,1.025,28.5,1.03,12
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Calleri A.,Horna L.,41,76,700,520,6,4,6,7,6,3,6,4,,,3,1,Completed,1.22,4,1.26,3.59,1.286,3.5,1.278,4.3,1.25,3.8
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Karanusic R.,27,133,1075,323,6,4,7,6,6,1,,,,,3,0,Completed,1.14,5,1.15,5.2,1.125,5.5,1.189,5.8,1.15,5.15
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Odesnik W.,37,124,840,359,7,6,6,1,6,4,,,,,3,0,Completed,1.4,2.75,1.35,3.1,1.33,3.25,1.439,3.08,1.4,2.85
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Serra F.,Mayer F.,88,52,466,626,6,3,7,6,7,6,,,,,3,0,Completed,2,1.72,2.1,1.7,2,1.727,2.1,1.833,2.08,1.72
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Benneteau J.,29,65,995,575,6,3,6,3,6,3,,,,,3,0,Completed,1.28,3.5,1.27,3.53,1.364,3,1.323,3.8,1.33,3.2
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Korolev E.,Granollers M.,82,131,492,334,7,5,6,2,6,0,,,,,3,0,Completed,1.33,3.25,1.32,3.22,1.33,3.25,1.373,3.48,1.3,3.4
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Koubek S.,Moya C.,68,18,556,1505,7,6,6,7,7,5,6,4,,,3,1,Completed,3,1.36,2.92,1.37,2.75,1.4,3.15,1.426,3,1.37
6,Melbourne,Australian Open,14/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Troicki V.,2,126,5780,357,7,6,7,5,6,1,,,,,3,0,Completed,1.01,15,1.02,11.5,1.04,9,1.018,36,1.02,15
6,Melbourne,Australian Open,15/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Ascione T.,28,96,1050,438,6,4,6,0,6,3,,,,,3,0,Completed,1.11,6,1.15,5.2,1.167,4.5,1.141,7.4,1.15,5.15
6,Melbourne,Australian Open,15/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Becker B.,3,81,4315,496,6,0,6,2,7,6,,,,,3,0,Completed,1.03,11,1.06,7.79,1.04,9,1.056,15,1.06,8.5
6,Melbourne,Australian Open,15/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Haase R.,Ljubicic I.,103,19,424,1440,6,7,6,3,6,0,7,6,,,3,1,Completed,3.75,1.25,3.46,1.28,3.5,1.286,3.63,1.353,3.55,1.28
6,Melbourne,Australian Open,15/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Jones A.,Montanes A.,137,45,313,681,6,4,6,3,3,6,6,2,,,3,1,Completed,1.5,2.5,1.6,2.3,1.5,2.5,1.571,2.65,1.5,2.5
6,Melbourne,Australian Open,15/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Delic A.,Kendrick R.,136,108,314,408,6,4,7,5,6,2,,,,,3,0,Completed,1.53,2.37,1.67,2.12,1.615,2.2,1.606,2.55,1.6,2.28
6,Melbourne,Australian Open,15/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Monaco J.,Berlocq C.,23,75,1380,525,7,6,7,5,6,1,,,,,3,0,Completed,1.11,6,1.15,5.2,1.125,5.5,1.131,7.95,1.12,6
6,Melbourne,Australian Open,15/01/08,Grand Slam,Outdoor,Hard,1st Round,5,Bolelli S.,Ram A.,70,233,541,176,7,6,3,6,6,4,2,6,6,3,3,2,Completed,1.61,2.2,1.65,2.15,1.667,2.1,1.781,2.18,1.67,2.15
