ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,Melzer G.,301,87,164,648,5,7,6,3,2,6,7,6,6,1,3,2,Completed,2.5,1.53,2.2,1.52,2.5,1.53,2.5,1.6,2.62,1.6,2.45,1.54
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Almagro N.,72,42,705,1040,4,0,,,,,,,,,0,0,Retired,1.8,2,1.82,1.82,1.8,2,1.86,2.05,1.86,2.06,1.81,1.97
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Dzumhur D.,35,78,1225,694,6,4,6,4,2,6,2,6,6,3,3,2,Completed,1.22,4.33,1.16,4.1,1.22,4.33,1.22,4.93,1.25,4.93,1.22,4.25
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Estrella Burgos V.,Bedene A.,103,109,586,547,7,6,7,5,0,6,6,3,,,3,1,Completed,5,1.16,4.4,1.14,5,1.14,5.83,1.17,5.83,1.2,5.07,1.16
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Mahut N.,82,41,664,1085,6,3,6,4,6,2,,,,,3,0,Completed,1.66,2.2,1.58,2.1,1.73,2.1,1.72,2.25,1.77,2.25,1.68,2.15
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Kuznetsov An.,5,45,5010,1015,5,7,6,1,6,4,6,7,6,2,3,2,Completed,1.08,8,1.06,6.25,1.08,8,1.11,8.36,1.12,8.5,1.09,7.23
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Zverev M.,Garcia-Lopez G.,50,74,894,700,6,3,7,6,6,4,,,,,3,0,Completed,1.28,3.75,1.25,3.1,1.3,3.5,1.31,3.81,1.31,3.81,1.29,3.51
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Halys Q.,32,155,1355,379,6,7,7,6,6,3,6,4,,,3,1,Completed,1.36,3.25,1.28,3,1.4,3,1.43,3.08,1.43,3.25,1.36,3.1
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Vanni L.,10,157,3060,373,6,1,,,,,,,,,1,0,Retired,1.04,13,1.02,7.5,1.03,10,1.05,13.96,1.08,14.65,1.04,11.34
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Bellucci T.,27,62,1420,771,6,2,6,1,6,4,,,,,3,0,Completed,1.4,3,1.33,2.85,1.44,2.75,1.4,3.23,1.44,3.23,1.39,2.97
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Lu Y.H.,152,60,383,786,4,6,6,3,7,6,6,3,,,3,1,Completed,3,1.4,2.7,1.35,2.75,1.4,3.14,1.42,3.2,1.42,3.01,1.38
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Isner J.,Kravchuk K.,19,88,1850,642,6,3,6,4,6,7,6,1,,,3,1,Completed,1.11,6.5,1.09,5.5,1.1,6.5,1.1,8.67,1.12,8.67,1.1,6.71
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Janowicz J.,7,273,3605,186,4,6,4,6,6,2,6,2,6,3,3,2,Completed,1.1,7,1.08,5.5,1.09,7,1.12,7.65,1.12,7.65,1.1,6.78
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Jaziri M.,Soeda G.,56,139,824,431,6,3,6,4,6,3,,,,,3,0,Completed,1.61,2.3,1.5,2.3,1.57,2.25,1.58,2.56,1.67,2.56,1.57,2.37
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Marchenko I.,1,95,12560,624,7,5,7,6,6,2,,,,,3,0,Completed,1.005,29,1,10,1.01,26,1.01,29.16,1.02,60.08,1.01,22.91
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Robert S.,94,55,627,854,6,3,6,3,6,3,,,,,3,0,Completed,2,1.8,1.95,1.65,2,1.8,1.92,1.99,2.16,1.99,2.01,1.79
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Cuevas P.,54,22,867,1780,6,3,6,3,6,0,,,,,3,0,Completed,1.9,1.9,1.95,1.7,2,1.73,1.97,1.93,2.15,1.93,2.02,1.77
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Lacko L.,Ramos-Vinolas A.,121,26,486,1435,4,6,7,5,1,6,6,4,6,3,3,2,Completed,2.2,1.66,2.05,1.62,2.1,1.73,2.2,1.75,2.38,1.75,2.17,1.67
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Mannarino A.,52,61,875,781,6,4,3,6,7,6,6,3,,,3,1,Completed,1.66,2.2,1.6,2.05,1.73,2.1,1.76,2.19,1.77,2.25,1.7,2.12
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Lorenzi P.,Duckworth J.,43,107,1033,557,6,4,7,6,6,7,6,4,,,3,1,Completed,2.2,1.66,2.1,1.6,2.2,1.67,2.44,1.63,2.44,1.85,2.17,1.67
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Mathieu P.H.,89,75,635,700,6,4,7,6,6,7,7,5,,,3,1,Completed,1.36,3.25,1.33,2.85,1.36,3,1.38,3.35,1.39,3.35,1.36,3.13
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Rubin N.,Fratangelo B.,200,113,274,519,6,7,7,5,3,6,6,2,6,2,3,2,Completed,2.37,1.57,2.1,1.58,2.2,1.62,2.35,1.67,2.55,1.67,2.31,1.6
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Bublik A.,Pouille L.,207,16,268,2131,6,0,3,6,6,3,6,4,,,3,1,Completed,4,1.25,3.75,1.2,3.75,1.25,4.01,1.29,4.5,1.29,3.96,1.25
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Granollers M.,67,38,731,1123,5,7,6,3,6,2,6,0,,,3,1,Completed,2,1.8,1.95,1.7,2,1.73,2.06,1.85,2.06,1.89,1.98,1.8
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Bagnis F.,51,65,886,739,7,6,6,3,6,1,,,,,3,0,Completed,1.3,3.5,1.22,3.5,1.33,3.4,1.32,3.73,1.33,4,1.28,3.61
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Monteiro T.,12,83,2505,664,6,1,6,3,6,7,6,2,,,3,1,Completed,1.02,17,1.01,8.75,1.02,15,1.04,15.91,1.05,17,1.02,14.21
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Sock J.,Herbert P.H.,20,73,1810,705,6,4,7,6,6,3,,,,,3,0,Completed,1.18,4.5,1.15,4.3,1.2,4.5,1.23,4.69,1.24,5,1.2,4.43
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Johnson S.,Delbonis F.,30,44,1390,1030,6,3,6,4,6,4,,,,,3,0,Completed,1.28,3.75,1.17,4,1.29,3.75,1.29,3.97,1.3,4,1.26,3.8
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Kyrgios N.,Elias G.,13,77,2460,698,6,1,6,2,6,2,,,,,3,0,Completed,1.06,9,1.06,6,1.08,8,1.08,9.87,1.11,9.9,1.07,8.06
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Klizan M.,4,34,5155,1230,4,6,6,4,7,5,4,6,6,4,3,2,Completed,1.05,11,1.02,7.5,1.04,11,1.07,11.52,1.07,12,1.05,10.2
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Darcis S.,Groth S.,71,162,707,355,3,6,6,3,6,2,6,2,,,3,1,Completed,1.57,2.37,1.5,2.25,1.57,2.25,1.59,2.52,1.65,2.52,1.57,2.35
6,Melbourne,Australian Open,16/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Melzer J.,17,300,1980,164,7,5,3,6,6,2,6,2,,,3,1,Completed,1.04,13,1.02,7.5,1.06,11,1.05,13.44,1.07,14.27,1.04,11.25
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Basilashvili N.,33,92,1325,630,6,4,3,6,7,6,6,4,,,3,1,Completed,1.22,4.33,1.18,3.9,1.22,4,1.24,4.65,1.26,4.65,1.22,4.23
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Dutra Silva R.,Donaldson J.,439,101,92,596,3,6,0,6,6,1,6,4,6,4,3,2,Completed,4,1.25,3.5,1.2,3.75,1.25,4.3,1.26,4.33,1.27,4.02,1.23
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Young D.,Fabbiano T.,85,141,651,427,6,4,7,6,6,4,,,,,3,0,Completed,1.44,2.75,1.42,2.4,1.53,2.5,1.5,2.79,1.55,2.8,1.5,2.57
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Mmoh M.,25,190,1585,297,6,1,6,3,6,3,,,,,3,0,Completed,1.16,5,1.15,4.3,1.17,5,1.19,5.42,1.2,5.41,1.17,4.87
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Haase R.,24,57,1655,808,6,2,3,6,5,7,6,3,6,2,3,2,Completed,1.1,7,1.08,5.6,1.12,6,1.13,7.38,1.17,7.38,1.11,6.41
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Berlocq C.,Albot R.,90,96,632,614,6,4,7,6,5,7,7,6,,,3,1,Completed,2,1.8,1.85,1.75,1.83,1.83,1.9,2.01,2,2.01,1.89,1.88
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Bolt A.,99,632,602,46,6,4,1,6,6,2,6,4,,,3,1,Completed,1.53,2.5,1.48,2.35,1.57,2.38,1.61,2.47,1.61,2.6,1.53,2.48
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Brown D.,3,66,5290,738,6,3,6,4,6,2,,,,,3,0,Completed,1.05,11,1.01,8.5,1.04,11,1.03,17.76,1.06,17.76,1.04,10.88
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Opelka R.,11,208,2750,267,6,4,4,6,6,2,4,6,6,4,3,2,Completed,1.16,5,1.11,4.9,1.17,5,1.16,6.2,1.17,6.33,1.14,5.48
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Kukushkin M.,108,98,550,602,6,1,6,7,6,3,6,2,,,3,1,Completed,1.53,2.5,1.42,2.4,1.53,2.38,1.56,2.62,1.57,2.65,1.54,2.45
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Polansky P.,31,132,1370,454,6,0,3,6,3,6,6,2,3,0,2,2,Retired,1.22,4.33,1.22,3.4,1.2,4.33,1.24,4.65,1.26,4.65,1.22,4.24
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Mayer F.,9,49,3195,903,6,3,6,4,6,4,,,,,3,0,Completed,1.04,11,1.03,7.25,1.05,10,1.04,15.91,1.07,15.95,1.04,11.02
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Edmund K.,Giraldo S.,46,91,989,631,6,2,7,5,6,3,,,,,3,0,Completed,1.3,3.5,1.25,3.3,1.29,3.75,1.34,3.63,1.34,3.75,1.29,3.49
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Youzhny M.,36,70,1210,707,6,3,3,0,,,,,,,1,0,Retired,1.57,2.37,1.55,2.2,1.62,2.25,1.66,2.37,1.66,2.4,1.6,2.31
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Struff J.L.,8,58,3415,796,4,6,6,4,6,4,6,3,,,3,1,Completed,1.3,3.5,1.28,3,1.33,3.4,1.31,3.83,1.33,3.83,1.29,3.51
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Fritz T.,28,93,1415,628,7,6,7,6,6,3,,,,,3,0,Completed,1.36,3.25,1.33,2.85,1.36,3,1.38,3.36,1.4,3.4,1.35,3.14
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Whittington A.,Pavlasek A.,194,86,289,649,6,4,4,6,6,2,6,3,,,3,1,Completed,3,1.4,2.5,1.4,2.75,1.44,3.14,1.42,3.14,1.51,2.79,1.43
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Bautista Agut R.,Pella G.,14,81,2350,685,6,3,6,1,6,1,,,,,3,0,Completed,1.08,8,1.04,7,1.05,10,1.11,8.36,1.11,10,1.08,7.88
6,Melbourne,Australian Open,17/01/17,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Mott B.,18,287,1885,173,6,4,6,4,6,2,,,,,3,0,Completed,1.02,17,1.01,8.75,1.02,15,1.03,18.6,1.04,18.6,1.02,14.26
