ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Mannarino A.,6,42,4810,1045,6,3,5,7,6,2,6,1,,,3,1,Completed,1.06,10,1.05,13.28,1.08,13.28,1.06,9.96
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Basilashvili N.,Eubanks C.,20,170,1820,312,6,4,4,6,7,6,6,3,,,3,1,Completed,1.2,4.5,1.24,4.61,1.3,4.66,1.23,4.28
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Albot R.,Mmoh M.,98,107,585,526,3,6,6,3,6,4,6,2,,,3,1,Completed,2.1,1.72,2.19,1.76,2.22,1.77,2.14,1.72
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Travaglia S.,Andreozzi G.,137,77,401,708,6,7,6,2,6,3,6,2,,,3,1,Completed,1.4,3,1.45,2.97,1.5,3.02,1.44,2.82
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Kecmanovic M.,28,125,1410,458,7,6,6,3,6,3,,,,,3,0,Completed,1.5,2.62,1.5,2.81,1.5,2.9,1.47,2.72
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Cuevas P.,Lajovic D.,94,46,616,1010,6,4,7,5,6,1,,,,,3,0,Completed,3.2,1.36,3.51,1.35,3.51,1.76,3.11,1.38
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Haase R.,Garcia-Lopez G.,58,100,860,582,7,5,6,4,7,5,,,,,3,0,Completed,2.1,1.72,2.16,1.78,2.16,1.85,2.08,1.76
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Berrettini M.,15,54,2095,920,6,7,6,4,6,3,7,6,,,3,1,Completed,1.36,3.2,1.43,3.05,1.45,3.5,1.4,3
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Tipsarevic J.,21,N/A,1790,N/A,4,6,6,3,6,1,6,4,,,3,1,Completed,1.06,10,1.08,10.26,1.08,13,1.06,9.97
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Gunneswaran P.,39,109,1080,515,7,6,6,3,6,3,,,,,3,0,Completed,1.28,3.75,1.31,3.84,1.36,3.85,1.3,3.61
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Duckworth J.,2,237,7480,206,6,4,6,3,7,5,,,,,3,0,Completed,1.05,11,1.05,14.44,1.06,15.45,1.04,11.64
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Fabbiano T.,Kubler J.,102,130,573,433,6,4,7,6,2,6,6,3,,,3,1,Completed,2,1.8,2.12,1.81,2.12,1.9,2.04,1.79
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Isner J.,97,10,593,3155,7,6,7,6,6,7,7,6,,,3,1,Completed,2.62,1.5,2.79,1.5,2.96,1.5,2.75,1.46
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Molleker R.,16,206,1925,246,6,1,6,3,4,6,6,0,,,3,1,Completed,1.11,6.5,1.14,6.72,1.17,7,1.13,6.2
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Ito T.,189,150,266,360,7,5,6,1,7,6,,,,,3,0,Completed,1.36,3.2,1.34,3.58,1.36,3.6,1.33,3.38
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,Polmans M.,62,169,818,317,5,7,1,6,6,2,6,3,6,2,3,2,Completed,1.28,3.75,1.28,4.14,1.33,4.15,1.27,3.84
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Gojowczyk P.,11,63,2835,805,3,6,6,3,6,4,6,3,,,3,1,Completed,1.11,6.5,1.1,8.73,1.13,8.73,1.1,7.07
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,Sousa P.,29,103,1353,550,6,4,7,5,6,4,,,,,3,0,Completed,1.04,13,1.05,13.93,1.07,13.93,1.05,11.2
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Carballes Baena R.,200,75,252,714,6,1,1,6,2,6,6,1,6,4,3,2,Completed,1.3,3.5,1.37,3.41,1.4,3.6,1.34,3.32
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Mcdonald M.,Rublev A.,81,87,692,655,6,4,6,4,2,6,6,4,,,3,1,Completed,3.4,1.33,3.7,1.33,3.75,1.45,3.46,1.32
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Laaksonen H.,Basic M.,166,99,319,585,6,4,7,6,4,6,6,3,,,3,1,Completed,1.72,2.1,1.89,2.02,1.91,2.15,1.81,2.01
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Edmund K.,57,14,865,2150,6,3,6,0,7,5,,,,,3,0,Completed,1.44,2.75,1.42,3.12,1.47,3.12,1.42,2.89
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Lopez F.,72,66,740,770,6,1,7,6,6,3,,,,,3,0,Completed,1.33,3.4,1.33,3.68,1.36,3.72,1.31,3.49
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Struff J.L.,48,51,981,945,1,6,6,4,6,3,6,4,,,3,1,Completed,2.3,1.61,2.43,1.63,2.5,1.66,2.37,1.6
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Johnson S.,35,34,1170,1190,6,4,4,6,6,4,6,3,,,3,1,Completed,1.8,2,1.89,2.02,1.9,2.05,1.84,1.98
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Dzumhur D.,33,47,1195,985,6,0,6,4,6,0,,,,,3,0,Completed,1.53,2.5,1.56,2.62,1.58,2.62,1.54,2.52
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Sandgren T.,69,41,758,1058,6,4,7,6,4,6,6,4,,,3,1,Completed,1.72,2.1,1.83,2.1,1.87,2.18,1.77,2.07
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Millman J.,Delbonis F.,37,80,1108,696,6,3,3,6,7,6,6,2,,,3,1,Completed,1.25,4,1.27,4.26,1.27,4.35,1.24,4.12
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Norrie C.,50,68,964,760,6,3,7,6,6,2,,,,,3,0,Completed,2,1.8,2.05,1.86,2.09,1.91,2,1.82
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Bautista Agut R.,Murray A.,24,229,1605,220,6,4,6,4,6,7,6,7,6,2,3,2,Completed,1.2,4.5,1.26,4.3,1.26,5,1.21,4.55
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Tomic B.,7,88,4160,655,6,2,6,4,7,6,,,,,3,0,Completed,1.25,4,1.27,4.17,1.3,4.34,1.25,4
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Istomin D.,3,101,6420,577,6,3,6,4,6,4,,,,,3,0,Completed,1.03,15,1.03,17.37,1.04,19.5,1.02,14.98
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Munar J.,13,79,2315,702,7,6,7,6,3,1,,,,,2,0,Retired,1.44,2.75,1.47,2.89,1.49,2.9,1.45,2.79
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Ivashka I.,Jaziri M.,84,43,658,1042,4,6,7,6,6,1,4,0,,,2,1,Retired,1.44,2.75,1.41,3.15,1.48,3.15,1.42,2.88
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,Jarry N.,53,45,920,1015,7,6,7,6,4,6,6,3,,,3,1,Completed,1.8,2,1.89,2.01,1.89,2.17,1.81,2.02
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Majchrzak K.,9,176,3750,291,3,6,6,7,6,0,6,2,3,0,2,2,Retired,1.02,17,1.03,18.24,1.03,21.25,1.02,15.25
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Herbert P.H.,Querrey S.,55,49,903,975,5,7,7,6,6,3,6,1,,,3,1,Completed,2.62,1.5,2.8,1.5,2.8,1.53,2.69,1.48
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Ramos-Vinolas A.,38,64,1094,790,6,3,6,4,6,7,6,3,,,3,1,Completed,1.2,4.5,1.2,5.3,1.24,5.3,1.2,4.66
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Vesely J.,83,90,660,633,6,0,7,5,6,3,,,,,3,0,Completed,1.61,2.3,1.62,2.46,1.63,2.56,1.59,2.38
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Harris L.,19,119,1865,472,6,1,6,2,6,1,,,,,3,0,Completed,1.16,5,1.2,5.24,1.2,5.6,1.17,5.11
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Hurkacz H.,73,76,739,708,6,7,7,6,7,6,7,6,,,3,1,Completed,1.8,2,1.74,2.22,1.87,2.22,1.79,2.05
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Coric B.,Darcis S.,12,321,2435,90,6,1,6,4,6,4,,,,,3,0,Completed,1.14,5.5,1.2,5.22,1.2,6,1.16,5.37
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Chung H.,Klahn B.,25,78,1585,704,6,7,6,7,6,3,6,2,6,4,3,2,Completed,1.44,2.75,1.58,2.54,1.59,2.75,1.52,2.54
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Bolt A.,Sock J.,155,105,343,540,4,6,6,3,6,2,6,2,,,3,1,Completed,3.2,1.36,3.23,1.4,3.36,1.4,3.17,1.36
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Sousa J.,Pella G.,44,65,1017,790,7,6,4,6,7,6,4,6,6,2,3,2,Completed,1.72,2.1,1.81,2.12,1.93,2.3,1.77,2.07
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Vanni L.,23,163,1705,325,6,7,2,6,6,3,7,5,6,4,3,2,Completed,1.28,3.75,1.3,3.9,1.3,4.2,1.28,3.74
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Donskoy E.,Djere L.,96,92,599,627,6,7,6,4,6,1,7,6,,,3,1,Completed,2.1,1.72,2.02,1.89,2.13,2.2,2,1.83
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Fratangelo B.,30,133,1280,421,7,6,6,4,6,2,,,,,3,0,Completed,1.28,3.75,1.25,4.43,1.28,4.57,1.24,4.08
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Bedene A.,4,67,6385,760,6,4,6,1,6,4,,,,,3,0,Completed,1.1,7,1.13,7,1.13,7.6,1.11,6.62
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Garin C.,22,89,1785,650,6,0,6,2,6,2,,,,,3,0,Completed,1.14,5.5,1.21,5.14,1.22,5.95,1.17,5.19
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Andujar P.,27,85,1440,658,6,2,6,3,7,6,,,,,3,0,Completed,1.11,6.5,1.11,7.93,1.14,7.93,1.11,6.89
6,Melbourne,Australian Open,15/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Daniel T.,Kokkinakis T.,82,144,691,379,5,7,4,2,,,,,,,0,1,Retired,4,1.25,3.87,1.3,4.1,1.31,3.8,1.28
