ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Vicente F.,Armando H.,155,152,7,6,6,4,2,6,4,6,6,3,3,2,Completed,,,,,,,1.4,2.5,,
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Tipsarevic J.,Hrbaty D.,107,20,6,7,6,3,3,6,6,3,8,6,3,2,Completed,5.5,1.12,4.65,1.18,5.2,1.15,4,1.15,5.55,1.196
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Grosjean S.,Monaco J.,24,60,7,5,6,3,6,1,,,,,3,0,Completed,1.53,2.37,1.65,2.2,1.6,2.25,1.4,2.5,1.694,2.34
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Moya C.,Martin A.,15,56,5,7,6,1,6,4,6,2,,,3,1,Completed,1.33,3.25,1.35,3.1,1.35,3.1,1.35,2.7,1.345,3.65
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Ancic M.,Daniel M.,18,197,6,2,6,1,7,6,,,,,3,0,Completed,1.11,6,1.16,5,1.11,5.84,1.15,4,1.143,7.25
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Stepanek R.,Srichaphan P.,17,36,3,6,6,3,6,1,6,1,,,3,1,Completed,1.07,7.5,1.1,6.5,1.1,6.75,1.1,5,1.087,10.75
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Vik R.,Kim K.,145,68,6,4,7,6,7,5,,,,,3,0,Completed,1.5,2.5,1.42,2.8,1.4,2.85,1.4,2.5,1.735,2.19
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Sela D.,1,264,6,1,6,4,6,0,,,,,3,0,Completed,1,21,1.01,14,1.03,10.38,1.01,10,1.011,71
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Nadal R.,Burgsmuller L.,5,96,6,1,7,6,6,1,,,,,3,0,Completed,1,21,1.01,14,1.005,13.35,1.01,10,1.013,56
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Sanguinetti D.,Ascione T.,66,144,3,6,5,7,6,0,6,3,6,4,3,2,Completed,1.57,2.25,1.7,2.1,1.7,2.1,1.65,1.95,1.645,2.45
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Almagro N.,Kohlschreiber P.,76,73,7,6,6,4,6,3,,,,,3,0,Completed,1.12,5.5,1.12,6,1.13,5.5,1.15,4,1.129,7.95
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Serra F.,Pavel A.,116,43,6,2,6,2,6,3,,,,,3,0,Completed,3.5,1.28,3.55,1.28,3.46,1.28,3.6,1.2,1.704,2.25
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Berdych T.,Morrison J.,47,108,6,3,6,2,6,4,,,,,3,0,Completed,1.12,5.5,1.1,6.5,1.1,6.75,1.1,5,,
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Wessels P.,Mello R.,82,53,6,4,6,1,6,3,,,,,3,0,Completed,2.62,1.44,2.45,1.53,2.6,1.45,2.35,1.45,2.77,1.535
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Hernandez O.,Gimeno-Traver D.,101,215,6,7,6,0,6,3,6,4,,,3,1,Completed,1.72,2,1.83,1.93,,,1.6,2,1.943,1.962
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Malisse X.,Fish M.,46,50,6,2,6,1,6,1,,,,,3,0,Completed,1.14,5,1.18,4.65,1.15,4.92,1.15,4,1.183,5.97
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Horna L.,Haehnel J.,59,83,7,6,7,5,6,3,,,,,3,0,Completed,1.36,3,1.4,2.85,1.4,2.85,1.4,2.5,1.441,3.07
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Behrend T.,Rochus C.,89,48,4,6,6,2,7,5,6,2,,,3,1,Completed,2.62,1.44,2.6,1.48,2.6,1.45,2.2,1.5,2.8,1.518
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Ferrer D.,Vanek J.,21,81,2,6,7,6,6,4,6,0,,,3,1,Completed,1.1,6.5,1.1,6.5,1.06,8.13,1.1,5,1.087,10.75
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Nalbandian D.,Baghdatis M.,11,91,0,6,6,4,6,4,6,4,,,3,1,Completed,1.07,7.5,1.08,7.25,1.1,6.75,1.1,5,1.133,7.75
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Gasquet R.,Bracciali D.,31,142,3,6,6,3,6,2,6,4,,,3,1,Completed,1.02,11,1.02,12,1.03,10.5,1.05,6,1.024,33.5
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Gonzalez F.,Llodra M.,26,52,7,6,6,3,6,2,,,,,3,0,Completed,1.06,8,1.08,7.25,1.07,7.19,1.05,6,1.071,13
31,Paris,French Open,23/05/05,Grand Slam,Outdoor,Clay,1st Round,5,Henman T.,Brzezicki J.P.,8,146,6,2,6,1,6,4,,,,,3,0,Completed,1.06,8,1.11,6.25,,,1.1,5,,
