ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
31,Paris,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Hartfield D.,1,157,7010,265,7,5,7,6,6,2,,,,,3,0,Completed,,,1.01,14,,,1.012,66,,
31,Paris,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Henman T.,Carlsen K.,71,112,570,392,6,3,6,4,4,6,6,4,,,3,1,Completed,1.14,5,1.13,5.65,1.15,5.2,1.147,7.2,1.12,5.7
31,Paris,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Moya C.,Marin J.A.,33,120,905,365,7,5,6,3,6,3,,,,,3,0,Completed,1.08,7,1.04,10,1.07,7.19,1.09,10.1,1.08,7.5
31,Paris,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Nalbandian D.,Wawrinka S.,3,57,3065,683,6,2,7,6,6,4,,,,,3,0,Completed,1.14,5,1.2,4.4,1.15,4.92,1.229,4.96,1.17,4.7
31,Paris,French Open,28/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Robredo T.,Zib T.,7,109,2020,399,6,4,6,2,6,2,,,,,3,0,Completed,1.04,9,1.04,10,1.04,9.35,1.033,24,1.04,10
31,Paris,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Acasuso J.,Santoro F.,29,51,1090,777,6,3,6,1,3,6,1,6,11,9,3,2,Completed,1.16,4.5,1.22,4.1,1.2,4.25,1.259,4.56,1.18,4.5
31,Paris,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Almagro N.,Arthurs W.,41,209,834,197,7,5,6,2,6,2,,,,,3,0,Completed,1.07,7.5,1.06,8.5,1.06,7.79,1.05,16,1.06,8
31,Paris,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Ancic M.,Healey N.,12,195,1710,205,6,3,4,6,7,6,6,1,,,3,1,Completed,1.03,10,1.05,9,1.07,7.19,1.05,16,1.04,10
31,Paris,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Berdych T.,Lopez F.,20,48,1390,790,6,2,6,4,6,3,,,,,3,0,Completed,1.28,3.5,1.28,3.55,1.26,3.59,1.277,4.31,1.28,3.5
31,Paris,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Blake J.,Srichaphan P.,8,39,1925,845,6,0,6,4,7,6,,,,,3,0,Completed,1.1,6.5,1.1,6.5,1.09,6.68,1.094,9.65,1.08,7
31,Paris,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Bozoljac I.,Pashanski B.,160,64,262,612,6,4,6,3,6,4,,,,,3,0,Completed,2.1,1.66,1.93,1.83,1.85,1.9,2.04,1.877,,
31,Paris,French Open,29/05/06,Grand Slam,Outdoor,Clay,1st Round,5,Capdeville P.,Rusedski G.,125,42,355,830,6,3,6,1,4,6,7,6,,,3,1,Completed,1.57,2.25,1.53,2.45,1.5,2.45,1.515,2.79,1.55,2.4
