ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Zeballos H.,Mannarino A.,65,54,793,871,7,5,6,3,6,4,,,,,3,0,Completed,2,1.8,1.95,1.75,1.91,1.91,2.09,1.83,2.09,1.91,1.98,1.82
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Garcia-Lopez G.,Muller G.,153,27,372,1530,7,6,6,7,6,2,6,2,,,3,1,Completed,3,1.4,2.95,1.35,2.75,1.44,3.22,1.4,3.22,1.46,2.97,1.45
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Ramos-Vinolas A.,Copil M.,20,94,2065,577,6,7,6,1,6,4,6,2,,,3,1,Completed,1.2,4.5,1.18,4.3,1.2,4.5,1.22,4.85,1.23,4.85,1.21,4.41
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Bonzi B.,Medvedev D.,266,66,198,782,5,7,6,4,6,1,3,1,,,2,1,Retired,2.75,1.44,2.65,1.42,2.75,1.44,2.95,1.46,2.95,1.48,2.76,1.44
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Daniel T.,Janowicz J.,102,164,544,345,6,4,6,4,6,4,,,,,3,0,Completed,1.72,2.1,1.62,2.15,1.67,2.2,1.69,2.3,1.77,2.31,1.68,2.17
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Carreno Busta P.,Mayer F.,21,44,2045,967,6,4,6,2,6,2,,,,,3,0,Completed,1.08,8,1.06,7.25,1.1,7,1.09,9.35,1.17,9.35,1.08,7.84
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Dimitrov G.,Robert S.,13,114,2900,490,6,2,6,3,6,4,,,,,3,0,Completed,1.01,17,1.01,11.5,1.03,11,1.03,17.65,1.04,17.65,1.03,13.69
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Karlovic I.,Tsitsipas S.,24,205,1820,264,7,6,7,5,6,4,,,,,3,0,Completed,1.66,2.2,1.65,2.1,1.73,2.1,1.75,2.2,1.75,2.33,1.69,2.16
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Kukushkin M.,Sandgren T.,85,113,630,494,6,2,6,1,6,4,,,,,3,0,Completed,1.44,2.75,1.42,2.65,1.44,2.75,1.5,2.8,1.5,2.88,1.44,2.74
33,Paris,French Open,28/05/17,Grand Slam,Outdoor,Clay,1st Round,5,Trungelliti M.,Halys Q.,162,126,348,453,3,6,6,7,7,6,6,4,6,4,3,2,Completed,2,1.8,2,1.72,2,1.8,2.2,1.75,2.2,1.85,2.05,1.76
