ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Massu N.,Gambill J.M.,58,151,665,283,7,6,6,2,6,3,,,,,3,0,Completed,1.39,2.75,1.4,2.85,1.35,3.1,1.4,2.5,1.485,2.86
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Baker B.,Gaudio G.,195,9,202,1755,7,6,6,2,6,4,,,,,3,0,Completed,6,1.11,6.5,1.1,6.23,1.1,4,1.15,8.3,1.123
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Summerer T.,19,198,1360,198,6,3,7,6,6,3,,,,,3,0,Completed,1.11,6,1.12,6,1.15,5.2,1.15,4,1.167,6.4
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Mello R.,Monaco J.,56,80,675,496,6,7,6,2,6,1,6,4,,,3,1,Completed,1.8,1.9,1.93,1.83,1.85,1.9,1.85,1.75,1.87,2.05
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Hernych J.,54,81,701,495,6,2,7,5,6,2,,,,,3,0,Completed,1.44,2.62,1.45,2.7,1.4,2.85,1.4,2.5,1.488,2.85
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Saulnier C.,Tipsarevic J.,75,125,510,352,6,7,7,6,6,4,6,3,,,3,1,Completed,1.5,2.5,1.45,2.7,1.44,2.67,1.35,2.7,1.552,2.71
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Kohlschreiber P.,34,79,965,502,7,6,7,6,6,4,,,,,3,0,Completed,1.25,3.75,1.22,4.1,1.25,3.9,1.2,3.6,1.23,4.95
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Reynolds B.,2,132,4320,337,6,3,6,3,6,4,,,,,3,0,Completed,1.01,13,1.02,12,1.03,13.5,1.02,8,1.018,43.5
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Puerta M.,Okun N.,10,185,1717,225,7,6,6,7,6,4,6,0,,,3,1,Completed,1.33,3.25,1.33,3.2,1.3,3.35,1.25,3.2,1.485,2.86
51,New York,US Open,29/08/05,Grand Slam,Outdoor,Hard,1st Round,5,Novak J.,Norman D.,25,112,1230,382,6,4,6,4,6,2,,,,,3,0,Completed,1.11,6,1.16,5,1.2,4.25,1.15,4,1.149,7.1
