ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Vassallo-Arguello M.,4,111,2865,444,7,6,6,2,6,2,,,,,3,0,Completed,1.01,13,1.04,12,1.04,9,1.048,17,1.02,15
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Cuevas P.,33,135,963,346,6,4,6,4,6,1,,,,,3,0,Completed,1.11,6,1.15,5.95,1.111,6,1.171,6.36,1.12,6
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Korolev E.,Soderling R.,98,34,475,960,7,6,6,3,7,6,,,,,3,0,Completed,5,1.14,4.55,1.2,4.5,1.167,5.1,1.222,4.6,1.18
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Monaco J.,126,32,386,970,6,2,6,2,5,7,6,2,,,3,1,Completed,2.25,1.57,2.27,1.64,2.25,1.571,2.36,1.685,2.18,1.65
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Granollers M.,16,51,1350,751,6,4,6,3,5,7,6,2,,,3,1,Completed,1.11,6,1.15,5.6,1.143,5,1.143,7.3,1.1,6.75
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Karanusic R.,Sweeting R.,100,277,471,129,7,5,7,5,3,6,6,2,,,3,1,Completed,2.2,1.61,2.1,1.75,2.1,1.667,2.09,1.84,2.13,1.68
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Acasuso J.,Berrer M.,52,99,736,475,6,4,6,2,6,2,,,,,3,0,Completed,1.61,2.2,1.7,2.16,1.615,2.2,1.813,2.13,1.75,2.03
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Odesnik W.,Fognini F.,114,83,424,536,2,6,6,0,4,6,6,3,6,4,3,2,Completed,1.5,2.5,1.6,2.4,1.615,2.2,1.571,2.65,1.58,2.32
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Bolelli S.,10,47,1670,840,7,6,6,3,6,3,,,,,3,0,Completed,1.16,4.5,1.2,4.55,1.2,4.333,1.244,4.7,1.17,4.8
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Nalbandian D.,Daniel M.,7,82,1975,537,6,1,6,2,6,4,,,,,3,0,Completed,1.06,8,1.08,7,1.083,7,1.1,9,1.08,7.5
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Vanek J.,Bohli S.,123,133,392,353,3,6,6,3,6,2,7,5,,,3,1,Completed,3.4,1.3,3.3,1.35,3,1.364,3.3,1.4,3,1.37
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Phau B.,1,136,6700,343,7,6,6,3,7,6,,,,,3,0,Completed,1.005,21,1.01,16,1.005,21,1.011,66,1.01,30
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Llodra M.,Gabashvili T.,38,85,911,517,6,3,5,7,7,6,7,6,,,3,1,Completed,1.44,2.62,1.55,2.45,1.444,2.625,1.546,2.73,1.58,2.32
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Beck A.,Isner J.,122,125,403,386,7,6,6,4,7,6,,,,,3,0,Completed,2.62,1.44,2.7,1.45,2.5,1.5,2.68,1.562,2.4,1.55
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Roitman S.,6,107,2415,455,6,3,6,4,6,0,,,,,3,0,Completed,1,21,1.02,13.5,1.02,11,1.025,28.5,1.02,15
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,Golubev A.,Evans B.,161,190,270,210,6,4,6,3,6,2,,,,,3,0,Completed,1.61,2.2,,,,,,,,
51,New York,US Open,25/08/08,Grand Slam,Outdoor,Hard,1st Round,5,De Heart R.,Rochus O.,261,68,142,604,7,6,5,7,6,4,3,6,6,4,3,2,Completed,4,1.22,3.81,1.27,3.5,1.286,3.76,1.327,4,1.23
