ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Santoro F.,Martin A.,53,61,7,5,6,2,3,6,6,2,,,3,1,Completed,1.4,2.75,1.5,2.5,1.45,2.6,1.4,2.3,1.535,2.67
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Ginepri R.,Tipsarevic J.,34,136,4,6,7,5,6,3,6,3,,,3,1,Completed,1.4,2.75,1.45,2.65,1.53,2.4,1.5,2.1,1.552,2.61
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Verdasco F.,Weiner G.,40,141,6,4,6,4,6,4,,,,,3,0,Completed,1.333,3.25,1.3,3.4,1.35,3.1,1.3,2.7,1.392,3.2
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Falla A.,Knowle J.,138,209,2,6,6,3,6,1,6,3,,,3,1,Completed,2.1,1.66,2.2,1.65,2.12,1.67,2.2,1.45,2.35,1.645
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Koubek S.,Acasuso J.,95,97,4,6,6,4,6,1,6,1,,,3,1,Completed,1.333,3.25,1.35,3.1,1.3,3.35,1.3,2.7,1.345,3.5
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Bjorkman J.,Sluiter R.,27,79,5,7,6,1,7,5,6,1,,,3,1,Completed,1.571,2.25,1.67,2.15,1.7,2.1,1.5,2.1,1.735,2.16
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Johansson T.,Kiefer N.,123,33,4,6,4,6,6,4,6,3,6,0,3,2,Completed,1.667,2.1,1.67,2.15,1.7,2.1,1.6,1.9,1.741,2.15
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Elseneer G.,Parmar A.,99,162,7,6,7,6,7,6,,,,,3,0,Completed,1.571,2.25,1.6,2.3,1.67,2.12,1.55,2,1.625,2.4
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Karlovic I.,Srichaphan P.,62,14,3,6,6,4,6,4,6,4,,,3,1,Completed,2.5,1.5,2.35,1.57,2.35,1.55,2.2,1.45,2.56,1.568
35,London,Wimbledon,21/06/04,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Bogdanovic A.,1,295,6,3,6,3,6,0,,,,,3,0,Completed,1.015,12,1.03,11,1.03,10.5,1.02,7,1.024,28.5
