ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Gulbis E.,Zopp J.,10,272,2725,174,7,6,7,5,7,6,,,,,3,0,Completed,1.03,15,1.03,11,1.03,10,1.04,16,1.03,12,1.05,17,1.03,12.3
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Berdych T.,Hanescu V.,6,104,4680,552,6,7,6,1,6,4,6,3,,,3,1,Completed,1.03,15,1.03,11,1.03,12,1.03,17.5,1.04,11,1.05,21,1.03,12.72
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Simon G.,Kravchuk K.,44,221,1005,221,6,2,7,6,7,5,,,,,3,0,Completed,1.12,6,1.11,6,1.14,5,1.15,6.59,1.13,6,1.15,7.5,1.12,6.08
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Rola B.,Andujar P.,92,80,596,666,6,3,6,1,6,4,,,,,3,0,Completed,1.57,2.25,1.58,2.35,1.53,2.38,1.65,2.4,1.62,2.25,1.7,2.6,1.6,2.32
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Matosevic M.,Verdasco F.,58,24,827,1555,6,4,4,6,6,4,6,2,,,3,1,Completed,2.62,1.44,2.8,1.42,2.62,1.44,2.76,1.51,2.75,1.44,3.2,1.51,2.75,1.44
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Stakhovsky S.,Berlocq C.,90,43,610,1010,6,3,6,3,6,3,,,,,3,0,Completed,1.28,3.5,1.33,3.2,1.33,3.25,1.38,3.37,1.29,3.5,1.4,3.5,1.32,3.29
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Mayer L.,Seppi A.,64,36,784,1105,6,3,2,6,4,6,7,6,6,4,3,2,Completed,3.5,1.28,3.4,1.3,3.5,1.29,3.4,1.37,3.5,1.29,3.6,1.4,3.36,1.31
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Youzhny M.,Ward J.,16,154,1790,371,6,2,6,2,6,1,,,,,3,0,Completed,1.2,4.33,1.22,4,1.2,4.33,1.21,5.12,1.22,4,1.26,5.5,1.21,4.36
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Murray A.,Goffin D.,5,105,4680,548,6,1,6,4,7,5,,,,,3,0,Completed,1.04,13,1.03,11,1.03,12,1.04,16,1.04,11,1.05,16,1.03,12.43
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,5,Wang J.,Gonzalez A.,147,76,397,705,6,3,6,3,6,2,,,,,3,0,Completed,1.2,4.33,1.22,4,1.2,4.33,1.26,4.38,1.22,4,1.27,4.5,1.22,4.13
