match_id,player_id,pts,rank,winner,sets,1,2,3,4,5,B365W,B365L,total_pts,service_pts,return_pts,aces,bp_saved,bp_faced,first_serve_rtn_won,second_serve_rtn_won,first_serve_in,dbl_faults,first_serve_per
m_2019_A_0,atp_104731,4810,6,TRUE,3,6,5,6,6,,1.06,10,124,73,51,14,5,7,29,22,71,5,0.645454545
m_2019_A_1,atp_105932,1820,20,TRUE,3,6,4,7,6,,1.2,4.5,142,92,50,11,10,15,17,33,90,9,0.620689655
m_2019_A_2,atp_105430,585,98,TRUE,3,3,6,6,6,,2.1,1.72,132,73,59,10,8,13,27,32,90,1,0.72
m_2019_A_3,atp_105882,401,137,TRUE,3,6,6,6,6,,1.4,3,127,82,45,23,5,6,16,29,63,3,0.543103448
m_2019_A_4,atp_104269,1410,28,TRUE,3,7,6,6,,,1.5,2.62,110,63,47,21,1,2,29,18,58,6,0.666666667
m_2019_A_5,atp_104655,616,94,TRUE,3,6,7,6,,,3.2,1.36,103,54,49,5,3,5,23,26,46,0,0.575
m_2019_A_7,atp_126774,2095,15,TRUE,3,6,6,6,7,,2.1,1.72,135,96,39,15,2,2,16,23,88,4,0.6875
m_2019_A_8,atp_105777,1790,21,TRUE,3,4,6,6,6,,1.36,3.2,128,77,51,18,3,4,22,29,69,8,0.616071429
m_2019_A_9,atp_126207,1080,39,TRUE,3,7,6,6,,,1.06,10,99,64,35,7,4,6,21,14,59,3,0.655555556
m_2019_A_10,atp_104745,7480,2,TRUE,3,6,6,7,,,1.28,3.75,107,56,51,6,1,3,22,29,54,2,0.666666667
m_2019_A_11,atp_105341,573,102,TRUE,3,6,7,2,6,,1.05,11,133,84,49,3,6,10,25,24,99,3,0.733333333
m_2019_A_12,atp_124187,593,97,TRUE,3,7,7,6,7,,2,1.8,142,116,26,40,1,2,14,12,87,6,0.57615894
m_2019_A_13,atp_106043,1925,16,TRUE,3,6,6,4,6,,2.62,1.5,109,64,45,9,2,3,26,19,55,2,0.647058824
m_2019_A_14,atp_105554,266,189,TRUE,3,7,6,7,,,1.11,6.5,108,71,37,9,2,2,10,27,62,2,0.626262626
