Winner,SecondD,B365W,Tournament,Round
Agassi A.,3/9/2003,1.083,US Open,4th Round
Agassi A.,5/9/2003,1.25,US Open,Quarterfinals
Agassi A.,26/08/03,1.083,US Open,1st Round
Agassi A.,29/08/03,1.03,US Open,2nd Round
Agassi A.,31/08/03,1.08,US Open,3rd Round
Agassi A.,24/06/03,1.02,Wimbledon,1st Round
Agassi A.,26/06/03,1.04,Wimbledon,2nd Round
Agassi A.,28/06/03,1.143,Wimbledon,3rd Round
Agassi A.,1/6/2003,1.125,French Open,4th Round
Agassi A.,26/05/03,1.03,French Open,1st Round
Agassi A.,28/05/03,1.063,French Open,2nd Round
Agassi A.,30/05/03,1.111,French Open,3rd Round
Agassi A.,13/01/03,1.063,Australian Open,1st Round
Agassi A.,15/01/03,1.125,Australian Open,2nd Round
Agassi A.,17/01/03,1.167,Australian Open,3rd Round
Agassi A.,19/01/03,1.125,Australian Open,4th Round
Agassi A.,21/01/03,1.222,Australian Open,Quarterfinals
Agassi A.,23/01/03,1.111,Australian Open,Semifinals
Agassi A.,26/01/03,1.118,Australian Open,The Final
Agassi A.,2/9/2004,1.143,US Open,2nd Round
Agassi A.,4/9/2004,1.167,US Open,3rd Round
Agassi A.,6/9/2004,1.05,US Open,4th Round
Agassi A.,31/08/04,1.2,US Open,1st Round
Agassi A.,19/01/04,1.02,Australian Open,1st Round
Agassi A.,21/01/04,1.02,Australian Open,2nd Round
Agassi A.,23/01/04,1.125,Australian Open,3rd Round
Agassi A.,25/01/04,1.2,Australian Open,4th Round
Agassi A.,27/01/04,1.167,Australian Open,Quarterfinals
Agassi A.,1/9/2005,1.08,US Open,2nd Round
Agassi A.,3/9/2005,1.25,US Open,3rd Round
Agassi A.,5/9/2005,1.14,US Open,4th Round
Agassi A.,8/9/2005,1.66,US Open,Quarterfinals
Agassi A.,10/9/2005,1.36,US Open,Semifinals
Agassi A.,30/08/05,1.01,US Open,1st Round
Agassi A.,17/01/05,1.02,Australian Open,1st Round
Agassi A.,19/01/05,1.16,Australian Open,2nd Round
Agassi A.,21/01/05,1.19,Australian Open,3rd Round
Agassi A.,23/01/05,1.33,Australian Open,4th Round
Agassi A.,1/9/2006,2.75,US Open,2nd Round
Agassi A.,29/08/06,1.25,US Open,1st Round
Agassi A.,27/06/06,1.1,Wimbledon,1st Round
Agassi A.,29/06/06,1.44,Wimbledon,2nd Round
Arazi H.,27/08/03,1.571,US Open,1st Round
Arazi H.,27/05/03,NA,French Open,1st Round
Arazi H.,1/9/2004,1.4,US Open,1st Round
Arazi H.,22/06/04,1.533,Wimbledon,1st Round
Arazi H.,25/06/04,1.4,Wimbledon,2nd Round
Arazi H.,20/01/04,1.333,Australian Open,1st Round
Arazi H.,22/01/04,2,Australian Open,2nd Round
Arazi H.,24/01/04,2.375,Australian Open,3rd Round
Arazi H.,26/01/04,4.333,Australian Open,4th Round
Berdych T.,25/08/03,1.72,US Open,1st Round
Berdych T.,1/9/2004,1.667,US Open,1st Round
Berdych T.,3/9/2004,1.25,US Open,2nd Round
Berdych T.,5/9/2004,2.375,US Open,3rd Round
Berdych T.,19/01/04,2,Australian Open,1st Round
Berdych T.,1/9/2005,1.16,US Open,2nd Round
Berdych T.,29/08/05,1.25,US Open,1st Round
Berdych T.,20/06/05,1.66,Wimbledon,1st Round
Berdych T.,22/06/05,1.44,Wimbledon,2nd Round
Berdych T.,23/05/05,1.12,French Open,1st Round
Berdych T.,1/9/2006,1.22,US Open,2nd Round
Berdych T.,3/9/2006,1.66,US Open,3rd Round
Berdych T.,30/08/06,1.04,US Open,1st Round
Berdych T.,27/06/06,1.28,Wimbledon,1st Round
Berdych T.,29/06/06,1.28,Wimbledon,2nd Round
Berdych T.,30/06/06,2,Wimbledon,3rd Round
Berdych T.,2/6/2006,1.3,French Open,3rd Round
Berdych T.,29/05/06,1.28,French Open,1st Round
Berdych T.,31/05/06,1.39,French Open,2nd Round
Berdych T.,16/01/06,1.11,Australian Open,1st Round
Berdych T.,1/9/2007,1.36,US Open,3rd Round
Berdych T.,27/08/07,1.11,US Open,1st Round
Berdych T.,30/08/07,1.07,US Open,2nd Round
Berdych T.,2/7/2007,1.02,Wimbledon,3rd Round
Berdych T.,5/7/2007,1.25,Wimbledon,4th Round
Berdych T.,26/06/07,1.06,Wimbledon,1st Round
Berdych T.,28/06/07,1.14,Wimbledon,2nd Round
Berdych T.,16/01/07,1.22,Australian Open,1st Round
Berdych T.,18/01/07,1.03,Australian Open,2nd Round
Berdych T.,21/01/07,1.39,Australian Open,3rd Round
Berdych T.,23/06/08,1.11,Wimbledon,1st Round
Berdych T.,25/06/08,1.12,Wimbledon,2nd Round
Berdych T.,26/05/08,1.02,French Open,1st Round
Berdych T.,15/01/08,1.03,Australian Open,1st Round
Berdych T.,17/01/08,1.01,Australian Open,2nd Round
Berdych T.,19/01/08,1.28,Australian Open,3rd Round
Berdych T.,1/9/2009,1.12,US Open,1st Round
Berdych T.,4/9/2009,1.071,US Open,2nd Round
Berdych T.,23/06/09,1.12,Wimbledon,1st Round
Berdych T.,25/06/09,1.36,Wimbledon,2nd Round
Berdych T.,27/06/09,1.72,Wimbledon,3rd Round
Berdych T.,19/01/09,1.36,Australian Open,1st Round
Berdych T.,21/01/09,1.05,Australian Open,2nd Round
Berdych T.,23/01/09,1.53,Australian Open,3rd Round
Berdych T.,2/7/2010,2,Wimbledon,Semifinals
Berdych T.,21/06/10,1.05,Wimbledon,1st Round
Berdych T.,23/06/10,1.22,Wimbledon,2nd Round
Berdych T.,25/06/10,1.14,Wimbledon,3rd Round
Berdych T.,28/06/10,1.08,Wimbledon,4th Round
Berdych T.,30/06/10,5,Wimbledon,Quarterfinals
Berdych T.,1/6/2010,1.44,French Open,Quarterfinals
Berdych T.,24/05/10,1.01,French Open,1st Round
Berdych T.,26/05/10,1.05,French Open,2nd Round
Berdych T.,28/05/10,1.33,French Open,3rd Round
Berdych T.,30/05/10,2.5,French Open,4th Round
Berdych T.,19/01/10,1.11,Australian Open,1st Round
Berdych T.,1/9/2011,1.05,US Open,2nd Round
Berdych T.,29/08/11,1.01,US Open,1st Round
Berdych T.,20/06/11,1.01,Wimbledon,1st Round
Berdych T.,22/06/11,1.1,Wimbledon,2nd Round
Berdych T.,25/06/11,1.03,Wimbledon,3rd Round
Berdych T.,17/01/11,1.02,Australian Open,1st Round
Berdych T.,19/01/11,1.22,Australian Open,2nd Round
Berdych T.,21/01/11,1.38,Australian Open,3rd Round
Berdych T.,23/01/11,1.5,Australian Open,4th Round
Berdych T.,1/9/2012,1.36,US Open,3rd Round
Berdych T.,3/9/2012,1.22,US Open,4th Round
Berdych T.,6/9/2012,5.5,US Open,Quarterfinals
Berdych T.,28/08/12,1.11,US Open,1st Round
Berdych T.,30/08/12,1.04,US Open,2nd Round
Berdych T.,1/6/2012,1.04,French Open,3rd Round
Berdych T.,28/05/12,1.01,French Open,1st Round
Berdych T.,30/05/12,1.11,French Open,2nd Round
Berdych T.,16/01/12,1.01,Australian Open,1st Round
Berdych T.,18/01/12,1.07,Australian Open,2nd Round
Berdych T.,20/01/12,1.16,Australian Open,3rd Round
Berdych T.,22/01/12,1.22,Australian Open,4th Round
Berdych T.,1/9/2013,1.11,US Open,3rd Round
Berdych T.,27/08/13,1.01,US Open,1st Round
Berdych T.,30/08/13,1.02,US Open,2nd Round
Berdych T.,1/7/2013,1.4,Wimbledon,4th Round
Berdych T.,25/06/13,1.04,Wimbledon,1st Round
Berdych T.,27/06/13,1.06,Wimbledon,2nd Round
Berdych T.,29/06/13,1.16,Wimbledon,3rd Round
Berdych T.,14/01/13,1.03,Australian Open,1st Round
Berdych T.,16/01/13,1.02,Australian Open,2nd Round
Berdych T.,18/01/13,1.07,Australian Open,3rd Round
Berdych T.,20/01/13,1.2,Australian Open,4th Round
Berdych T.,3/9/2014,1.2,US Open,4th Round
Berdych T.,27/08/14,1.16,US Open,1st Round
Berdych T.,29/08/14,1.08,US Open,2nd Round
Berdych T.,31/08/14,1.08,US Open,3rd Round
Berdych T.,23/06/14,1.03,Wimbledon,1st Round
Berdych T.,25/06/14,1.22,Wimbledon,2nd Round
Berdych T.,1/6/2014,1.22,French Open,4th Round
Berdych T.,25/05/14,1.01,French Open,1st Round
Berdych T.,28/05/14,1.03,French Open,2nd Round
Berdych T.,30/05/14,1.36,French Open,3rd Round
Berdych T.,13/01/14,1.01,Australian Open,1st Round
Berdych T.,15/01/14,1.02,Australian Open,2nd Round
Berdych T.,17/01/14,1.02,Australian Open,3rd Round
Berdych T.,19/01/14,1.1,Australian Open,4th Round
Berdych T.,21/01/14,1.57,Australian Open,Quarterfinals
Berdych T.,1/9/2015,1.04,US Open,1st Round
Berdych T.,3/9/2015,1.06,US Open,2nd Round
Berdych T.,5/9/2015,1.11,US Open,3rd Round
Berdych T.,2/7/2015,1.16,Wimbledon,2nd Round
Berdych T.,4/7/2015,1.04,Wimbledon,3rd Round
Berdych T.,30/06/15,1.1,Wimbledon,1st Round
Berdych T.,25/05/15,NA,French Open,1st Round
Berdych T.,27/05/15,1.02,French Open,2nd Round
Berdych T.,29/05/15,1.07,French Open,3rd Round
Berdych T.,19/01/15,1.02,Australian Open,1st Round
Berdych T.,21/01/15,1.04,Australian Open,2nd Round
Berdych T.,23/01/15,1.16,Australian Open,3rd Round
Berdych T.,25/01/15,1.3,Australian Open,4th Round
Berdych T.,27/01/15,2.5,Australian Open,Quarterfinals
Berdych T.,1/7/2016,1.08,Wimbledon,2nd Round
Berdych T.,3/7/2016,1.44,Wimbledon,3rd Round
Berdych T.,5/7/2016,1.2,Wimbledon,4th Round
Berdych T.,6/7/2016,1.22,Wimbledon,Quarterfinals
Berdych T.,29/06/16,1.1,Wimbledon,1st Round
Berdych T.,1/6/2016,2.2,French Open,4th Round
Berdych T.,24/05/16,1.07,French Open,1st Round
Berdych T.,26/05/16,1.05,French Open,2nd Round
Berdych T.,28/05/16,1.61,French Open,3rd Round
Berdych T.,18/01/16,1.005,Australian Open,1st Round
Berdych T.,20/01/16,1.03,Australian Open,2nd Round
Berdych T.,22/01/16,1.66,Australian Open,3rd Round
Berdych T.,24/01/16,1.25,Australian Open,4th Round
Berdych T.,30/08/17,1.25,US Open,1st Round
Berdych T.,4/7/2017,1.2,Wimbledon,1st Round
Berdych T.,6/7/2017,1.12,Wimbledon,2nd Round
Berdych T.,8/7/2017,1.16,Wimbledon,3rd Round
Berdych T.,10/7/2017,1.8,Wimbledon,4th Round
Berdych T.,12/7/2017,4,Wimbledon,Quarterfinals
Berdych T.,30/05/17,1.2,French Open,1st Round
Berdych T.,16/01/17,1.04,Australian Open,1st Round
Berdych T.,18/01/17,1.16,Australian Open,2nd Round
Berdych T.,16/01/18,1.44,Australian Open,1st Round
Berdych T.,18/01/18,1.14,Australian Open,2nd Round
Berdych T.,20/01/18,2.37,Australian Open,3rd Round
Berdych T.,22/01/18,1.3,Australian Open,4th Round
Berdych T.,14/01/2019,1.44,Australian Open,1st Round
Berdych T.,16/01/2019,1.12,Australian Open,2nd Round
Berdych T.,18/01/2019,1.25,Australian Open,3rd Round
Bjorkman J.,25/08/03,1.4,US Open,1st Round
Bjorkman J.,28/08/03,1.5,US Open,2nd Round
Bjorkman J.,31/08/03,2.5,US Open,3rd Round
Bjorkman J.,23/06/03,1.111,Wimbledon,1st Round
Bjorkman J.,25/06/03,1.2,Wimbledon,2nd Round
Bjorkman J.,27/06/03,1.333,Wimbledon,3rd Round
Bjorkman J.,30/06/03,1.615,Wimbledon,4th Round
Bjorkman J.,27/05/03,2.625,French Open,1st Round
Bjorkman J.,21/06/04,1.571,Wimbledon,1st Round
Bjorkman J.,24/06/04,1.286,Wimbledon,2nd Round
