"name","match_id","date","rank","round","match_minutes","sets","tournament","total_pts","winner","hand","avg_odds","max_odds","birthday","max(year)","experience"
"Adam Pavlasek","m_2016_F_6",2016-05-23,132,"1st Round",189,3,"French Open",153,TRUE,"R",2.31,2.45,1994-10-08,2016,1
"Adam Pavlasek","m_2016_F_70",2016-05-25,132,"2nd Round",91,0,"French Open",65,FALSE,"R",6.34,7.5,1994-10-08,2016,2
"Adam Pavlasek","m_2017_A_48",2017-01-17,86,"1st Round",145,1,"Australian Open",100,FALSE,"R",1.43,1.51,1994-10-08,2017,3
"Adam Pavlasek","m_2017_L_31",2017-04-07,136,"1st Round",124,3,"Wimbledon",131,TRUE,"R",2.88,3.15,1994-10-08,2017,4
"Adam Pavlasek","m_2017_L_86",2017-06-07,136,"2nd Round",93,0,"Wimbledon",54,FALSE,"R",20.04,34.25,1994-10-08,2017,5
"Adam Pavlasek","m_2018_F_31",2018-05-28,185,"1st Round",144,3,"French Open",139,TRUE,"R",1.49,1.54,1994-10-08,2018,6
"Adam Pavlasek","m_2018_F_95",2018-05-31,185,"2nd Round",87,0,"French Open",48,FALSE,"R",5.54,6.7,1994-10-08,2018,7
"Adrian Garcia","m_2005_L_27",2005-06-20,169,"1st Round",119,0,"Wimbledon",91,FALSE,"R",NA,NA,1978-05-25,2005,1
"Adrian Mannarino","m_2008_F_57",2008-05-28,186,"1st Round",84,0,"French Open",43,FALSE,"L",NA,NA,1988-06-29,2008,1
"Adrian Mannarino","m_2009_A_54",2009-01-20,129,"1st Round",87,0,"Australian Open",45,FALSE,"L",NA,NA,1988-06-29,2009,2
"Adrian Mannarino","m_2009_F_54",2009-05-26,126,"1st Round",98,0,"French Open",60,FALSE,"L",NA,NA,1988-06-29,2009,3
"Adrian Mannarino","m_2009_L_1",2009-06-22,128,"1st Round",92,0,"Wimbledon",63,FALSE,"L",NA,NA,1988-06-29,2009,4
"Adrian Mannarino","m_2010_U_35",2010-08-31,152,"1st Round",228,3,"US Open",154,TRUE,"L",1.19,1.25,1988-06-29,2010,5
"Adrian Mannarino","m_2010_U_89",2010-03-09,152,"2nd Round",112,0,"US Open",66,FALSE,"L",4.99,6.1,1988-06-29,2010,6
"Adrian Mannarino","m_2011_A_10",2011-01-17,74,"1st Round",106,3,"Australian Open",95,TRUE,"L",1.57,1.62,1988-06-29,2011,7
"Adrian Mannarino","m_2011_A_71",2011-01-19,74,"2nd Round",132,0,"Australian Open",87,FALSE,"L",4.12,4.9,1988-06-29,2011,8
"Adrian Mannarino","m_2011_F_14",2011-05-22,53,"1st Round",91,0,"French Open",54,FALSE,"L",1.46,1.53,1988-06-29,2011,9
"Adrian Mannarino","m_2011_L_29",2011-06-21,55,"1st Round",240,3,"Wimbledon",186,TRUE,"L",1.3,1.36,1988-06-29,2011,10
"Adrian Mannarino","m_2011_L_92",2011-06-23,55,"2nd Round",88,0,"Wimbledon",50,FALSE,"L",25.46,68.5,1988-06-29,2011,11
"Adrian Mannarino","m_2011_U_39",2011-08-30,58,"1st Round",76,0,"US Open",41,FALSE,"L",3.04,3.52,1988-06-29,2011,12
"Adrian Mannarino","m_2012_A_4",2012-01-16,91,"1st Round",179,1,"Australian Open",114,FALSE,"L",8.33,10.4,1988-06-29,2012,13
"Adrian Mannarino","m_2012_F_0",2012-05-27,153,"1st Round",103,0,"French Open",60,FALSE,"L",4.71,5.61,1988-06-29,2012,14
"Adrian Mannarino","m_2013_A_53",2013-01-15,170,"1st Round",76,0,"Australian Open",39,FALSE,"L",9.58,14,1988-06-29,2013,15
"Adrian Mannarino","m_2013_F_17",2013-05-27,110,"1st Round",219,2,"French Open",160,FALSE,"L",1.74,1.9,1988-06-29,2013,16
"Adrian Mannarino","m_2013_L_113",2013-01-07,111,"4th Round",198,2,"Wimbledon",138,FALSE,"L",2.26,2.46,1988-06-29,2013,17
"Adrian Mannarino","m_2013_L_18",2013-06-24,111,"1st Round",90,3,"Wimbledon",87,TRUE,"L",1.23,1.3,1988-06-29,2013,18
"Adrian Mannarino","m_2013_L_66",2013-06-26,111,"2nd Round",15,0,"Wimbledon",4,TRUE,"L",4.58,5.9,1988-06-29,2013,19
"Adrian Mannarino","m_2013_L_98",2013-06-28,111,"3rd Round",99,3,"Wimbledon",104,TRUE,"L",2.18,2.46,1988-06-29,2013,20
"Adrian Mannarino","m_2013_U_103",2013-01-09,63,"3rd Round",81,0,"US Open",54,FALSE,"L",14.12,25.5,1988-06-29,2013,21
"Adrian Mannarino","m_2013_U_26",2013-08-27,63,"1st Round",153,3,"US Open",135,TRUE,"L",1.28,1.38,1988-06-29,2013,22
"Adrian Mannarino","m_2013_U_72",2013-08-29,63,"2nd Round",195,3,"US Open",157,TRUE,"L",3.99,5.1,1988-06-29,2013,23
"Adrian Mannarino","m_2014_A_5",2014-01-13,71,"1st Round",177,3,"Australian Open",142,TRUE,"L",2.1,2.25,1988-06-29,2014,24
"Adrian Mannarino","m_2014_A_69",2014-01-15,71,"2nd Round",182,1,"Australian Open",113,FALSE,"L",10.7,15,1988-06-29,2014,25
"Adrian Mannarino","m_2014_F_38",2014-05-26,89,"1st Round",74,3,"French Open",80,TRUE,"L",2.2,2.37,1988-06-29,2014,26
"Adrian Mannarino","m_2014_F_84",2014-05-29,89,"2nd Round",157,1,"French Open",106,FALSE,"L",5.58,6.5,1988-06-29,2014,27
"Adrian Mannarino","m_2014_L_61",2014-06-24,81,"1st Round",102,3,"Wimbledon",99,TRUE,"L",1.08,1.1,1988-06-29,2014,28
"Adrian Mannarino","m_2014_L_87",2014-06-26,81,"2nd Round",118,0,"Wimbledon",84,FALSE,"L",2.08,2.2,1988-06-29,2014,29
"Adrian Mannarino","m_2014_U_109",2014-08-31,89,"3rd Round",127,0,"US Open",82,FALSE,"L",3.08,3.4,1988-06-29,2014,30
"Adrian Mannarino","m_2014_U_35",2014-08-26,89,"1st Round",172,3,"US Open",129,TRUE,"L",1.16,1.18,1988-06-29,2014,31
"Adrian Mannarino","m_2014_U_94",2014-08-29,89,"2nd Round",117,3,"US Open",112,TRUE,"L",2.76,3,1988-06-29,2014,32
"Adrian Mannarino","m_2015_A_34",2015-01-20,36,"1st Round",138,3,"Australian Open",117,TRUE,"L",1.25,1.3,1988-06-29,2015,33
"Adrian Mannarino","m_2015_A_81",2015-01-22,36,"2nd Round",158,2,"Australian Open",106,FALSE,"L",1.83,1.95,1988-06-29,2015,34
"Adrian Mannarino","m_2015_F_40",2015-05-25,32,"1st Round",156,0,"French Open",108,FALSE,"L",1.48,1.54,1988-06-29,2015,35
"Adrian Mannarino","m_2015_L_59",2015-06-30,34,"1st Round",0,3,"Wimbledon",136,TRUE,"L",1.36,1.4,1988-06-29,2015,36
"Adrian Mannarino","m_2015_L_92",2015-02-07,34,"2nd Round",0,0,"Wimbledon",86,FALSE,"L",3.18,3.43,1988-06-29,2015,37
"Adrian Mannarino","m_2015_U_61",2015-01-09,35,"1st Round",0,3,"US Open",123,TRUE,"L",1.28,1.3,1988-06-29,2015,38
"Adrian Mannarino","m_2015_U_87",2015-03-09,35,"2nd Round",0,2,"US Open",123,FALSE,"L",18.61,31,1988-06-29,2015,39
"Adrian Mannarino","m_2016_A_33",2016-01-19,48,"1st Round",158,1,"Australian Open",113,FALSE,"L",1.5,1.58,1988-06-29,2016,40
"Adrian Mannarino","m_2016_F_10",2016-05-23,58,"1st Round",159,3,"French Open",122,TRUE,"L",2.07,2.2,1988-06-29,2016,41
"Adrian Mannarino","m_2016_F_79",2016-05-25,58,"2nd Round",96,0,"French Open",61,FALSE,"L",8.51,10.16,1988-06-29,2016,42
"Adrian Mannarino","m_2016_L_5",2016-06-27,55,"1st Round",122,3,"Wimbledon",105,TRUE,"L",1.6,1.7,1988-06-29,2016,43
"Adrian Mannarino","m_2016_L_64",2016-06-29,55,"2nd Round",124,0,"Wimbledon",91,FALSE,"L",23.31,46,1988-06-29,2016,44
"Adrian Mannarino","m_2016_U_26",2016-08-29,54,"1st Round",138,0,"US Open",96,FALSE,"L",1.84,2.2,1988-06-29,2016,45
"Adrian Mannarino","m_2017_A_18",2017-01-16,61,"1st Round",166,1,"Australian Open",129,FALSE,"L",2.12,2.25,1988-06-29,2017,46
"Adrian Mannarino","m_2017_F_0",2017-05-28,54,"1st Round",132,0,"French Open",77,FALSE,"L",1.82,1.91,1988-06-29,2017,47
"Adrian Mannarino","m_2017_L_104",2017-08-07,51,"3rd Round",209,3,"Wimbledon",177,TRUE,"L",4.36,5,1988-06-29,2017,48
"Adrian Mannarino","m_2017_L_119",2017-11-07,51,"4th Round",133,0,"Wimbledon",87,FALSE,"L",12.89,21,1988-06-29,2017,49
"Adrian Mannarino","m_2017_L_61",2017-04-07,51,"1st Round",134,2,"Wimbledon",117,TRUE,"L",4.57,5.6,1988-06-29,2017,50
"Adrian Mannarino","m_2017_L_87",2017-06-07,51,"2nd Round",212,3,"Wimbledon",176,TRUE,"L",1.97,2.05,1988-06-29,2017,51
"Adrian Mannarino","m_2017_U_105",2017-02-09,34,"3rd Round",133,0,"US Open",86,FALSE,"L",3.37,3.65,1988-06-29,2017,52
"Adrian Mannarino","m_2017_U_48",2017-08-30,34,"1st Round",95,3,"US Open",88,TRUE,"L",1.16,1.2,1988-06-29,2017,53
"Adrian Mannarino","m_2017_U_86",2017-08-31,34,"2nd Round",137,3,"US Open",124,TRUE,"L",1.17,1.2,1988-06-29,2017,54
"Adrian Mannarino","m_2018_A_105",2018-01-20,27,"3rd Round",128,0,"Australian Open",76,FALSE,"L",3.37,3.72,1988-06-29,2018,55
"Adrian Mannarino","m_2018_A_37",2018-01-16,27,"1st Round",107,3,"Australian Open",86,TRUE,"L",1.29,1.32,1988-06-29,2018,56
